open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.78,9.78,9.74,9.74,300000,2019-08-14 01:00:00.000000,2019-08-14,NFIN,9.76,9.83,9.77,9.78,-0.0,0.01,-0.0,0.0
9.76,9.76,9.76,9.76,275205,2019-08-16 01:00:00.000000,2019-08-16,NFIN,9.76,9.77,9.78,9.78,0.0,0.0,0.0,0.0
9.76,9.76,9.76,9.76,100000,2019-08-19 01:00:00.000000,2019-08-19,NFIN,9.83,9.77,9.78,9.8,0.01,0.0,0.0,0.0
9.83,9.83,9.83,9.83,1000,2019-08-20 01:00:00.000000,2019-08-20,NFIN,9.77,9.78,9.78,9.78,-0.01,-0.01,-0.01,-0.01
9.78,9.78,9.76,9.77,69803,2019-08-21 01:00:00.000000,2019-08-21,NFIN,9.77,9.78,9.8,9.78,-0.0,0.0,0.0,0.0
9.79,9.79,9.77,9.77,8715,2019-08-27 01:00:00.000000,2019-08-27,NFIN,9.78,9.78,9.78,9.78,-0.0,-0.0,-0.0,-0.0
9.77,9.8,9.77,9.78,157366,2019-08-28 01:00:00.000000,2019-08-28,NFIN,9.78,9.8,9.78,9.78,0.0,0.0,0.0,0.0
9.78,9.79,9.77,9.78,316934,2019-08-29 01:00:00.000000,2019-08-29,NFIN,9.78,9.78,9.78,9.8,0.0,0.0,0.0,0.0
9.77,9.8,9.77,9.78,103895,2019-08-30 01:00:00.000000,2019-08-30,NFIN,9.8,9.78,9.78,9.77,0.0,0.0,0.0,0.0
9.81,9.81,9.77,9.8,210195,2019-09-03 01:00:00.000000,2019-09-03,NFIN,9.78,9.78,9.8,9.85,-0.0,-0.0,-0.0,0.0
9.8,9.8,9.78,9.78,759100,2019-09-05 01:00:00.000000,2019-09-05,NFIN,9.78,9.78,9.77,9.82,-0.0,-0.0,-0.0,0.0
9.78,9.8,9.78,9.78,165100,2019-09-06 01:00:00.000000,2019-09-06,NFIN,9.78,9.8,9.85,9.8,0.0,0.0,0.01,0.0
9.78,9.78,9.78,9.78,100000,2019-09-09 01:00:00.000000,2019-09-09,NFIN,9.78,9.77,9.82,9.8,0.0,-0.0,0.0,0.0
9.78,9.78,9.78,9.78,28300,2019-09-11 01:00:00.000000,2019-09-11,NFIN,9.8,9.85,9.8,9.8,0.0,0.01,0.0,0.0
9.8,9.8,9.8,9.8,7600,2019-09-12 01:00:00.000000,2019-09-12,NFIN,9.77,9.82,9.8,9.8,-0.0,0.0,0.0,0.0
9.77,9.77,9.77,9.77,936,2019-09-18 01:00:00.000000,2019-09-18,NFIN,9.85,9.8,9.8,9.8,0.01,0.0,0.0,0.0
9.82,9.85,9.82,9.85,2400,2019-09-20 01:00:00.000000,2019-09-20,NFIN,9.82,9.8,9.8,9.82,0.0,-0.0,-0.0,0.0
9.8,9.82,9.8,9.82,5200,2019-09-27 01:00:00.000000,2019-09-27,NFIN,9.8,9.8,9.8,9.8,0.0,0.0,0.0,0.0
9.8,9.8,9.8,9.8,535,2019-10-01 01:00:00.000000,2019-10-01,NFIN,9.8,9.8,9.82,9.8,0.0,0.0,0.0,0.0
9.8,9.8,9.8,9.8,104500,2019-10-03 01:00:00.000000,2019-10-03,NFIN,9.8,9.8,9.8,9.83,0.0,0.0,0.0,0.0
9.8,9.8,9.8,9.8,5000,2019-10-04 01:00:00.000000,2019-10-04,NFIN,9.8,9.82,9.8,9.82,0.0,0.0,0.0,0.0
9.8,9.81,9.79,9.8,265400,2019-10-07 01:00:00.000000,2019-10-07,NFIN,9.8,9.8,9.83,9.85,0.0,0.0,0.0,0.01
