open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.5,10.55,9.86,9.9,118865,2020-06-15 01:00:00.000000,2020-06-15,PCPL,10.0,10.01,10.19,10.05,-0.05,-0.05,-0.03,-0.04
9.95,10.04,9.91,10.0,183038,2020-06-16 01:00:00.000000,2020-06-16,PCPL,10.04,10.03,10.05,10.0,0.01,0.01,0.01,0.01
10.99,10.99,10.01,10.04,336679,2020-06-17 01:00:00.000000,2020-06-17,PCPL,10.01,10.19,10.05,10.12,-0.09,-0.07,-0.09,-0.08
10.12,10.12,9.78,10.01,232400,2020-06-18 01:00:00.000000,2020-06-18,PCPL,10.03,10.05,10.0,10.09,-0.01,-0.01,-0.01,-0.0
9.94,10.17,9.94,10.03,36484,2020-06-19 01:00:00.000000,2020-06-19,PCPL,10.19,10.05,10.12,10.07,0.03,0.01,0.02,0.01
10.1,10.24,10.02,10.19,375049,2020-06-22 01:00:00.000000,2020-06-22,PCPL,10.05,10.0,10.09,10.08,-0.0,-0.01,-0.0,-0.0
10.33,10.33,10.05,10.05,3416,2020-06-23 01:00:00.000000,2020-06-23,PCPL,10.05,10.12,10.07,10.12,-0.03,-0.02,-0.03,-0.02
10.06,10.06,10.05,10.05,1315,2020-06-24 01:00:00.000000,2020-06-24,PCPL,10.0,10.09,10.08,10.2,-0.01,0.0,0.0,0.01
10.07,10.25,9.95,10.0,509896,2020-06-25 01:00:00.000000,2020-06-25,PCPL,10.12,10.07,10.12,10.1,0.0,0.0,0.0,0.0
10.24,10.24,10.1,10.12,4763,2020-06-26 01:00:00.000000,2020-06-26,PCPL,10.09,10.08,10.2,10.15,-0.01,-0.02,-0.0,-0.01
10.25,10.25,10.05,10.09,15117,2020-06-29 01:00:00.000000,2020-06-29,PCPL,10.07,10.12,10.1,10.2,-0.02,-0.01,-0.01,-0.0
10.1,10.18,10.04,10.07,557046,2020-06-30 01:00:00.000000,2020-06-30,PCPL,10.08,10.2,10.15,10.27,-0.0,0.01,0.0,0.02
10.22,10.23,10.02,10.08,1865,2020-07-01 01:00:00.000000,2020-07-01,PCPL,10.12,10.1,10.2,10.21,-0.01,-0.01,-0.0,-0.0
10.25,10.25,10.12,10.12,3303,2020-07-02 01:00:00.000000,2020-07-02,PCPL,10.2,10.15,10.27,,-0.0,-0.01,0.0,
10.16,10.25,10.14,10.2,7552,2020-07-06 01:00:00.000000,2020-07-06,PCPL,10.1,10.2,10.21,,-0.01,0.0,0.0,
10.1,10.1,10.1,10.1,286,2020-07-08 01:00:00.000000,2020-07-08,PCPL,10.15,10.27,,,0.0,0.02,,
10.15,10.17,10.15,10.15,251394,2020-07-09 01:00:00.000000,2020-07-09,PCPL,10.2,10.21,,,0.0,0.01,,
10.14,10.25,10.14,10.2,16037,2020-07-10 01:00:00.000000,2020-07-10,PCPL,10.27,,,,0.01,,,
10.21,10.49,10.2,10.27,44612,2020-07-13 01:00:00.000000,2020-07-13,PCPL,10.21,,,,0.0,,,
10.22,10.26,10.19,10.21,12906,2020-07-14 01:00:00.000000,2020-07-14,PCPL,,,,,,,,
