open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.74,0.75,0.74,0.75,1275100,2019-12-20 01:00:00.000000,2019-12-20,SFTW.WS,0.8,0.9,0.95,1.01,0.08,0.22,0.28,0.36
0.8,0.8,0.8,0.8,200000,2019-12-23 01:00:00.000000,2019-12-23,SFTW.WS,0.9,0.9,1.05,1.0,0.12,0.12,0.31,0.25
0.9,0.9,0.9,0.9,203,2019-12-27 01:00:00.000000,2019-12-27,SFTW.WS,0.9,0.95,1.01,0.98,0.0,0.06,0.12,0.08
0.9,0.9,0.88,0.9,305193,2020-01-03 01:00:00.000000,2020-01-03,SFTW.WS,0.9,1.05,1.0,1.0,0.0,0.17,0.11,0.11
0.9,0.9,0.9,0.9,250000,2020-01-10 01:00:00.000000,2020-01-10,SFTW.WS,0.95,1.01,0.98,0.98,0.06,0.12,0.08,0.09
0.9,0.95,0.9,0.95,96457,2020-01-30 01:00:00.000000,2020-01-30,SFTW.WS,1.05,1.0,1.0,1.0,0.17,0.11,0.11,0.11
1.05,1.05,1.05,1.05,500,2020-02-05 01:00:00.000000,2020-02-05,SFTW.WS,1.01,0.98,0.98,0.92,-0.04,-0.07,-0.07,-0.12
1.01,1.01,1.01,1.01,3000,2020-02-11 01:00:00.000000,2020-02-11,SFTW.WS,1.0,1.0,1.0,0.85,-0.01,-0.01,-0.01,-0.16
1.0,1.05,1.0,1.0,216500,2020-02-12 01:00:00.000000,2020-02-12,SFTW.WS,0.98,0.98,0.92,0.84,-0.03,-0.02,-0.08,-0.16
0.98,0.98,0.98,0.98,40000,2020-02-21 01:00:00.000000,2020-02-21,SFTW.WS,1.0,1.0,0.85,0.68,0.03,0.03,-0.13,-0.3
0.98,1.0,0.97,1.0,290957,2020-02-24 01:00:00.000000,2020-02-24,SFTW.WS,0.98,0.92,0.84,0.62,0.0,-0.06,-0.14,-0.36
0.98,0.98,0.98,0.98,50000,2020-03-04 01:00:00.000000,2020-03-04,SFTW.WS,1.0,0.85,0.68,0.55,0.02,-0.13,-0.31,-0.44
1.0,1.0,1.0,1.0,7611,2020-03-05 01:00:00.000000,2020-03-05,SFTW.WS,0.92,0.84,0.62,0.67,-0.08,-0.16,-0.38,-0.33
0.85,0.97,0.69,0.92,7564,2020-03-10 01:00:00.000000,2020-03-10,SFTW.WS,0.85,0.68,0.55,0.65,-0.0,-0.2,-0.35,-0.24
0.77,0.87,0.77,0.85,9101,2020-03-20 01:00:00.000000,2020-03-20,SFTW.WS,0.84,0.62,0.67,0.58,0.09,-0.19,-0.13,-0.24
0.55,0.84,0.55,0.84,26910,2020-03-26 01:00:00.000000,2020-03-26,SFTW.WS,0.68,0.55,0.65,0.55,0.24,-0.0,0.18,0.0
0.76,0.79,0.68,0.68,6500,2020-04-01 01:00:00.000000,2020-04-01,SFTW.WS,0.62,0.67,0.58,0.56,-0.18,-0.11,-0.23,-0.26
0.61,0.69,0.61,0.62,5100,2020-04-02 01:00:00.000000,2020-04-02,SFTW.WS,0.55,0.65,0.55,0.55,-0.1,0.06,-0.1,-0.1
0.56,0.61,0.55,0.55,3900,2020-04-03 01:00:00.000000,2020-04-03,SFTW.WS,0.67,0.58,0.56,0.54,0.19,0.04,-0.0,-0.04
0.67,0.67,0.67,0.67,100,2020-04-06 01:00:00.000000,2020-04-06,SFTW.WS,0.65,0.55,0.55,0.62,-0.03,-0.18,-0.18,-0.07
0.6,0.69,0.6,0.65,10590,2020-04-07 01:00:00.000000,2020-04-07,SFTW.WS,0.58,0.56,0.54,0.57,-0.03,-0.07,-0.1,-0.05
0.65,0.68,0.58,0.58,37760,2020-04-08 01:00:00.000000,2020-04-08,SFTW.WS,0.55,0.55,0.62,0.67,-0.15,-0.15,-0.05,0.03
0.54,0.66,0.54,0.55,8175,2020-04-15 01:00:00.000000,2020-04-15,SFTW.WS,0.56,0.54,0.57,0.62,0.03,0.0,0.06,0.15
0.59,0.59,0.56,0.56,430,2020-04-16 01:00:00.000000,2020-04-16,SFTW.WS,0.55,0.62,0.67,0.58,-0.07,0.05,0.14,-0.01
0.52,0.55,0.52,0.55,300,2020-04-23 01:00:00.000000,2020-04-23,SFTW.WS,0.54,0.57,0.62,0.62,0.04,0.1,0.2,0.19
0.51,0.54,0.51,0.54,3030,2020-04-24 01:00:00.000000,2020-04-24,SFTW.WS,0.62,0.67,0.58,0.56,0.21,0.31,0.14,0.09
