open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.75,0.81,0.75,0.75,225000,2019-07-29 01:00:00.000000,2019-07-29,SMMCW,0.86,0.9,0.85,0.85,0.15,0.2,0.13,0.13
0.86,0.86,0.86,0.86,1605,2019-07-31 01:00:00.000000,2019-07-31,SMMCW,0.82,0.81,0.85,0.85,-0.05,-0.06,-0.01,-0.01
0.82,0.82,0.82,0.82,1500,2019-08-06 01:00:00.000000,2019-08-06,SMMCW,0.9,0.85,0.85,0.85,0.1,0.04,0.04,0.04
0.9,0.9,0.9,0.9,100,2019-08-15 01:00:00.000000,2019-08-15,SMMCW,0.81,0.85,0.85,0.85,-0.1,-0.06,-0.06,-0.06
0.81,0.81,0.81,0.81,5100,2019-08-22 01:00:00.000000,2019-08-22,SMMCW,0.85,0.85,0.85,0.85,0.05,0.05,0.05,0.05
0.71,0.85,0.71,0.85,24700,2019-08-27 01:00:00.000000,2019-08-27,SMMCW,0.85,0.85,0.85,0.85,0.19,0.19,0.19,0.19
0.75,0.85,0.75,0.85,59500,2019-09-06 01:00:00.000000,2019-09-06,SMMCW,0.85,0.85,0.85,0.9,0.13,0.13,0.13,0.2
0.75,0.85,0.75,0.85,5700,2019-09-18 01:00:00.000000,2019-09-18,SMMCW,0.85,0.85,0.85,0.9,0.13,0.13,0.13,0.2
0.75,0.85,0.75,0.85,500100,2019-09-27 01:00:00.000000,2019-09-27,SMMCW,0.85,0.85,0.9,0.9,0.13,0.13,0.2,0.2
0.75,0.85,0.75,0.85,195645,2019-10-01 01:00:00.000000,2019-10-01,SMMCW,0.85,0.85,0.9,0.75,0.13,0.13,0.2,0.0
0.75,0.85,0.75,0.85,645,2019-10-02 01:00:00.000000,2019-10-02,SMMCW,0.85,0.9,0.9,0.77,0.13,0.2,0.2,0.03
0.85,0.85,0.85,0.85,355,2019-10-07 01:00:00.000000,2019-10-07,SMMCW,0.85,0.9,0.75,0.85,0.0,0.06,-0.12,0.0
0.85,0.85,0.85,0.85,100,2019-10-10 01:00:00.000000,2019-10-10,SMMCW,0.9,0.9,0.77,0.9,0.06,0.06,-0.09,0.06
0.75,0.9,0.75,0.9,72731,2019-10-16 01:00:00.000000,2019-10-16,SMMCW,0.9,0.75,0.85,0.84,0.2,0.0,0.13,0.12
0.9,0.9,0.9,0.9,10200,2019-10-22 01:00:00.000000,2019-10-22,SMMCW,0.9,0.77,0.9,0.85,0.0,-0.14,0.0,-0.06
0.77,0.9,0.75,0.9,4393,2019-11-26 01:00:00.000000,2019-11-26,SMMCW,0.75,0.85,0.84,0.9,-0.03,0.1,0.09,0.17
0.75,0.75,0.75,0.75,67428,2019-12-06 01:00:00.000000,2019-12-06,SMMCW,0.77,0.9,0.85,0.9,0.03,0.2,0.13,0.2
0.75,0.9,0.75,0.77,49600,2019-12-12 01:00:00.000000,2019-12-12,SMMCW,0.85,0.84,0.9,0.9,0.13,0.12,0.2,0.2
0.85,0.85,0.85,0.85,75000,2019-12-17 01:00:00.000000,2019-12-17,SMMCW,0.9,0.85,0.9,0.77,0.06,0.0,0.06,-0.09
0.9,0.9,0.9,0.9,500,2019-12-18 01:00:00.000000,2019-12-18,SMMCW,0.84,0.9,0.9,0.95,-0.07,-0.0,0.0,0.06
0.84,0.84,0.84,0.84,150000,2019-12-19 01:00:00.000000,2019-12-19,SMMCW,0.85,0.9,0.77,0.95,0.01,0.07,-0.08,0.13
0.85,0.85,0.85,0.85,200,2019-12-20 01:00:00.000000,2019-12-20,SMMCW,0.9,0.9,0.95,0.9,0.06,0.06,0.12,0.06
0.9,0.9,0.9,0.9,500,2019-12-31 01:00:00.000000,2019-12-31,SMMCW,0.9,0.77,0.95,0.95,0.0,-0.14,0.06,0.06
0.9,0.9,0.9,0.9,25900,2020-01-06 01:00:00.000000,2020-01-06,SMMCW,0.9,0.95,0.9,1.0,0.0,0.06,0.0,0.11
0.9,0.9,0.9,0.9,25000,2020-01-08 01:00:00.000000,2020-01-08,SMMCW,0.77,0.95,0.95,1.0,-0.14,0.06,0.06,0.11
0.85,0.9,0.76,0.77,114800,2020-01-10 01:00:00.000000,2020-01-10,SMMCW,0.95,0.9,1.0,1.0,0.12,0.06,0.18,0.18
0.85,0.95,0.85,0.95,30300,2020-01-15 01:00:00.000000,2020-01-15,SMMCW,0.95,0.95,1.0,0.98,0.12,0.12,0.18,0.15
1.0,1.0,0.95,0.95,30000,2020-01-16 01:00:00.000000,2020-01-16,SMMCW,0.9,1.0,1.0,0.76,-0.1,0.0,0.0,-0.24
0.9,0.9,0.9,0.9,196600,2020-01-22 01:00:00.000000,2020-01-22,SMMCW,0.95,1.0,0.98,0.98,0.06,0.11,0.09,0.09
0.95,0.95,0.95,0.95,25000,2020-02-06 01:00:00.000000,2020-02-06,SMMCW,1.0,1.0,0.76,0.94,0.05,0.05,-0.2,-0.01
1.0,1.0,1.0,1.0,20000,2020-02-10 01:00:00.000000,2020-02-10,SMMCW,1.0,0.98,0.98,0.85,0.0,-0.02,-0.02,-0.15
1.0,1.0,1.0,1.0,28400,2020-02-12 01:00:00.000000,2020-02-12,SMMCW,1.0,0.76,0.94,0.85,0.0,-0.24,-0.06,-0.15
1.0,1.0,1.0,1.0,2000,2020-02-24 01:00:00.000000,2020-02-24,SMMCW,0.98,0.98,0.85,0.75,-0.02,-0.02,-0.15,-0.25
0.98,0.98,0.98,0.98,2000,2020-03-10 01:00:00.000000,2020-03-10,SMMCW,0.76,0.94,0.85,0.75,-0.22,-0.04,-0.13,-0.23
0.76,0.76,0.76,0.76,600,2020-03-17 01:00:00.000000,2020-03-17,SMMCW,0.98,0.85,0.75,0.75,0.29,0.12,-0.01,-0.01
0.98,0.98,0.98,0.98,600,2020-03-20 01:00:00.000000,2020-03-20,SMMCW,0.94,0.85,0.75,0.72,-0.04,-0.13,-0.23,-0.27
0.52,0.94,0.5,0.94,13000,2020-03-24 01:00:00.000000,2020-03-24,SMMCW,0.85,0.75,0.75,0.75,0.63,0.44,0.44,0.44
0.66,0.86,0.66,0.85,31300,2020-04-09 01:00:00.000000,2020-04-09,SMMCW,0.85,0.75,0.72,0.75,0.29,0.14,0.09,0.14
0.85,0.85,0.85,0.85,100,2020-04-14 01:00:00.000000,2020-04-14,SMMCW,0.75,0.75,0.75,0.75,-0.12,-0.12,-0.12,-0.12
0.6,0.78,0.6,0.75,5200,2020-04-21 01:00:00.000000,2020-04-21,SMMCW,0.75,0.72,0.75,0.75,0.25,0.2,0.25,0.25
0.7,0.75,0.65,0.75,177100,2020-04-24 01:00:00.000000,2020-04-24,SMMCW,0.75,0.75,0.75,0.7,0.07,0.07,0.07,0.0
0.75,0.75,0.75,0.75,100,2020-04-28 01:00:00.000000,2020-04-28,SMMCW,0.72,0.75,0.75,0.8,-0.04,0.0,0.0,0.07
0.72,0.72,0.72,0.72,101,2020-05-05 01:00:00.000000,2020-05-05,SMMCW,0.75,0.75,0.7,0.75,0.04,0.04,-0.03,0.04
0.75,0.75,0.75,0.75,51000,2020-05-07 01:00:00.000000,2020-05-07,SMMCW,0.75,0.75,0.8,0.73,0.0,0.0,0.07,-0.03
0.75,0.75,0.75,0.75,24000,2020-05-15 01:00:00.000000,2020-05-15,SMMCW,0.75,0.7,0.75,0.9,0.0,-0.07,-0.0,0.2
0.75,0.75,0.75,0.75,50000,2020-05-18 01:00:00.000000,2020-05-18,SMMCW,0.75,0.8,0.73,0.85,0.0,0.07,-0.03,0.13
0.75,0.75,0.75,0.75,125100,2020-06-03 01:00:00.000000,2020-06-03,SMMCW,0.7,0.75,0.9,0.84,-0.07,-0.0,0.2,0.12
0.75,0.75,0.7,0.7,15806,2020-06-04 01:00:00.000000,2020-06-04,SMMCW,0.8,0.73,0.85,0.84,0.07,-0.03,0.13,0.12
0.7,0.8,0.7,0.8,7760,2020-06-05 01:00:00.000000,2020-06-05,SMMCW,0.75,0.9,0.84,0.8,0.07,0.29,0.2,0.14
0.75,0.75,0.75,0.75,101,2020-06-08 01:00:00.000000,2020-06-08,SMMCW,0.73,0.85,0.84,0.85,-0.03,0.13,0.12,0.13
0.73,0.73,0.73,0.73,1007,2020-06-09 01:00:00.000000,2020-06-09,SMMCW,0.9,0.84,0.8,0.84,0.23,0.15,0.1,0.15
0.73,1.05,0.73,0.9,23989,2020-06-10 01:00:00.000000,2020-06-10,SMMCW,0.85,0.84,0.85,0.8,0.16,0.15,0.16,0.09
0.85,0.85,0.85,0.85,5001,2020-06-11 01:00:00.000000,2020-06-11,SMMCW,0.84,0.8,0.84,0.75,-0.01,-0.06,-0.01,-0.12
0.76,0.84,0.75,0.84,19799,2020-06-12 01:00:00.000000,2020-06-12,SMMCW,0.84,0.85,0.8,0.81,0.11,0.12,0.05,0.07
0.8,0.84,0.8,0.84,2151,2020-06-16 01:00:00.000000,2020-06-16,SMMCW,0.8,0.84,0.75,0.8,0.0,0.05,-0.06,0.0
0.8,0.8,0.8,0.8,3501,2020-06-17 01:00:00.000000,2020-06-17,SMMCW,0.85,0.8,0.81,0.93,0.06,-0.01,0.01,0.16
0.84,0.89,0.84,0.85,25070,2020-06-18 01:00:00.000000,2020-06-18,SMMCW,0.84,0.75,0.8,1.12,-0.0,-0.11,-0.05,0.33
0.84,0.84,0.84,0.84,8901,2020-06-19 01:00:00.000000,2020-06-19,SMMCW,0.8,0.81,0.93,1.06,-0.05,-0.04,0.11,0.26
0.8,0.89,0.8,0.8,14247,2020-06-22 01:00:00.000000,2020-06-22,SMMCW,0.75,0.8,1.12,1.24,-0.06,0.0,0.4,0.55
0.8,0.8,0.75,0.75,52505,2020-06-23 01:00:00.000000,2020-06-23,SMMCW,0.81,0.93,1.06,1.18,0.01,0.16,0.32,0.47
0.7,0.85,0.7,0.81,3001,2020-06-24 01:00:00.000000,2020-06-24,SMMCW,0.8,1.12,1.24,1.18,0.14,0.6,0.77,0.69
0.8,0.8,0.8,0.8,11001,2020-06-26 01:00:00.000000,2020-06-26,SMMCW,0.93,1.06,1.18,1.15,0.16,0.32,0.47,0.44
0.85,0.94,0.83,0.93,133525,2020-06-29 01:00:00.000000,2020-06-29,SMMCW,1.12,1.24,1.18,1.15,0.32,0.46,0.39,0.35
0.98,1.2,0.98,1.12,15001,2020-06-30 01:00:00.000000,2020-06-30,SMMCW,1.06,1.18,1.15,,0.08,0.2,0.17,
1.05,1.1,1.0,1.06,20701,2020-07-01 01:00:00.000000,2020-07-01,SMMCW,1.24,1.18,1.15,,0.18,0.12,0.1,
1.19,1.25,1.19,1.24,18900,2020-07-02 01:00:00.000000,2020-07-02,SMMCW,1.18,1.15,,,-0.01,-0.03,,
1.15,1.18,1.15,1.18,1504,2020-07-06 01:00:00.000000,2020-07-06,SMMCW,1.18,1.15,,,0.03,0.0,,
1.25,1.27,1.18,1.18,63507,2020-07-10 01:00:00.000000,2020-07-10,SMMCW,1.15,,,,-0.08,,,
1.15,1.15,1.15,1.15,8604,2020-07-13 01:00:00.000000,2020-07-13,SMMCW,1.15,,,,0.0,,,
1.13,1.25,1.13,1.15,3727,2020-07-14 01:00:00.000000,2020-07-14,SMMCW,,,,,,,,
