open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.7,0.94,0.69,0.7,469196,2020-06-26 01:00:00.000000,2020-06-26,SOAC.WS,0.86,0.91,0.92,0.8,0.23,0.3,0.31,0.14
1.0,1.0,0.8,0.86,56972,2020-06-29 01:00:00.000000,2020-06-29,SOAC.WS,0.94,0.95,0.85,0.83,-0.06,-0.05,-0.15,-0.17
0.95,0.95,0.85,0.94,94374,2020-06-30 01:00:00.000000,2020-06-30,SOAC.WS,0.91,0.92,0.8,1.34,-0.04,-0.03,-0.16,0.41
0.95,0.95,0.91,0.91,31074,2020-07-01 01:00:00.000000,2020-07-01,SOAC.WS,0.95,0.85,0.83,1.1,0.0,-0.11,-0.13,0.16
0.91,0.95,0.91,0.95,70972,2020-07-02 01:00:00.000000,2020-07-02,SOAC.WS,0.92,0.8,1.34,1.19,0.01,-0.12,0.47,0.31
0.95,1.0,0.91,0.92,37506,2020-07-06 01:00:00.000000,2020-07-06,SOAC.WS,0.85,0.83,1.1,,-0.11,-0.13,0.16,
0.92,0.97,0.8,0.85,15211,2020-07-07 01:00:00.000000,2020-07-07,SOAC.WS,0.8,1.34,1.19,,-0.13,0.46,0.29,
0.83,0.85,0.8,0.8,6856,2020-07-08 01:00:00.000000,2020-07-08,SOAC.WS,0.83,1.1,,,0.0,0.33,,
0.83,0.86,0.81,0.83,15505,2020-07-09 01:00:00.000000,2020-07-09,SOAC.WS,1.34,1.19,,,0.61,0.43,,
0.85,1.4,0.84,1.34,428742,2020-07-10 01:00:00.000000,2020-07-10,SOAC.WS,1.1,,,,0.29,,,
1.5,1.75,1.1,1.1,337458,2020-07-13 01:00:00.000000,2020-07-13,SOAC.WS,1.19,,,,-0.21,,,
1.23,1.41,1.01,1.19,65950,2020-07-14 01:00:00.000000,2020-07-14,SOAC.WS,,,,,,,,
