open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.81,9.81,9.81,9.81,500000,2019-10-01 01:00:00.000000,2019-10-01,SSPK,9.81,9.9,9.86,9.86,0.0,0.01,0.01,0.01
9.82,9.82,9.81,9.81,205100,2019-10-02 01:00:00.000000,2019-10-02,SSPK,9.81,9.85,9.85,9.85,-0.0,0.0,0.0,0.0
9.81,9.81,9.81,9.81,10000,2019-10-03 01:00:00.000000,2019-10-03,SSPK,9.9,9.86,9.86,9.82,0.01,0.01,0.01,0.0
9.9,9.9,9.9,9.9,7900,2019-10-08 01:00:00.000000,2019-10-08,SSPK,9.85,9.85,9.85,9.85,-0.01,-0.01,-0.01,-0.01
9.87,9.87,9.8,9.85,501100,2019-10-09 01:00:00.000000,2019-10-09,SSPK,9.86,9.86,9.82,9.84,-0.0,-0.0,-0.01,-0.0
9.86,9.86,9.86,9.86,1000,2019-10-10 01:00:00.000000,2019-10-10,SSPK,9.85,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
9.8,9.85,9.8,9.85,207,2019-10-14 01:00:00.000000,2019-10-14,SSPK,9.86,9.82,9.84,9.84,0.01,0.0,0.0,0.0
9.85,9.86,9.85,9.86,28269,2019-10-16 01:00:00.000000,2019-10-16,SSPK,9.85,9.85,9.85,9.85,0.0,0.0,0.0,0.0
9.83,9.85,9.82,9.85,250143,2019-10-18 01:00:00.000000,2019-10-18,SSPK,9.82,9.84,9.84,9.84,-0.0,0.0,0.0,0.0
9.82,9.82,9.82,9.82,300086,2019-10-23 01:00:00.000000,2019-10-23,SSPK,9.85,9.85,9.85,9.84,0.0,0.0,0.0,0.0
9.83,9.85,9.82,9.85,625326,2019-10-24 01:00:00.000000,2019-10-24,SSPK,9.84,9.84,9.84,9.86,0.0,0.0,0.0,0.0
9.87,9.87,9.82,9.84,806081,2019-10-25 01:00:00.000000,2019-10-25,SSPK,9.85,9.85,9.84,9.86,-0.0,-0.0,-0.0,-0.0
9.85,9.85,9.85,9.85,5657,2019-10-28 01:00:00.000000,2019-10-28,SSPK,9.84,9.84,9.86,9.86,-0.0,-0.0,0.0,0.0
9.84,9.84,9.84,9.84,600091,2019-10-29 01:00:00.000000,2019-10-29,SSPK,9.85,9.84,9.86,9.84,0.0,0.0,0.0,0.0
9.83,9.85,9.83,9.85,711708,2019-10-30 01:00:00.000000,2019-10-30,SSPK,9.84,9.86,9.86,9.86,0.0,0.0,0.0,0.0
9.83,9.87,9.83,9.84,81653,2019-11-01 01:00:00.000000,2019-11-01,SSPK,9.84,9.86,9.84,9.85,0.0,0.0,0.0,0.0
9.84,9.84,9.84,9.84,5018,2019-11-05 01:00:00.000000,2019-11-05,SSPK,9.86,9.86,9.86,9.87,0.0,0.0,0.0,0.0
