open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.4,0.43,0.4,0.42,8969080,2018-05-31 01:00:00.000000,2018-05-31,TMCXW,0.41,0.41,0.4,0.41,0.02,0.02,0.0,0.02
0.42,0.42,0.41,0.41,355727,2018-06-01 01:00:00.000000,2018-06-01,TMCXW,0.42,0.4,0.42,0.41,0.0,-0.04,0.0,-0.02
0.42,0.42,0.42,0.42,112400,2018-06-04 01:00:00.000000,2018-06-04,TMCXW,0.41,0.4,0.41,0.42,-0.02,-0.05,-0.02,0.0
0.44,0.44,0.41,0.41,82500,2018-06-05 01:00:00.000000,2018-06-05,TMCXW,0.4,0.42,0.41,0.41,-0.08,-0.04,-0.07,-0.07
0.41,0.42,0.4,0.4,867800,2018-06-06 01:00:00.000000,2018-06-06,TMCXW,0.4,0.41,0.42,0.41,-0.02,0.0,0.02,0.0
0.42,0.42,0.4,0.4,570000,2018-06-07 01:00:00.000000,2018-06-07,TMCXW,0.42,0.41,0.41,0.4,0.0,-0.02,-0.02,-0.05
0.42,0.42,0.42,0.42,200,2018-06-08 01:00:00.000000,2018-06-08,TMCXW,0.41,0.42,0.41,0.41,-0.03,-0.0,-0.03,-0.03
0.41,0.42,0.41,0.41,728500,2018-06-11 01:00:00.000000,2018-06-11,TMCXW,0.41,0.41,0.4,0.4,0.0,0.0,-0.02,-0.02
0.42,0.44,0.41,0.41,467225,2018-06-12 01:00:00.000000,2018-06-12,TMCXW,0.42,0.41,0.41,0.4,0.0,-0.02,-0.03,-0.05
0.42,0.42,0.41,0.42,77475,2018-06-13 01:00:00.000000,2018-06-13,TMCXW,0.41,0.4,0.4,0.4,-0.02,-0.05,-0.05,-0.06
0.41,0.42,0.4,0.41,144418,2018-06-14 01:00:00.000000,2018-06-14,TMCXW,0.41,0.41,0.4,0.4,0.0,-0.0,-0.03,-0.02
0.4,0.41,0.4,0.41,114000,2018-06-15 01:00:00.000000,2018-06-15,TMCXW,0.4,0.4,0.4,0.4,-0.01,-0.01,-0.02,-0.01
0.41,0.41,0.4,0.4,204800,2018-06-18 01:00:00.000000,2018-06-18,TMCXW,0.41,0.4,0.4,0.4,-0.0,-0.03,-0.02,-0.02
0.4,0.41,0.4,0.41,51900,2018-06-19 01:00:00.000000,2018-06-19,TMCXW,0.4,0.4,0.4,0.4,0.0,-0.01,0.0,0.0
0.41,0.42,0.4,0.4,30700,2018-06-20 01:00:00.000000,2018-06-20,TMCXW,0.4,0.4,0.4,0.4,-0.03,-0.02,-0.02,-0.02
0.4,0.4,0.4,0.4,66604,2018-06-21 01:00:00.000000,2018-06-21,TMCXW,0.4,0.4,0.4,0.4,-0.01,0.0,0.0,0.0
0.4,0.41,0.4,0.4,43500,2018-06-22 01:00:00.000000,2018-06-22,TMCXW,0.4,0.4,0.4,0.39,0.0,0.0,0.0,-0.03
0.39,0.4,0.39,0.4,86600,2018-06-25 01:00:00.000000,2018-06-25,TMCXW,0.4,0.4,0.4,0.4,0.03,0.03,0.03,0.03
