open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.75,9.75,9.75,9.75,10001,2019-05-09 01:00:00.000000,2019-05-09,ACAM,9.68,9.75,9.75,9.75,-0.01,0.0,0.0,0.0
9.68,9.68,9.68,9.68,4000,2019-06-07 01:00:00.000000,2019-06-07,ACAM,9.8,9.75,9.72,9.76,0.01,0.01,0.0,0.01
9.8,9.8,9.8,9.8,200,2019-06-14 01:00:00.000000,2019-06-14,ACAM,9.75,9.75,9.75,9.8,-0.01,-0.01,-0.01,0.0
9.75,9.75,9.75,9.75,10120,2019-06-21 01:00:00.000000,2019-06-21,ACAM,9.75,9.72,9.76,9.75,0.0,-0.0,0.0,0.0
9.75,9.75,9.75,9.75,19600,2019-06-26 01:00:00.000000,2019-06-26,ACAM,9.75,9.75,9.8,9.77,0.0,0.0,0.01,0.0
10.01,10.01,9.75,9.75,20900,2019-06-27 01:00:00.000000,2019-06-27,ACAM,9.72,9.76,9.75,9.77,-0.03,-0.02,-0.03,-0.02
9.72,9.73,9.72,9.72,3900,2019-06-28 01:00:00.000000,2019-06-28,ACAM,9.75,9.8,9.77,9.81,0.0,0.01,0.01,0.01
9.75,9.75,9.75,9.75,299600,2019-07-02 01:00:00.000000,2019-07-02,ACAM,9.76,9.75,9.77,9.81,0.0,0.0,0.0,0.01
9.76,9.76,9.76,9.76,3400,2019-07-09 01:00:00.000000,2019-07-09,ACAM,9.8,9.77,9.81,9.9,0.0,0.0,0.01,0.01
9.76,9.8,9.76,9.8,409716,2019-07-16 01:00:00.000000,2019-07-16,ACAM,9.75,9.77,9.81,9.9,-0.0,0.0,0.01,0.01
9.75,9.75,9.75,9.75,9500,2019-07-19 01:00:00.000000,2019-07-19,ACAM,9.77,9.81,9.9,9.9,0.0,0.01,0.02,0.02
9.77,9.77,9.77,9.77,14884,2019-07-25 01:00:00.000000,2019-07-25,ACAM,9.77,9.81,9.9,9.81,0.0,0.0,0.01,0.0
9.77,9.77,9.77,9.77,27025,2019-07-26 01:00:00.000000,2019-07-26,ACAM,9.81,9.9,9.9,9.9,0.0,0.01,0.01,0.01
9.79,9.81,9.79,9.81,717086,2019-08-08 01:00:00.000000,2019-08-08,ACAM,9.81,9.9,9.81,9.84,0.0,0.01,0.0,0.01
9.81,9.81,9.81,9.81,514868,2019-08-12 01:00:00.000000,2019-08-12,ACAM,9.9,9.9,9.9,9.8,0.01,0.01,0.01,-0.0
9.81,9.9,9.81,9.9,501859,2019-08-13 01:00:00.000000,2019-08-13,ACAM,9.9,9.81,9.84,9.87,0.01,0.0,0.0,0.01
9.8,9.9,9.8,9.9,1100409,2019-08-14 01:00:00.000000,2019-08-14,ACAM,9.9,9.9,9.8,9.84,0.01,0.01,0.0,0.0
9.9,9.9,9.9,9.9,802,2019-08-15 01:00:00.000000,2019-08-15,ACAM,9.81,9.84,9.87,9.88,-0.01,-0.01,-0.0,-0.0
9.8,9.9,9.8,9.81,1436,2019-08-16 01:00:00.000000,2019-08-16,ACAM,9.9,9.8,9.84,9.85,0.01,0.0,0.0,0.01
9.9,9.9,9.9,9.9,1000,2019-08-20 01:00:00.000000,2019-08-20,ACAM,9.84,9.87,9.88,9.85,-0.01,-0.0,-0.0,-0.01
9.84,9.84,9.84,9.84,450024,2019-08-21 01:00:00.000000,2019-08-21,ACAM,9.8,9.84,9.85,9.85,-0.0,0.0,0.0,0.0
9.81,9.84,9.8,9.8,1374,2019-08-23 01:00:00.000000,2019-08-23,ACAM,9.87,9.88,9.85,9.85,0.01,0.01,0.0,0.0
9.87,9.87,9.87,9.87,100,2019-08-26 01:00:00.000000,2019-08-26,ACAM,9.84,9.85,9.85,9.83,-0.0,-0.0,-0.0,-0.0
9.84,9.85,9.84,9.84,550200,2019-08-29 01:00:00.000000,2019-08-29,ACAM,9.88,9.85,9.85,9.83,0.0,0.0,0.0,-0.0
9.8,9.88,9.8,9.88,22080,2019-09-03 01:00:00.000000,2019-09-03,ACAM,9.85,9.85,9.83,9.88,0.01,0.01,0.0,0.01
9.86,9.88,9.85,9.85,1075150,2019-09-04 01:00:00.000000,2019-09-04,ACAM,9.85,9.85,9.83,9.88,-0.0,-0.0,-0.0,0.0
9.87,9.87,9.85,9.85,10213,2019-09-05 01:00:00.000000,2019-09-05,ACAM,9.85,9.83,9.88,9.88,-0.0,-0.0,0.0,0.0
9.85,9.85,9.85,9.85,132500,2019-09-06 01:00:00.000000,2019-09-06,ACAM,9.85,9.83,9.88,9.9,0.0,-0.0,0.0,0.01
9.87,9.87,9.85,9.85,316665,2019-09-09 01:00:00.000000,2019-09-09,ACAM,9.83,9.88,9.88,9.95,-0.0,0.0,0.0,0.01
9.87,9.87,9.83,9.83,201500,2019-09-10 01:00:00.000000,2019-09-10,ACAM,9.83,9.88,9.9,9.9,-0.0,0.0,0.0,0.0
9.83,9.83,9.83,9.83,206,2019-09-11 01:00:00.000000,2019-09-11,ACAM,9.88,9.88,9.95,9.95,0.01,0.01,0.01,0.01
9.88,9.88,9.88,9.88,123,2019-09-12 01:00:00.000000,2019-09-12,ACAM,9.88,9.9,9.9,9.83,0.0,0.0,0.0,-0.01
9.85,9.88,9.87,9.88,10311,2019-09-13 01:00:00.000000,2019-09-13,ACAM,9.88,9.95,9.95,9.85,0.0,0.01,0.01,0.0
9.86,9.88,9.86,9.88,17364,2019-09-16 01:00:00.000000,2019-09-16,ACAM,9.9,9.9,9.83,9.85,0.0,0.0,-0.0,-0.0
9.9,9.9,9.9,9.9,1012,2019-09-18 01:00:00.000000,2019-09-18,ACAM,9.95,9.95,9.85,9.87,0.01,0.01,-0.01,-0.0
9.92,9.95,9.92,9.95,2221,2019-09-20 01:00:00.000000,2019-09-20,ACAM,9.9,9.83,9.85,9.87,-0.0,-0.01,-0.01,-0.01
9.9,9.9,9.9,9.9,3848,2019-09-23 01:00:00.000000,2019-09-23,ACAM,9.95,9.85,9.87,9.83,0.01,-0.01,-0.0,-0.01
9.82,9.95,9.82,9.95,219,2019-10-08 01:00:00.000000,2019-10-08,ACAM,9.83,9.85,9.87,9.89,0.0,0.0,0.01,0.01
9.83,9.94,9.83,9.83,923,2019-10-15 01:00:00.000000,2019-10-15,ACAM,9.85,9.87,9.83,9.85,0.0,0.0,0.0,0.0
9.83,9.85,9.83,9.85,500393,2019-10-16 01:00:00.000000,2019-10-16,ACAM,9.85,9.87,9.89,9.86,0.0,0.0,0.01,0.0
9.85,9.85,9.85,9.85,150039,2019-10-17 01:00:00.000000,2019-10-17,ACAM,9.87,9.83,9.85,9.85,0.0,-0.0,0.0,0.0
9.87,9.87,9.87,9.87,100005,2019-10-18 01:00:00.000000,2019-10-18,ACAM,9.87,9.89,9.86,9.87,0.0,0.0,-0.0,0.0
9.87,9.87,9.87,9.87,100000,2019-10-21 01:00:00.000000,2019-10-21,ACAM,9.83,9.85,9.85,9.9,-0.0,-0.0,-0.0,0.0
9.83,9.83,9.83,9.83,831,2019-10-23 01:00:00.000000,2019-10-23,ACAM,9.89,9.86,9.87,9.91,0.01,0.0,0.0,0.01
9.92,9.92,9.89,9.89,2500,2019-10-29 01:00:00.000000,2019-10-29,ACAM,9.85,9.85,9.9,9.9,-0.01,-0.01,-0.0,-0.0
9.88,9.88,9.85,9.85,600006,2019-10-31 01:00:00.000000,2019-10-31,ACAM,9.86,9.87,9.91,9.93,-0.0,-0.0,0.0,0.01
9.86,9.86,9.86,9.86,10701,2019-11-05 01:00:00.000000,2019-11-05,ACAM,9.85,9.9,9.9,9.93,-0.0,0.0,0.0,0.01
9.85,9.85,9.85,9.85,405,2019-11-06 01:00:00.000000,2019-11-06,ACAM,9.87,9.91,9.93,9.93,0.0,0.01,0.01,0.01
9.89,9.9,9.87,9.87,250111,2019-11-07 01:00:00.000000,2019-11-07,ACAM,9.9,9.9,9.93,9.93,0.0,0.0,0.0,0.0
9.9,9.9,9.9,9.9,50000,2019-11-08 01:00:00.000000,2019-11-08,ACAM,9.91,9.93,9.93,9.9,0.0,0.0,0.0,0.0
9.91,9.91,9.91,9.91,100000,2019-11-11 01:00:00.000000,2019-11-11,ACAM,9.9,9.93,9.93,9.91,-0.0,0.0,0.0,0.0
9.92,9.92,9.9,9.9,227,2019-11-12 01:00:00.000000,2019-11-12,ACAM,9.93,9.93,9.9,9.9,0.0,0.0,-0.0,-0.0
9.9,9.93,9.9,9.93,2177,2019-11-13 01:00:00.000000,2019-11-13,ACAM,9.93,9.93,9.91,9.94,0.0,0.0,0.0,0.0
9.9,9.93,9.9,9.93,337811,2019-11-14 01:00:00.000000,2019-11-14,ACAM,9.93,9.9,9.9,9.92,0.0,0.0,0.0,0.0
9.93,9.93,9.93,9.93,414,2019-11-15 01:00:00.000000,2019-11-15,ACAM,9.93,9.91,9.94,9.94,0.0,-0.0,0.0,0.0
9.93,9.95,9.93,9.93,241013,2019-11-18 01:00:00.000000,2019-11-18,ACAM,9.9,9.9,9.92,9.94,-0.0,-0.0,-0.0,0.0
9.9,9.9,9.9,9.9,101052,2019-11-19 01:00:00.000000,2019-11-19,ACAM,9.91,9.94,9.94,10.05,0.0,0.0,0.0,0.02
9.91,9.91,9.91,9.91,10803,2019-11-22 01:00:00.000000,2019-11-22,ACAM,9.9,9.92,9.94,9.92,-0.0,0.0,0.0,0.0
9.9,9.92,9.9,9.9,755051,2019-11-25 01:00:00.000000,2019-11-25,ACAM,9.94,9.94,10.05,9.91,0.0,0.0,0.02,0.0
9.92,9.94,9.92,9.94,839,2019-11-26 01:00:00.000000,2019-11-26,ACAM,9.92,9.94,9.92,9.94,0.0,0.0,0.0,0.0
9.92,9.92,9.92,9.92,100,2019-11-29 01:00:00.000000,2019-11-29,ACAM,9.94,10.05,9.91,9.96,0.0,0.01,-0.0,0.0
9.94,9.94,9.94,9.94,333,2019-12-03 01:00:00.000000,2019-12-03,ACAM,9.94,9.92,9.94,9.97,0.0,-0.0,0.0,0.0
9.93,9.94,9.93,9.94,500331,2019-12-05 01:00:00.000000,2019-12-05,ACAM,10.05,9.91,9.96,9.97,0.01,-0.0,0.0,0.0
9.95,10.5,9.95,10.05,5955,2019-12-06 01:00:00.000000,2019-12-06,ACAM,9.92,9.94,9.97,9.99,-0.0,-0.0,0.0,0.0
