open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.35,0.35,0.32,0.35,3345300,2018-08-13 01:00:00.000000,2018-08-13,ALGRW,0.35,0.34,0.32,0.32,0.0,-0.03,-0.09,-0.09
0.35,0.37,0.35,0.35,408050,2018-08-14 01:00:00.000000,2018-08-14,ALGRW,0.36,0.34,0.32,0.33,0.03,-0.03,-0.09,-0.06
0.36,0.36,0.36,0.36,20800,2018-08-15 01:00:00.000000,2018-08-15,ALGRW,0.34,0.32,0.32,0.34,-0.06,-0.11,-0.11,-0.07
0.34,0.34,0.34,0.34,25000,2018-08-20 01:00:00.000000,2018-08-20,ALGRW,0.34,0.32,0.33,0.31,-0.0,-0.06,-0.03,-0.09
0.31,0.34,0.31,0.34,104700,2018-08-21 01:00:00.000000,2018-08-21,ALGRW,0.32,0.32,0.34,0.32,0.03,0.03,0.08,0.03
0.34,0.34,0.32,0.32,15000,2018-08-22 01:00:00.000000,2018-08-22,ALGRW,0.32,0.33,0.31,0.33,-0.06,-0.03,-0.09,-0.03
0.33,0.33,0.31,0.32,188200,2018-08-23 01:00:00.000000,2018-08-23,ALGRW,0.32,0.34,0.32,0.33,-0.03,0.02,-0.03,0.0
0.33,0.33,0.32,0.32,57300,2018-08-27 01:00:00.000000,2018-08-27,ALGRW,0.33,0.31,0.33,0.31,0.0,-0.06,0.0,-0.06
0.33,0.33,0.33,0.33,20050,2018-08-28 01:00:00.000000,2018-08-28,ALGRW,0.34,0.32,0.33,0.31,0.02,-0.03,0.0,-0.06
0.33,0.34,0.33,0.34,30000,2018-08-29 01:00:00.000000,2018-08-29,ALGRW,0.31,0.33,0.31,0.31,-0.06,0.0,-0.06,-0.06
0.33,0.34,0.28,0.31,88850,2018-08-30 01:00:00.000000,2018-08-30,ALGRW,0.32,0.33,0.31,0.32,-0.03,0.0,-0.06,-0.03
0.32,0.32,0.32,0.32,45169,2018-08-31 01:00:00.000000,2018-08-31,ALGRW,0.33,0.31,0.31,0.32,0.03,-0.03,-0.03,0.0
0.33,0.33,0.3,0.33,91400,2018-09-04 01:00:00.000000,2018-09-04,ALGRW,0.33,0.31,0.32,0.34,0.0,-0.06,-0.03,0.03
0.3,0.33,0.3,0.33,20200,2018-09-05 01:00:00.000000,2018-09-05,ALGRW,0.31,0.31,0.32,0.34,0.03,0.03,0.07,0.13
0.31,0.31,0.31,0.31,7700,2018-09-06 01:00:00.000000,2018-09-06,ALGRW,0.31,0.32,0.34,0.36,0.0,0.03,0.1,0.16
0.31,0.31,0.31,0.31,75000,2018-09-07 01:00:00.000000,2018-09-07,ALGRW,0.31,0.32,0.34,0.33,0.0,0.03,0.1,0.06
0.31,0.31,0.31,0.31,2207,2018-09-10 01:00:00.000000,2018-09-10,ALGRW,0.32,0.34,0.36,0.33,0.03,0.1,0.16,0.06
0.34,0.34,0.32,0.32,20624,2018-09-12 01:00:00.000000,2018-09-12,ALGRW,0.32,0.34,0.33,0.35,-0.06,0.0,-0.03,0.03
0.32,0.32,0.32,0.32,300,2018-09-13 01:00:00.000000,2018-09-13,ALGRW,0.34,0.36,0.33,0.4,0.06,0.12,0.03,0.25
0.34,0.34,0.34,0.34,3000,2018-09-14 01:00:00.000000,2018-09-14,ALGRW,0.34,0.33,0.35,0.35,0.0,-0.03,0.03,0.03
0.34,0.34,0.34,0.34,100,2018-09-18 01:00:00.000000,2018-09-18,ALGRW,0.36,0.33,0.4,0.35,0.06,-0.03,0.18,0.03
0.3,0.36,0.3,0.36,41500,2018-09-19 01:00:00.000000,2018-09-19,ALGRW,0.33,0.35,0.35,0.36,0.1,0.17,0.17,0.2
0.34,0.34,0.32,0.33,107300,2018-09-20 01:00:00.000000,2018-09-20,ALGRW,0.33,0.4,0.35,0.39,-0.03,0.18,0.03,0.15
0.33,0.33,0.33,0.33,10000,2018-09-21 01:00:00.000000,2018-09-21,ALGRW,0.35,0.35,0.36,0.4,0.06,0.06,0.09,0.21
0.36,0.36,0.34,0.35,445372,2018-09-25 01:00:00.000000,2018-09-25,ALGRW,0.4,0.35,0.39,0.4,0.11,-0.03,0.08,0.1
0.49,0.49,0.4,0.4,2100,2018-09-26 01:00:00.000000,2018-09-26,ALGRW,0.35,0.36,0.4,0.4,-0.28,-0.26,-0.18,-0.18
0.45,0.45,0.35,0.35,15700,2018-09-27 01:00:00.000000,2018-09-27,ALGRW,0.35,0.39,0.4,0.41,-0.22,-0.13,-0.12,-0.09
0.35,0.35,0.35,0.35,6500,2018-09-28 01:00:00.000000,2018-09-28,ALGRW,0.36,0.4,0.4,0.4,0.03,0.14,0.14,0.14
0.35,0.38,0.35,0.36,28076,2018-10-02 01:00:00.000000,2018-10-02,ALGRW,0.39,0.4,0.41,0.4,0.11,0.13,0.17,0.14
0.43,0.43,0.37,0.39,30500,2018-10-04 01:00:00.000000,2018-10-04,ALGRW,0.4,0.4,0.4,0.4,-0.07,-0.07,-0.07,-0.07
0.39,0.45,0.39,0.4,40000,2018-10-05 01:00:00.000000,2018-10-05,ALGRW,0.4,0.41,0.4,0.37,0.02,0.05,0.03,-0.05
0.4,0.4,0.4,0.4,2606,2018-10-08 01:00:00.000000,2018-10-08,ALGRW,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0
0.5,0.5,0.4,0.4,700,2018-10-09 01:00:00.000000,2018-10-09,ALGRW,0.41,0.4,0.37,0.39,-0.18,-0.2,-0.26,-0.22
0.42,0.42,0.4,0.41,21100,2018-10-10 01:00:00.000000,2018-10-10,ALGRW,0.4,0.4,0.4,0.38,-0.05,-0.05,-0.05,-0.1
0.74,0.74,0.4,0.4,14398,2018-10-11 01:00:00.000000,2018-10-11,ALGRW,0.4,0.37,0.39,0.37,-0.46,-0.5,-0.47,-0.5
1.0,1.0,0.4,0.4,3820,2018-10-12 01:00:00.000000,2018-10-12,ALGRW,0.4,0.4,0.38,0.36,-0.6,-0.6,-0.62,-0.64
0.4,0.4,0.4,0.4,100,2018-10-15 01:00:00.000000,2018-10-15,ALGRW,0.37,0.39,0.37,0.35,-0.08,-0.03,-0.08,-0.13
0.39,0.4,0.37,0.37,320300,2018-10-16 01:00:00.000000,2018-10-16,ALGRW,0.4,0.38,0.36,0.36,0.02,-0.03,-0.08,-0.08
0.38,0.4,0.38,0.4,2600,2018-10-17 01:00:00.000000,2018-10-17,ALGRW,0.39,0.37,0.35,0.36,0.03,-0.03,-0.08,-0.05
0.37,0.4,0.37,0.39,2600,2018-10-18 01:00:00.000000,2018-10-18,ALGRW,0.38,0.36,0.36,0.37,0.03,-0.03,-0.03,0.0
0.39,0.39,0.37,0.38,11500,2018-10-19 01:00:00.000000,2018-10-19,ALGRW,0.37,0.35,0.36,0.37,-0.05,-0.1,-0.08,-0.05
0.39,0.39,0.32,0.37,92100,2018-10-23 01:00:00.000000,2018-10-23,ALGRW,0.36,0.36,0.37,0.37,-0.08,-0.08,-0.05,-0.05
0.36,0.36,0.35,0.36,10700,2018-10-24 01:00:00.000000,2018-10-24,ALGRW,0.35,0.36,0.37,0.37,-0.03,0.0,0.03,0.03
0.35,0.35,0.35,0.35,5000,2018-10-25 01:00:00.000000,2018-10-25,ALGRW,0.36,0.37,0.37,0.36,0.03,0.06,0.06,0.03
0.36,0.36,0.3,0.36,5999,2018-10-26 01:00:00.000000,2018-10-26,ALGRW,0.36,0.37,0.37,0.36,0.0,0.03,0.03,0.0
0.34,0.37,0.34,0.36,9810,2018-10-29 01:00:00.000000,2018-10-29,ALGRW,0.37,0.37,0.36,0.36,0.09,0.09,0.06,0.06
0.36,0.37,0.36,0.37,1000,2018-10-30 01:00:00.000000,2018-10-30,ALGRW,0.37,0.37,0.36,0.35,0.03,0.03,0.0,-0.03
0.36,0.37,0.36,0.37,2000,2018-10-31 01:00:00.000000,2018-10-31,ALGRW,0.37,0.36,0.36,0.35,0.03,0.0,0.0,-0.03
0.37,0.37,0.37,0.37,500,2018-11-01 01:00:00.000000,2018-11-01,ALGRW,0.37,0.36,0.35,0.35,0.0,-0.03,-0.05,-0.05
0.37,0.37,0.37,0.37,30000,2018-11-02 01:00:00.000000,2018-11-02,ALGRW,0.36,0.36,0.35,0.35,-0.03,-0.03,-0.05,-0.05
0.37,0.37,0.36,0.36,30200,2018-11-05 01:00:00.000000,2018-11-05,ALGRW,0.36,0.35,0.35,0.36,-0.03,-0.05,-0.05,-0.03
0.36,0.36,0.36,0.36,6000,2018-11-06 01:00:00.000000,2018-11-06,ALGRW,0.36,0.35,0.35,0.36,0.0,-0.03,-0.03,0.0
0.36,0.36,0.36,0.36,3000,2018-11-07 01:00:00.000000,2018-11-07,ALGRW,0.35,0.35,0.36,0.35,-0.03,-0.03,0.0,-0.03
0.37,0.37,0.35,0.35,5000,2018-11-08 01:00:00.000000,2018-11-08,ALGRW,0.35,0.35,0.36,0.32,-0.05,-0.05,-0.03,-0.14
0.35,0.35,0.35,0.35,1000,2018-11-12 01:00:00.000000,2018-11-12,ALGRW,0.35,0.36,0.35,0.31,0.0,0.03,0.0,-0.11
0.35,0.35,0.35,0.35,1000,2018-11-13 01:00:00.000000,2018-11-13,ALGRW,0.35,0.36,0.32,0.3,0.0,0.03,-0.09,-0.14
0.35,0.35,0.35,0.35,500,2018-11-14 01:00:00.000000,2018-11-14,ALGRW,0.36,0.35,0.31,0.31,0.03,0.0,-0.11,-0.11
0.35,0.36,0.35,0.36,1500,2018-11-15 01:00:00.000000,2018-11-15,ALGRW,0.36,0.32,0.3,0.31,0.03,-0.09,-0.14,-0.11
0.36,0.36,0.36,0.36,100,2018-11-16 01:00:00.000000,2018-11-16,ALGRW,0.35,0.31,0.31,0.31,-0.03,-0.14,-0.14,-0.14
0.35,0.35,0.33,0.35,42600,2018-11-19 01:00:00.000000,2018-11-19,ALGRW,0.32,0.3,0.31,0.31,-0.09,-0.14,-0.11,-0.11
0.34,0.34,0.3,0.32,31600,2018-11-20 01:00:00.000000,2018-11-20,ALGRW,0.31,0.31,0.31,0.36,-0.09,-0.09,-0.09,0.06
0.3,0.31,0.3,0.31,17000,2018-11-26 01:00:00.000000,2018-11-26,ALGRW,0.3,0.31,0.31,0.36,0.0,0.03,0.03,0.2
0.3,0.31,0.29,0.3,56400,2018-11-28 01:00:00.000000,2018-11-28,ALGRW,0.31,0.31,0.36,0.36,0.03,0.03,0.2,0.2
0.3,0.31,0.27,0.31,9600,2018-11-29 01:00:00.000000,2018-11-29,ALGRW,0.31,0.31,0.36,0.35,0.03,0.03,0.2,0.17
0.29,0.31,0.24,0.31,2500,2018-11-30 01:00:00.000000,2018-11-30,ALGRW,0.31,0.36,0.36,0.36,0.07,0.24,0.24,0.24
0.3,0.31,0.28,0.31,216600,2018-12-03 01:00:00.000000,2018-12-03,ALGRW,0.31,0.36,0.35,0.35,0.03,0.2,0.17,0.17
0.31,0.36,0.3,0.31,306428,2018-12-04 01:00:00.000000,2018-12-04,ALGRW,0.36,0.36,0.36,0.33,0.16,0.16,0.16,0.06
0.36,0.36,0.33,0.36,300,2018-12-06 01:00:00.000000,2018-12-06,ALGRW,0.36,0.35,0.35,0.31,0.0,-0.03,-0.03,-0.14
0.35,0.36,0.35,0.36,400,2018-12-07 01:00:00.000000,2018-12-07,ALGRW,0.36,0.36,0.33,0.34,0.03,0.03,-0.06,-0.03
