open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.81,0.82,0.8,0.82,1756300,2020-01-10 01:00:00.000000,2020-01-10,ALUS.WS,0.81,0.82,0.82,0.82,0.81,0.82,0.82,0.8,0.78,0.78,0.8,0.75,0.75
0.78,0.82,0.78,0.81,270000,2020-01-16 01:00:00.000000,2020-01-16,ALUS.WS,0.78,0.82,0.82,0.8,0.78,0.78,0.8,0.75,0.75,0.75,0.75,0.77,0.77
0.78,0.84,0.78,0.82,278850,2020-01-17 01:00:00.000000,2020-01-17,ALUS.WS,0.78,0.82,0.8,0.78,0.78,0.8,0.75,0.75,0.75,0.75,0.77,0.77,0.77
0.8,0.8,0.8,0.8,200,2020-01-21 01:00:00.000000,2020-01-21,ALUS.WS,0.82,0.78,0.78,0.8,0.75,0.75,0.75,0.75,0.77,0.77,0.77,0.8,0.8
0.82,0.82,0.78,0.78,200000,2020-01-22 01:00:00.000000,2020-01-22,ALUS.WS,0.82,0.78,0.8,0.75,0.75,0.75,0.75,0.77,0.77,0.77,0.8,0.8,0.8
0.75,0.82,0.75,0.8,465709,2020-01-24 01:00:00.000000,2020-01-24,ALUS.WS,0.75,0.75,0.75,0.75,0.75,0.77,0.77,0.77,0.8,0.8,0.8,0.8,0.75
0.75,0.75,0.75,0.75,100900,2020-01-27 01:00:00.000000,2020-01-27,ALUS.WS,0.75,0.75,0.75,0.75,0.77,0.77,0.77,0.8,0.8,0.8,0.8,0.75,0.75
0.75,0.75,0.75,0.75,235000,2020-01-28 01:00:00.000000,2020-01-28,ALUS.WS,0.75,0.75,0.75,0.77,0.77,0.77,0.8,0.8,0.8,0.8,0.75,0.75,0.75
0.85,0.85,0.77,0.77,1100,2020-01-31 01:00:00.000000,2020-01-31,ALUS.WS,0.85,0.77,0.77,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.75,0.75,0.75
0.8,0.8,0.8,0.8,33600,2020-02-05 01:00:00.000000,2020-02-05,ALUS.WS,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.77,0.77,0.75,0.75,50100,2020-02-11 01:00:00.000000,2020-02-11,ALUS.WS,0.77,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.82,0.78,0.78,0.75
0.75,0.75,0.75,0.75,171141,2020-02-14 01:00:00.000000,2020-02-14,ALUS.WS,0.75,0.75,0.75,0.75,0.75,0.75,0.82,0.78,0.78,0.75,0.8,0.8,0.8
0.75,0.75,0.75,0.75,50000,2020-02-18 01:00:00.000000,2020-02-18,ALUS.WS,0.75,0.75,0.75,0.75,0.82,0.78,0.78,0.75,0.8,0.8,0.8,0.8,0.8
0.75,0.75,0.75,0.75,354932,2020-02-21 01:00:00.000000,2020-02-21,ALUS.WS,0.78,0.82,0.78,0.78,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.75
0.78,0.82,0.75,0.82,99450,2020-02-24 01:00:00.000000,2020-02-24,ALUS.WS,0.77,0.78,0.78,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.75,0.75
0.77,0.78,0.77,0.78,10600,2020-02-25 01:00:00.000000,2020-02-25,ALUS.WS,0.77,0.78,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.75
0.76,0.78,0.75,0.75,60200,2020-02-27 01:00:00.000000,2020-02-27,ALUS.WS,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.8,0.75,0.8,26300,2020-02-28 01:00:00.000000,2020-02-28,ALUS.WS,0.75,0.8,0.8,0.8,0.8,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.78
0.75,0.78,0.75,0.75,1125100,2020-03-09 01:00:00.000000,2020-03-09,ALUS.WS,0.75,0.75,0.75,0.75,0.75,0.75,0.78,0.9,0.78,0.78,0.75,0.75,0.75
0.75,0.75,0.75,0.75,583650,2020-03-10 01:00:00.000000,2020-03-10,ALUS.WS,0.75,0.75,0.75,0.75,0.75,0.78,0.9,0.78,0.78,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,500400,2020-03-11 01:00:00.000000,2020-03-11,ALUS.WS,0.74,0.75,0.75,0.75,0.78,0.9,0.78,0.78,0.75,0.75,0.75,0.75,0.75
0.74,0.75,0.74,0.75,307780,2020-03-12 01:00:00.000000,2020-03-12,ALUS.WS,0.75,0.75,0.75,0.78,0.9,0.78,0.78,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,500000,2020-03-13 01:00:00.000000,2020-03-13,ALUS.WS,0.8,0.75,0.78,0.9,0.78,0.78,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.8,0.8,0.75,0.75,155096,2020-03-16 01:00:00.000000,2020-03-16,ALUS.WS,0.8,0.78,0.9,0.78,0.78,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.8,0.8,0.78,0.78,2400,2020-03-17 01:00:00.000000,2020-03-17,ALUS.WS,0.75,0.9,0.78,0.78,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.9,0.75,0.9,8300,2020-03-18 01:00:00.000000,2020-03-18,ALUS.WS,0.75,0.78,0.78,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
