open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.82,9.82,9.82,9.82,150000,2020-01-10 01:00:00.000000,2020-01-10,AMHC,9.82,9.88,9.85,9.87,0.0,0.01,0.0,0.01
9.82,9.82,9.82,9.82,400000,2020-01-13 01:00:00.000000,2020-01-13,AMHC,9.85,9.88,9.87,9.85,0.0,0.01,0.01,0.0
9.86,9.86,9.85,9.85,90926,2020-01-22 01:00:00.000000,2020-01-22,AMHC,9.88,9.85,9.87,9.94,0.0,-0.0,0.0,0.01
9.8,9.88,9.8,9.88,109600,2020-01-24 01:00:00.000000,2020-01-24,AMHC,9.88,9.87,9.85,9.84,0.01,0.01,0.01,0.0
9.88,9.88,9.85,9.88,548100,2020-01-27 01:00:00.000000,2020-01-27,AMHC,9.85,9.87,9.94,9.84,-0.0,-0.0,0.01,-0.0
9.85,9.85,9.85,9.85,119700,2020-01-28 01:00:00.000000,2020-01-28,AMHC,9.87,9.85,9.84,9.93,0.0,0.0,-0.0,0.01
9.87,9.87,9.87,9.87,598,2020-01-30 01:00:00.000000,2020-01-30,AMHC,9.87,9.94,9.84,9.93,0.0,0.01,-0.0,0.01
9.87,9.87,9.87,9.87,52500,2020-02-04 01:00:00.000000,2020-02-04,AMHC,9.85,9.84,9.93,9.88,-0.0,-0.0,0.01,0.0
9.85,9.85,9.85,9.85,325000,2020-02-06 01:00:00.000000,2020-02-06,AMHC,9.94,9.84,9.93,9.88,0.01,-0.0,0.01,0.0
9.94,9.94,9.94,9.94,1002,2020-02-10 01:00:00.000000,2020-02-10,AMHC,9.84,9.93,9.88,9.87,-0.01,-0.0,-0.01,-0.01
9.84,9.84,9.84,9.84,250000,2020-02-13 01:00:00.000000,2020-02-13,AMHC,9.84,9.93,9.88,9.88,0.0,0.01,0.0,0.0
9.84,9.86,9.84,9.84,24804,2020-02-14 01:00:00.000000,2020-02-14,AMHC,9.93,9.88,9.87,9.86,0.01,0.0,0.0,0.0
9.84,9.93,9.84,9.93,45200,2020-02-19 01:00:00.000000,2020-02-19,AMHC,9.93,9.88,9.88,9.76,0.01,0.0,0.0,-0.01
9.85,9.95,9.85,9.93,146700,2020-02-20 01:00:00.000000,2020-02-20,AMHC,9.88,9.87,9.86,9.76,0.0,0.0,0.0,-0.01
9.89,9.89,9.88,9.88,222910,2020-02-25 01:00:00.000000,2020-02-25,AMHC,9.88,9.88,9.76,9.7,-0.0,-0.0,-0.01,-0.02
9.93,9.93,9.88,9.88,19000,2020-02-26 01:00:00.000000,2020-02-26,AMHC,9.87,9.86,9.76,9.94,-0.01,-0.01,-0.02,0.0
9.87,9.87,9.87,9.87,100001,2020-02-27 01:00:00.000000,2020-02-27,AMHC,9.88,9.76,9.7,9.5,0.0,-0.01,-0.02,-0.04
