open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.77,1.85,1.48,1.8,109036,2018-01-02 01:00:00.000000,2018-01-02,ANDAW,1.81,1.84,1.82,1.79,1.8,1.7,1.65,1.77,1.71,1.71,1.7,1.76,1.8
1.81,1.9,1.65,1.84,59730,2018-01-03 01:00:00.000000,2018-01-03,ANDAW,1.82,1.82,1.79,1.8,1.7,1.65,1.77,1.71,1.71,1.7,1.76,1.8,1.74
1.82,1.88,1.73,1.82,38794,2018-01-04 01:00:00.000000,2018-01-04,ANDAW,1.8,1.79,1.8,1.7,1.65,1.77,1.71,1.71,1.7,1.76,1.8,1.74,1.73
1.8,1.85,1.78,1.79,16800,2018-01-05 01:00:00.000000,2018-01-05,ANDAW,1.78,1.8,1.7,1.65,1.77,1.71,1.71,1.7,1.76,1.8,1.74,1.73,1.75
1.78,1.8,1.64,1.8,15124,2018-01-08 01:00:00.000000,2018-01-08,ANDAW,1.8,1.7,1.65,1.77,1.71,1.71,1.7,1.76,1.8,1.74,1.73,1.75,1.73
1.8,1.8,1.53,1.7,38079,2018-01-09 01:00:00.000000,2018-01-09,ANDAW,1.7,1.65,1.77,1.71,1.71,1.7,1.76,1.8,1.74,1.73,1.75,1.73,1.74
1.7,1.7,1.63,1.65,2845,2018-01-10 01:00:00.000000,2018-01-10,ANDAW,1.66,1.77,1.71,1.71,1.7,1.76,1.8,1.74,1.73,1.75,1.73,1.74,1.75
1.66,1.79,1.6,1.77,15587,2018-01-11 01:00:00.000000,2018-01-11,ANDAW,1.77,1.71,1.71,1.7,1.76,1.8,1.74,1.73,1.75,1.73,1.74,1.75,1.75
1.77,1.77,1.65,1.71,6430,2018-01-12 01:00:00.000000,2018-01-12,ANDAW,1.77,1.71,1.7,1.76,1.8,1.74,1.73,1.75,1.73,1.74,1.75,1.75,1.71
1.7,1.72,1.7,1.7,2094,2018-01-16 01:00:00.000000,2018-01-16,ANDAW,1.71,1.76,1.8,1.74,1.73,1.75,1.73,1.74,1.75,1.75,1.71,1.87,1.85
1.71,1.8,1.7,1.76,6590,2018-01-17 01:00:00.000000,2018-01-17,ANDAW,1.75,1.8,1.74,1.73,1.75,1.73,1.74,1.75,1.75,1.71,1.87,1.85,1.87
1.75,1.8,1.75,1.8,2600,2018-01-18 01:00:00.000000,2018-01-18,ANDAW,1.73,1.74,1.73,1.75,1.73,1.74,1.75,1.75,1.71,1.87,1.85,1.87,1.76
1.73,1.74,1.68,1.74,5000,2018-01-19 01:00:00.000000,2018-01-19,ANDAW,1.74,1.73,1.75,1.73,1.74,1.75,1.75,1.71,1.87,1.85,1.87,1.76,1.87
1.74,1.75,1.67,1.73,7000,2018-01-22 01:00:00.000000,2018-01-22,ANDAW,1.74,1.75,1.73,1.74,1.75,1.75,1.71,1.87,1.85,1.87,1.76,1.87,1.94
1.74,1.79,1.69,1.75,7400,2018-01-23 01:00:00.000000,2018-01-23,ANDAW,1.77,1.73,1.74,1.75,1.75,1.71,1.87,1.85,1.87,1.76,1.87,1.94,1.85
1.77,1.77,1.64,1.73,11886,2018-01-24 01:00:00.000000,2018-01-24,ANDAW,1.74,1.74,1.75,1.75,1.71,1.87,1.85,1.87,1.76,1.87,1.94,1.85,1.73
1.74,1.75,1.65,1.74,52300,2018-01-25 01:00:00.000000,2018-01-25,ANDAW,1.73,1.75,1.75,1.71,1.87,1.85,1.87,1.76,1.87,1.94,1.85,1.73,1.71
1.73,1.75,1.64,1.75,16400,2018-01-26 01:00:00.000000,2018-01-26,ANDAW,1.75,1.75,1.71,1.87,1.85,1.87,1.76,1.87,1.94,1.85,1.73,1.71,1.71
1.75,1.75,1.75,1.75,200,2018-01-29 01:00:00.000000,2018-01-29,ANDAW,1.75,1.71,1.87,1.85,1.87,1.76,1.87,1.94,1.85,1.73,1.71,1.71,1.6
1.75,1.75,1.71,1.71,3000,2018-01-30 01:00:00.000000,2018-01-30,ANDAW,1.75,1.87,1.85,1.87,1.76,1.87,1.94,1.85,1.73,1.71,1.71,1.6,1.65
1.75,1.9,1.75,1.87,37800,2018-01-31 01:00:00.000000,2018-01-31,ANDAW,1.76,1.85,1.87,1.76,1.87,1.94,1.85,1.73,1.71,1.71,1.6,1.65,1.86
1.76,1.9,1.71,1.85,29540,2018-02-01 01:00:00.000000,2018-02-01,ANDAW,1.85,1.87,1.76,1.87,1.94,1.85,1.73,1.71,1.71,1.6,1.65,1.86,1.86
1.85,1.9,1.75,1.87,11500,2018-02-02 01:00:00.000000,2018-02-02,ANDAW,1.82,1.76,1.87,1.94,1.85,1.73,1.71,1.71,1.6,1.65,1.86,1.86,2.3
1.82,1.9,1.76,1.76,7400,2018-02-05 01:00:00.000000,2018-02-05,ANDAW,1.87,1.87,1.94,1.85,1.73,1.71,1.71,1.6,1.65,1.86,1.86,2.3,1.9
1.87,1.9,1.78,1.87,11800,2018-02-06 01:00:00.000000,2018-02-06,ANDAW,1.93,1.94,1.85,1.73,1.71,1.71,1.6,1.65,1.86,1.86,2.3,1.9,2.03
1.93,1.96,1.82,1.94,12703,2018-02-07 01:00:00.000000,2018-02-07,ANDAW,1.98,1.85,1.73,1.71,1.71,1.6,1.65,1.86,1.86,2.3,1.9,2.03,2.06
1.98,2.0,1.76,1.85,47931,2018-02-08 01:00:00.000000,2018-02-08,ANDAW,1.91,1.73,1.71,1.71,1.6,1.65,1.86,1.86,2.3,1.9,2.03,2.06,2.0
1.91,1.91,1.72,1.73,24200,2018-02-09 01:00:00.000000,2018-02-09,ANDAW,1.76,1.71,1.71,1.6,1.65,1.86,1.86,2.3,1.9,2.03,2.06,2.0,2.2
1.76,1.78,1.71,1.71,500,2018-02-12 01:00:00.000000,2018-02-12,ANDAW,1.76,1.71,1.6,1.65,1.86,1.86,2.3,1.9,2.03,2.06,2.0,2.2,2.24
1.76,1.77,1.6,1.71,57103,2018-02-13 01:00:00.000000,2018-02-13,ANDAW,1.73,1.6,1.65,1.86,1.86,2.3,1.9,2.03,2.06,2.0,2.2,2.24,2.1
1.73,1.73,1.55,1.6,14100,2018-02-14 01:00:00.000000,2018-02-14,ANDAW,1.75,1.65,1.86,1.86,2.3,1.9,2.03,2.06,2.0,2.2,2.24,2.1,1.99
1.75,1.75,1.63,1.65,32275,2018-02-15 01:00:00.000000,2018-02-15,ANDAW,1.66,1.86,1.86,2.3,1.9,2.03,2.06,2.0,2.2,2.24,2.1,1.99,1.95
1.66,1.89,1.6,1.86,56345,2018-02-16 01:00:00.000000,2018-02-16,ANDAW,1.66,1.86,2.3,1.9,2.03,2.06,2.0,2.2,2.24,2.1,1.99,1.95,1.95
1.9,2.63,1.75,2.3,99310,2018-02-20 01:00:00.000000,2018-02-20,ANDAW,2.3,1.9,2.03,2.06,2.0,2.2,2.24,2.1,1.99,1.95,1.95,2.0,2.0
2.3,2.3,1.76,1.9,12000,2018-02-21 01:00:00.000000,2018-02-21,ANDAW,1.9,2.03,2.06,2.0,2.2,2.24,2.1,1.99,1.95,1.95,2.0,2.0,1.95
1.9,2.3,1.87,2.03,76057,2018-02-22 01:00:00.000000,2018-02-22,ANDAW,1.94,2.06,2.0,2.2,2.24,2.1,1.99,1.95,1.95,2.0,2.0,1.95,1.95
1.94,2.06,1.94,2.06,2428,2018-02-23 01:00:00.000000,2018-02-23,ANDAW,2.06,2.0,2.2,2.24,2.1,1.99,1.95,1.95,2.0,2.0,1.95,1.95,1.95
2.06,2.3,1.73,2.0,43270,2018-02-26 01:00:00.000000,2018-02-26,ANDAW,2.13,2.2,2.24,2.1,1.99,1.95,1.95,2.0,2.0,1.95,1.95,1.95,1.99
2.13,2.29,2.12,2.2,12203,2018-02-27 01:00:00.000000,2018-02-27,ANDAW,2.2,2.24,2.1,1.99,1.95,1.95,2.0,2.0,1.95,1.95,1.95,1.99,1.87
2.2,2.25,2.06,2.24,36630,2018-02-28 01:00:00.000000,2018-02-28,ANDAW,2.25,2.1,1.99,1.95,1.95,2.0,2.0,1.95,1.95,1.95,1.99,1.87,1.87
2.25,2.25,1.9,2.1,8407,2018-03-01 01:00:00.000000,2018-03-01,ANDAW,2.07,1.99,1.95,1.95,2.0,2.0,1.95,1.95,1.95,1.99,1.87,1.87,1.87
2.07,2.07,1.81,1.99,6608,2018-03-02 01:00:00.000000,2018-03-02,ANDAW,2.0,1.95,1.95,2.0,2.0,1.95,1.95,1.95,1.99,1.87,1.87,1.87,1.87
2.0,2.08,1.8,1.95,10044,2018-03-05 01:00:00.000000,2018-03-05,ANDAW,1.96,1.95,2.0,2.0,1.95,1.95,1.95,1.99,1.87,1.87,1.87,1.87,1.87
1.96,2.0,1.83,1.95,5529,2018-03-06 01:00:00.000000,2018-03-06,ANDAW,2.0,2.0,2.0,1.95,1.95,1.95,1.99,1.87,1.87,1.87,1.87,1.87,1.87
2.0,2.19,1.86,2.0,13200,2018-03-07 01:00:00.000000,2018-03-07,ANDAW,2.16,2.0,1.95,1.95,1.95,1.99,1.87,1.87,1.87,1.87,1.87,1.87,1.87
2.16,2.26,2.0,2.0,4200,2018-03-08 01:00:00.000000,2018-03-08,ANDAW,1.99,1.95,1.95,1.95,1.99,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
1.99,2.04,1.86,1.95,30850,2018-03-09 01:00:00.000000,2018-03-09,ANDAW,1.95,1.95,1.95,1.99,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
1.95,1.96,1.92,1.95,9930,2018-03-12 01:00:00.000000,2018-03-12,ANDAW,1.97,1.95,1.99,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
1.97,1.97,1.9,1.95,4500,2018-03-13 01:00:00.000000,2018-03-13,ANDAW,1.95,1.99,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
1.95,2.05,1.77,1.99,45000,2018-03-14 01:00:00.000000,2018-03-14,ANDAW,1.95,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
1.95,2.0,1.85,1.87,19100,2018-03-15 01:00:00.000000,2018-03-15,ANDAW,1.95,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87,1.87
0.19,0.19,0.17,0.17,711600,2019-03-06 01:00:00.000000,2019-03-06,ANDAW,0.2,0.16,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.2
0.2,0.2,0.16,0.16,26900,2019-03-07 01:00:00.000000,2019-03-07,ANDAW,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.2,0.17
0.2,0.2,0.19,0.19,65000,2019-03-08 01:00:00.000000,2019-03-08,ANDAW,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.2,0.17,0.17
0.19,0.19,0.19,0.19,300,2019-03-11 01:00:00.000000,2019-03-11,ANDAW,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.2,0.17,0.17,0.17
0.19,0.19,0.19,0.19,200,2019-03-12 01:00:00.000000,2019-03-12,ANDAW,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.2,0.17,0.17,0.17,0.2
0.19,0.19,0.19,0.19,31200,2019-03-13 01:00:00.000000,2019-03-13,ANDAW,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.2,0.17,0.17,0.17,0.2,0.2
0.19,0.19,0.19,0.19,101100,2019-03-14 01:00:00.000000,2019-03-14,ANDAW,0.19,0.19,0.19,0.19,0.19,0.17,0.2,0.17,0.17,0.17,0.2,0.2,0.18
0.19,0.19,0.19,0.19,33700,2019-03-15 01:00:00.000000,2019-03-15,ANDAW,0.19,0.19,0.19,0.19,0.17,0.2,0.17,0.17,0.17,0.2,0.2,0.18,0.18
0.19,0.19,0.19,0.19,300,2019-03-18 01:00:00.000000,2019-03-18,ANDAW,0.19,0.19,0.19,0.17,0.2,0.17,0.17,0.17,0.2,0.2,0.18,0.18,0.18
0.18,0.18,0.17,0.17,301000,2019-03-21 01:00:00.000000,2019-03-21,ANDAW,0.2,0.2,0.17,0.17,0.17,0.2,0.2,0.18,0.18,0.18,0.2,0.18,0.18
0.2,0.2,0.2,0.2,300,2019-03-22 01:00:00.000000,2019-03-22,ANDAW,0.19,0.17,0.17,0.17,0.2,0.2,0.18,0.18,0.18,0.2,0.18,0.18,0.18
0.19,0.19,0.17,0.17,63000,2019-03-25 01:00:00.000000,2019-03-25,ANDAW,0.19,0.17,0.17,0.2,0.2,0.18,0.18,0.18,0.2,0.18,0.18,0.18,0.18
0.19,0.2,0.19,0.2,7800,2019-03-28 01:00:00.000000,2019-03-28,ANDAW,0.19,0.2,0.18,0.18,0.18,0.2,0.18,0.18,0.18,0.18,0.2,0.2,0.2
0.19,0.19,0.18,0.18,25000,2019-04-01 01:00:00.000000,2019-04-01,ANDAW,0.19,0.18,0.18,0.2,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.22
0.2,0.2,0.2,0.2,200,2019-04-04 01:00:00.000000,2019-04-04,ANDAW,0.19,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.22,0.24,0.24,0.25
0.19,0.19,0.18,0.18,11800,2019-04-05 01:00:00.000000,2019-04-05,ANDAW,0.19,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.22,0.24,0.24,0.25,0.25
0.17,0.21,0.17,0.2,183680,2019-04-11 01:00:00.000000,2019-04-11,ANDAW,0.17,0.2,0.2,0.2,0.22,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25
0.2,0.2,0.2,0.2,30100,2019-04-15 01:00:00.000000,2019-04-15,ANDAW,0.2,0.2,0.22,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.2,0.2,0.2,0.2,25300,2019-04-16 01:00:00.000000,2019-04-16,ANDAW,0.22,0.22,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26
0.22,0.22,0.22,0.22,56000,2019-04-17 01:00:00.000000,2019-04-17,ANDAW,0.2,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26
0.2,0.25,0.2,0.24,78200,2019-04-18 01:00:00.000000,2019-04-18,ANDAW,0.2,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25
0.25,0.25,0.25,0.25,14300,2019-04-22 01:00:00.000000,2019-04-22,ANDAW,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25
0.25,0.25,0.25,0.25,126300,2019-04-23 01:00:00.000000,2019-04-23,ANDAW,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,100,2019-04-24 01:00:00.000000,2019-04-24,ANDAW,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,4000,2019-04-29 01:00:00.000000,2019-04-29,ANDAW,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23
0.25,0.25,0.25,0.25,17500,2019-04-30 01:00:00.000000,2019-04-30,ANDAW,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23
0.25,0.25,0.25,0.25,2000,2019-05-01 01:00:00.000000,2019-05-01,ANDAW,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23
0.25,0.26,0.25,0.26,7400,2019-05-02 01:00:00.000000,2019-05-02,ANDAW,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.25
0.25,0.26,0.25,0.26,1520,2019-05-03 01:00:00.000000,2019-05-03,ANDAW,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.25,0.24
0.25,0.25,0.25,0.25,1000,2019-05-06 01:00:00.000000,2019-05-06,ANDAW,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.25,0.24,0.24
0.25,0.25,0.25,0.25,1800,2019-05-07 01:00:00.000000,2019-05-07,ANDAW,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.25,0.24,0.24,0.24
0.25,0.25,0.25,0.25,39400,2019-05-08 01:00:00.000000,2019-05-08,ANDAW,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.25,0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24,100,2019-05-14 01:00:00.000000,2019-05-14,ANDAW,0.26,0.23,0.23,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.2
0.26,0.26,0.23,0.23,5600,2019-05-15 01:00:00.000000,2019-05-15,ANDAW,0.26,0.23,0.23,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.2,0.2
0.25,0.25,0.25,0.25,100,2019-05-20 01:00:00.000000,2019-05-20,ANDAW,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.2,0.2,0.2,0.2,0.2
0.22,0.24,0.19,0.24,23500,2019-05-21 01:00:00.000000,2019-05-21,ANDAW,0.22,0.24,0.24,0.24,0.24,0.24,0.22,0.2,0.2,0.2,0.2,0.2,0.26
0.22,0.22,0.19,0.22,96040,2019-05-29 01:00:00.000000,2019-05-29,ANDAW,0.2,0.2,0.2,0.2,0.2,0.2,0.26,0.23,0.23,0.23,0.25,0.25,0.23
0.2,0.2,0.2,0.2,4000,2019-05-30 01:00:00.000000,2019-05-30,ANDAW,0.2,0.2,0.2,0.2,0.2,0.26,0.23,0.23,0.23,0.25,0.25,0.23,0.23
0.26,0.26,0.26,0.26,100,2019-06-06 01:00:00.000000,2019-06-06,ANDAW,0.23,0.23,0.23,0.23,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23,200,2019-06-07 01:00:00.000000,2019-06-07,ANDAW,0.23,0.23,0.23,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21
0.23,0.23,0.23,0.23,100,2019-06-10 01:00:00.000000,2019-06-10,ANDAW,0.23,0.23,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.21
0.23,0.23,0.23,0.23,300,2019-06-11 01:00:00.000000,2019-06-11,ANDAW,0.25,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.21
0.25,0.25,0.25,0.25,15000,2019-06-12 01:00:00.000000,2019-06-12,ANDAW,0.25,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.21,0.21
0.23,0.23,0.23,0.23,200,2019-06-14 01:00:00.000000,2019-06-14,ANDAW,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,100,2019-06-25 01:00:00.000000,2019-06-25,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,1000,2019-06-26 01:00:00.000000,2019-06-26,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,1000,2019-07-08 01:00:00.000000,2019-07-08,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,200,2019-07-16 01:00:00.000000,2019-07-16,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,7400,2019-07-17 01:00:00.000000,2019-07-17,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,1000,2019-07-18 01:00:00.000000,2019-07-18,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,1000,2019-07-19 01:00:00.000000,2019-07-19,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,1000,2019-07-23 01:00:00.000000,2019-07-23,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21,6000,2019-07-31 01:00:00.000000,2019-07-31,ANDAW,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
