open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.0,1.2,1.0,1.0,1014300,2019-11-05 01:00:00.000000,2019-11-05,APXTW,0.98,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.98,1.0,0.9,1.0,176100,2019-11-06 01:00:00.000000,2019-11-06,APXTW,0.98,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,100,2019-11-13 01:00:00.000000,2019-11-13,APXTW,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.2,1.2,1.2,1.2,1.2
0.99,1.2,0.99,1.2,11700,2019-11-25 01:00:00.000000,2019-11-25,APXTW,0.99,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
0.9,1.2,0.9,1.2,5500,2019-11-27 01:00:00.000000,2019-11-27,APXTW,0.9,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
1.0,1.2,1.0,1.05,30400,2019-12-19 01:00:00.000000,2019-12-19,APXTW,1.0,1.05,1.05,1.1,1.1,1.1,1.25,1.25,1.15,1.15,1.15,1.15,1.25
1.25,1.25,1.1,1.1,30500,2019-12-24 01:00:00.000000,2019-12-24,APXTW,1.25,1.1,1.1,1.25,1.25,1.15,1.15,1.15,1.15,1.25,1.25,1.2,1.2
1.25,1.25,1.12,1.25,85600,2019-12-27 01:00:00.000000,2019-12-27,APXTW,1.25,1.25,1.15,1.15,1.15,1.15,1.25,1.25,1.2,1.2,1.2,1.2,1.2
1.25,1.25,1.25,1.25,917,2019-12-30 01:00:00.000000,2019-12-30,APXTW,0.92,1.15,1.15,1.15,1.15,1.25,1.25,1.2,1.2,1.2,1.2,1.2,1.2
0.92,1.25,0.91,1.15,10100,2019-12-31 01:00:00.000000,2019-12-31,APXTW,0.92,1.15,1.15,1.15,1.25,1.25,1.2,1.2,1.2,1.2,1.2,1.2,1.25
1.23,1.25,1.23,1.25,1999,2020-01-06 01:00:00.000000,2020-01-06,APXTW,1.23,1.25,1.2,1.2,1.2,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25
1.2,1.2,1.2,1.2,1000,2020-01-08 01:00:00.000000,2020-01-08,APXTW,1.2,1.2,1.2,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25,1.28,1.34
1.25,1.25,1.2,1.2,145633,2020-01-10 01:00:00.000000,2020-01-10,APXTW,1.2,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25,1.28,1.34,1.4,1.25
1.2,1.2,1.2,1.2,163000,2020-01-13 01:00:00.000000,2020-01-13,APXTW,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25,1.28,1.34,1.4,1.25,1.25
1.25,1.25,1.25,1.25,1737,2020-01-16 01:00:00.000000,2020-01-16,APXTW,1.25,1.25,1.25,1.25,1.25,1.28,1.34,1.4,1.25,1.25,1.26,1.26,1.25
1.25,1.3,1.21,1.25,106920,2020-01-21 01:00:00.000000,2020-01-21,APXTW,1.25,1.25,1.28,1.34,1.4,1.25,1.25,1.26,1.26,1.25,1.25,1.25,1.25
1.25,1.25,1.21,1.25,250630,2020-01-22 01:00:00.000000,2020-01-22,APXTW,1.25,1.28,1.34,1.4,1.25,1.25,1.26,1.26,1.25,1.25,1.25,1.25,1.35
1.25,1.28,1.25,1.28,166298,2020-01-23 01:00:00.000000,2020-01-23,APXTW,1.34,1.34,1.4,1.25,1.25,1.26,1.26,1.25,1.25,1.25,1.25,1.35,1.35
1.34,1.34,1.34,1.34,100,2020-01-24 01:00:00.000000,2020-01-24,APXTW,1.3,1.4,1.25,1.25,1.26,1.26,1.25,1.25,1.25,1.25,1.35,1.35,1.3
1.3,1.4,1.3,1.4,102510,2020-01-27 01:00:00.000000,2020-01-27,APXTW,1.25,1.25,1.25,1.26,1.26,1.25,1.25,1.25,1.25,1.35,1.35,1.3,1.3
1.25,1.25,1.25,1.25,1405,2020-01-28 01:00:00.000000,2020-01-28,APXTW,1.25,1.25,1.26,1.26,1.25,1.25,1.25,1.25,1.35,1.35,1.3,1.3,1.3
1.3,1.3,1.26,1.26,1707,2020-01-30 01:00:00.000000,2020-01-30,APXTW,0.8,1.26,1.25,1.25,1.25,1.25,1.35,1.35,1.3,1.3,1.3,1.3,1.3
0.8,1.26,0.8,1.26,380,2020-01-31 01:00:00.000000,2020-01-31,APXTW,1.25,1.25,1.25,1.25,1.25,1.35,1.35,1.3,1.3,1.3,1.3,1.3,1.3
1.25,1.26,1.25,1.25,8950,2020-02-03 01:00:00.000000,2020-02-03,APXTW,1.25,1.25,1.25,1.25,1.35,1.35,1.3,1.3,1.3,1.3,1.3,1.3,1.3
1.26,1.26,1.25,1.25,75500,2020-02-05 01:00:00.000000,2020-02-05,APXTW,1.26,1.25,1.35,1.35,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
1.25,1.35,1.25,1.35,27400,2020-02-07 01:00:00.000000,2020-02-07,APXTW,1.25,1.35,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.37
1.3,1.3,1.3,1.3,100,2020-02-11 01:00:00.000000,2020-02-11,APXTW,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.37,1.37,1.37
1.3,1.3,1.3,1.3,125000,2020-02-13 01:00:00.000000,2020-02-13,APXTW,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.37,1.37,1.37,1.37,1.37
1.25,1.3,1.25,1.3,174850,2020-02-19 01:00:00.000000,2020-02-19,APXTW,1.25,1.3,1.3,1.3,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37
1.25,1.37,1.25,1.37,41017,2020-02-25 01:00:00.000000,2020-02-25,APXTW,1.25,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.4,1.27,1.27,1.15
1.25,1.37,1.25,1.37,600,2020-02-26 01:00:00.000000,2020-02-26,APXTW,1.25,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.4,1.27,1.27,1.15,0.95
1.75,1.75,1.4,1.4,10950,2020-03-09 01:00:00.000000,2020-03-09,APXTW,1.4,1.27,1.27,1.15,0.95,0.81,0.99,0.99,0.9,0.75,0.7,0.93,1.09
1.4,1.4,1.25,1.27,23012,2020-03-10 01:00:00.000000,2020-03-10,APXTW,1.4,1.27,1.15,0.95,0.81,0.99,0.99,0.9,0.75,0.7,0.93,1.09,1.13
1.1,1.15,1.1,1.15,400,2020-03-12 01:00:00.000000,2020-03-12,APXTW,1.1,0.95,0.81,0.99,0.99,0.9,0.75,0.7,0.93,1.09,1.13,1.04,1.0
1.1,1.23,0.81,0.95,11150,2020-03-13 01:00:00.000000,2020-03-13,APXTW,0.81,0.81,0.99,0.99,0.9,0.75,0.7,0.93,1.09,1.13,1.04,1.0,0.9
0.81,0.81,0.81,0.81,600,2020-03-16 01:00:00.000000,2020-03-16,APXTW,0.99,0.99,0.99,0.9,0.75,0.7,0.93,1.09,1.13,1.04,1.0,0.9,0.9
0.99,0.99,0.99,0.99,507,2020-03-17 01:00:00.000000,2020-03-17,APXTW,0.69,0.99,0.9,0.75,0.7,0.93,1.09,1.13,1.04,1.0,0.9,0.9,0.9
