open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.3,1.3,1.3,1.3,100,2020-07-30 01:00:00.000000,2020-07-30,ARYBW,1.3,1.3,1.3,1.3,1.5,1.5,1.5,1.75,1.75,2.5,2.6,2.0,2.05
1.51,1.51,1.5,1.5,1603,2020-08-05 01:00:00.000000,2020-08-05,ARYBW,1.51,1.5,1.5,1.75,1.75,2.5,2.6,2.0,2.05,2.1,2.1,1.9,1.9
1.75,1.75,1.75,1.75,385,2020-08-10 01:00:00.000000,2020-08-10,ARYBW,1.75,1.75,2.5,2.6,2.0,2.05,2.1,2.1,1.9,1.9,1.7,1.7,
2.1,3.0,2.1,2.5,1694,2020-08-12 01:00:00.000000,2020-08-12,ARYBW,3.0,2.6,2.0,2.05,2.1,2.1,1.9,1.9,1.7,1.7,,,
3.0,3.0,2.1,2.6,8368,2020-08-13 01:00:00.000000,2020-08-13,ARYBW,2.0,2.0,2.05,2.1,2.1,1.9,1.9,1.7,1.7,,,,
2.0,2.0,2.0,2.0,257,2020-08-14 01:00:00.000000,2020-08-14,ARYBW,1.77,2.05,2.1,2.1,1.9,1.9,1.7,1.7,,,,,
1.77,2.05,1.77,2.05,2241,2020-08-17 01:00:00.000000,2020-08-17,ARYBW,2.1,2.1,2.1,1.9,1.9,1.7,1.7,,,,,,
2.1,2.16,2.1,2.1,7327,2020-08-18 01:00:00.000000,2020-08-18,ARYBW,2.13,2.1,1.9,1.9,1.7,1.7,,,,,,,
2.13,2.15,2.1,2.1,12151,2020-08-19 01:00:00.000000,2020-08-19,ARYBW,2.0,1.9,1.9,1.7,1.7,,,,,,,,
2.0,2.0,1.81,1.9,1169,2020-08-20 01:00:00.000000,2020-08-20,ARYBW,1.95,1.9,1.7,1.7,,,,,,,,,
1.95,1.95,1.9,1.9,3497,2020-08-21 01:00:00.000000,2020-08-21,ARYBW,1.9,1.7,1.7,,,,,,,,,,
1.9,1.9,1.6,1.7,7373,2020-08-24 01:00:00.000000,2020-08-24,ARYBW,1.68,1.7,,,,,,,,,,,
1.68,1.7,1.68,1.7,3371,2020-08-25 01:00:00.000000,2020-08-25,ARYBW,,,,,,,,,,,,,
