open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.68,9.68,9.68,9.68,3100,2018-01-02 01:00:00.000000,2018-01-02,AVCT,9.68,9.78,9.77,9.75,0.0,0.01,0.01,0.01
9.7,9.7,9.68,9.68,10531,2018-01-03 01:00:00.000000,2018-01-03,AVCT,9.68,9.77,9.76,9.73,-0.0,0.01,0.01,0.0
9.68,9.68,9.68,9.68,5002,2018-01-05 01:00:00.000000,2018-01-05,AVCT,9.78,9.77,9.75,9.69,0.01,0.01,0.01,0.0
9.73,9.78,9.73,9.78,5409,2018-01-10 01:00:00.000000,2018-01-10,AVCT,9.77,9.76,9.73,9.7,0.0,0.0,0.0,-0.0
9.77,9.77,9.77,9.77,148,2018-01-11 01:00:00.000000,2018-01-11,AVCT,9.77,9.75,9.69,9.7,0.0,-0.0,-0.01,-0.01
9.77,9.77,9.77,9.77,200,2018-01-12 01:00:00.000000,2018-01-12,AVCT,9.76,9.73,9.7,9.7,-0.0,-0.0,-0.01,-0.01
9.77,9.77,9.76,9.76,400,2018-01-16 01:00:00.000000,2018-01-16,AVCT,9.75,9.69,9.7,9.7,-0.0,-0.01,-0.01,-0.01
9.75,9.75,9.75,9.75,6426,2018-01-18 01:00:00.000000,2018-01-18,AVCT,9.73,9.7,9.7,9.7,-0.0,-0.01,-0.01,-0.01
9.73,9.73,9.73,9.73,1914,2018-01-19 01:00:00.000000,2018-01-19,AVCT,9.69,9.7,9.7,9.7,-0.0,-0.0,-0.0,-0.0
9.69,9.69,9.69,9.69,191000,2018-01-25 01:00:00.000000,2018-01-25,AVCT,9.7,9.7,9.7,9.71,0.0,0.0,0.0,0.0
9.69,9.7,9.69,9.7,100300,2018-01-29 01:00:00.000000,2018-01-29,AVCT,9.7,9.7,9.7,9.77,0.0,0.0,0.0,0.01
9.68,9.7,9.68,9.7,50150,2018-01-31 01:00:00.000000,2018-01-31,AVCT,9.7,9.7,9.71,9.75,0.0,0.0,0.0,0.01
9.7,9.7,9.69,9.7,55220,2018-02-06 01:00:00.000000,2018-02-06,AVCT,9.7,9.7,9.77,9.7,0.0,0.0,0.01,0.0
9.7,9.7,9.7,9.7,38400,2018-02-07 01:00:00.000000,2018-02-07,AVCT,9.7,9.71,9.75,9.72,0.0,0.0,0.01,0.0
9.76,9.76,9.65,9.7,566383,2018-02-09 01:00:00.000000,2018-02-09,AVCT,9.7,9.77,9.7,9.71,-0.01,0.0,-0.01,-0.01
9.7,9.7,9.7,9.7,60300,2018-02-12 01:00:00.000000,2018-02-12,AVCT,9.71,9.75,9.72,9.7,0.0,0.01,0.0,0.0
9.71,9.71,9.71,9.71,1000,2018-02-13 01:00:00.000000,2018-02-13,AVCT,9.77,9.7,9.71,9.7,0.01,-0.0,0.0,-0.0
9.71,9.77,9.7,9.77,225841,2018-02-14 01:00:00.000000,2018-02-14,AVCT,9.75,9.72,9.7,9.7,0.0,0.0,-0.0,-0.0
9.72,9.75,9.7,9.75,202012,2018-02-20 01:00:00.000000,2018-02-20,AVCT,9.7,9.71,9.7,9.76,-0.0,-0.0,-0.0,0.0
9.7,9.7,9.7,9.7,263,2018-02-23 01:00:00.000000,2018-02-23,AVCT,9.72,9.7,9.7,9.73,0.0,0.0,0.0,0.0
9.75,9.75,9.72,9.72,769800,2018-02-26 01:00:00.000000,2018-02-26,AVCT,9.71,9.7,9.76,9.74,-0.0,-0.01,0.0,-0.0
9.71,9.71,9.71,9.71,787,2018-02-27 01:00:00.000000,2018-02-27,AVCT,9.7,9.7,9.73,9.75,-0.0,-0.0,0.0,0.0
9.71,9.71,9.68,9.7,11500,2018-02-28 01:00:00.000000,2018-02-28,AVCT,9.7,9.76,9.74,9.72,-0.0,0.01,0.0,0.0
9.7,9.7,9.7,9.7,36300,2018-03-01 01:00:00.000000,2018-03-01,AVCT,9.7,9.73,9.75,9.78,0.0,0.0,0.01,0.01
7.75,9.7,7.75,9.7,19350,2018-03-02 01:00:00.000000,2018-03-02,AVCT,9.76,9.74,9.72,9.72,0.26,0.26,0.25,0.25
9.76,9.76,9.76,9.76,336,2018-03-06 01:00:00.000000,2018-03-06,AVCT,9.73,9.75,9.78,9.72,-0.0,-0.0,0.0,-0.0
9.32,9.73,9.32,9.73,11673,2018-03-08 01:00:00.000000,2018-03-08,AVCT,9.74,9.72,9.72,10.17,0.05,0.04,0.04,0.09
9.73,9.75,9.73,9.74,6982,2018-03-09 01:00:00.000000,2018-03-09,AVCT,9.75,9.78,9.72,9.75,0.0,0.01,-0.0,0.0
9.75,9.75,9.75,9.75,100,2018-03-19 01:00:00.000000,2018-03-19,AVCT,9.72,9.72,10.17,9.72,-0.0,-0.0,0.04,-0.0
9.73,9.79,9.71,9.72,17425,2018-03-20 01:00:00.000000,2018-03-20,AVCT,9.78,9.72,9.75,9.73,0.01,-0.0,0.0,0.0
9.72,9.79,9.71,9.78,60187,2018-03-21 01:00:00.000000,2018-03-21,AVCT,9.72,10.17,9.72,9.82,0.0,0.05,0.0,0.01
9.75,9.75,9.72,9.72,873,2018-03-22 01:00:00.000000,2018-03-22,AVCT,9.72,9.75,9.73,9.73,-0.0,0.0,-0.0,-0.0
9.75,9.75,9.72,9.72,473,2018-03-23 01:00:00.000000,2018-03-23,AVCT,10.17,9.72,9.82,9.74,0.04,-0.0,0.01,-0.0
10.17,10.17,10.17,10.17,199,2018-03-26 01:00:00.000000,2018-03-26,AVCT,9.75,9.73,9.73,9.73,-0.04,-0.04,-0.04,-0.04
10.14,10.14,9.72,9.75,33823,2018-03-27 01:00:00.000000,2018-03-27,AVCT,9.72,9.82,9.74,9.74,-0.04,-0.03,-0.04,-0.04
