date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-01-02,9.88,9.88,9.85,9.85,30413,9.85,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2018-01-03,9.86,9.89,9.84,9.85,244412,9.85,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2018-01-04,9.86,9.86,9.85,9.85,5225,9.85,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2018-01-05,9.85,9.85,9.85,9.85,0,9.85,9.85,9.85,9.87,0.0,0.0,0.0,0.0
2018-01-08,9.85,9.85,9.85,9.85,0,9.85,9.85,9.85,9.87,0.0,0.0,0.0,0.0
2018-01-09,9.85,9.85,9.85,9.85,0,9.85,9.85,9.87,9.86,0.0,0.0,0.0,0.0
2018-01-10,9.85,9.85,9.85,9.85,0,9.85,9.85,9.87,9.85,0.0,0.0,0.0,0.0
2018-01-11,9.85,9.85,9.85,9.85,0,9.85,9.87,9.86,9.85,0.0,0.0,0.0,0.0
2018-01-12,9.85,9.85,9.85,9.85,0,9.85,9.87,9.85,9.85,0.0,0.0,0.0,0.0
2018-01-16,9.85,9.85,9.85,9.85,25,9.87,9.86,9.85,9.85,0.0,0.0,0.0,0.0
2018-01-17,9.92,9.92,9.86,9.87,1375,9.87,9.85,9.85,9.87,-0.01,-0.01,-0.01,-0.01
2018-01-18,9.87,9.87,9.87,9.87,0,9.86,9.85,9.85,9.87,-0.0,-0.0,-0.0,0.0
2018-01-19,9.86,9.86,9.86,9.86,1375,9.85,9.85,9.87,9.87,-0.0,-0.0,0.0,0.0
2018-01-22,9.86,9.86,9.85,9.85,11800,9.85,9.85,9.87,9.87,-0.0,-0.0,0.0,0.0
2018-01-23,9.85,9.85,9.85,9.85,0,9.85,9.87,9.87,9.88,0.0,0.0,0.0,0.0
2018-01-24,9.85,9.85,9.85,9.85,0,9.85,9.87,9.87,9.86,0.0,0.0,0.0,0.0
2018-01-25,9.85,9.85,9.85,9.85,0,9.87,9.87,9.88,9.86,0.0,0.0,0.0,0.0
2018-01-26,9.87,9.87,9.86,9.87,4602,9.87,9.87,9.86,9.86,0.0,-0.0,-0.0,-0.0
2018-01-29,9.87,9.87,9.87,9.87,0,9.87,9.88,9.86,9.87,0.0,0.0,-0.0,0.0
2018-01-30,9.87,9.87,9.87,9.87,0,9.87,9.86,9.86,9.87,-0.0,-0.0,-0.0,-0.0
2018-01-31,9.87,9.87,9.87,9.87,2450,9.88,9.86,9.87,9.86,0.0,-0.0,0.0,-0.0
2018-02-01,9.87,9.88,9.87,9.88,7350,9.86,9.86,9.87,9.86,-0.0,-0.0,-0.0,-0.0
2018-02-02,9.86,9.86,9.86,9.86,10900,9.86,9.87,9.86,9.85,0.0,0.0,-0.0,-0.0
2018-02-05,9.86,9.86,9.86,9.86,0,9.86,9.87,9.86,9.93,0.0,0.0,-0.0,0.01
2018-02-06,9.86,9.86,9.86,9.86,15,9.87,9.86,9.85,9.93,0.0,-0.0,-0.0,0.01
2018-02-07,9.87,9.87,9.87,9.87,1600,9.87,9.86,9.93,9.93,-0.0,-0.0,0.01,0.01
2018-02-08,9.87,9.87,9.87,9.87,0,9.86,9.85,9.93,9.9,-0.0,-0.0,0.01,0.0
2018-02-09,9.85,9.86,9.85,9.86,1050,9.86,9.93,9.93,9.9,0.0,0.01,0.01,0.01
2018-02-12,9.85,9.86,9.85,9.86,6664,9.85,9.93,9.9,9.9,0.0,0.01,0.01,0.01
2018-02-13,9.85,9.85,9.85,9.85,154,9.93,9.93,9.9,9.9,0.01,0.01,0.01,0.01
2018-02-14,9.91,9.93,9.91,9.93,2400,9.93,9.9,9.9,9.9,0.0,-0.0,-0.0,-0.0
2018-02-15,9.93,9.93,9.93,9.93,12,9.93,9.9,9.9,9.93,0.0,-0.0,-0.0,0.0
2018-02-16,9.93,9.93,9.93,9.93,11,9.9,9.9,9.9,9.93,-0.0,-0.0,-0.0,0.0
2018-02-20,9.86,9.9,9.86,9.9,9850,9.9,9.9,9.93,9.96,0.0,0.0,0.01,0.01
2018-02-21,9.9,9.9,9.9,9.9,10,9.9,9.9,9.93,9.94,0.0,0.0,0.0,0.0
2018-02-22,9.9,9.9,9.9,9.9,4,9.9,9.93,9.96,9.94,0.0,0.0,0.01,0.0
2018-02-23,9.9,9.9,9.9,9.9,3,9.9,9.93,9.94,9.94,0.0,0.0,0.0,0.0
2018-02-26,9.9,9.9,9.9,9.9,706,9.93,9.96,9.94,9.94,0.0,0.01,0.0,0.0
2018-02-27,9.93,9.93,9.93,9.93,3124,9.93,9.94,9.94,9.94,0.0,0.0,0.0,0.0
2018-02-28,9.93,9.93,9.93,9.93,3,9.96,9.94,9.94,9.94,0.0,0.0,0.0,0.0
2018-03-01,9.95,9.97,9.95,9.96,3642,9.94,9.94,9.94,9.94,-0.0,-0.0,-0.0,-0.0
2018-03-02,9.96,9.96,9.94,9.94,4762,9.94,9.94,9.94,9.94,-0.0,-0.0,-0.0,-0.0
2018-03-05,9.94,9.94,9.94,9.94,0,9.94,9.94,9.94,9.97,0.0,0.0,0.0,0.0
2018-03-06,9.94,9.94,9.94,9.94,0,9.94,9.94,9.94,9.97,0.0,0.0,0.0,0.0
2018-03-07,9.94,9.94,9.94,9.94,0,9.94,9.94,9.97,9.97,0.0,0.0,0.0,0.0
2018-03-08,9.94,9.94,9.94,9.94,0,9.94,9.94,9.97,9.94,0.0,0.0,0.0,0.0
2018-03-09,9.94,9.94,9.94,9.94,2,9.94,9.97,9.97,9.94,0.0,0.0,0.0,0.0
2018-03-12,9.94,9.94,9.94,9.94,0,9.94,9.97,9.94,9.94,0.0,0.0,0.0,0.0
2018-03-13,9.94,9.94,9.94,9.94,0,9.97,9.97,9.94,9.94,0.0,0.0,0.0,0.0
2018-03-14,9.94,9.97,9.94,9.97,10200,9.97,9.94,9.94,9.94,0.0,0.0,0.0,0.0
2018-03-15,9.97,9.97,9.97,9.97,100,9.97,9.94,9.94,9.94,0.0,-0.0,-0.0,-0.0
2018-03-16,9.97,9.97,9.97,9.97,0,9.94,9.94,9.94,9.94,-0.0,-0.0,-0.0,-0.0
2018-03-19,9.94,9.94,9.94,9.94,321,9.94,9.94,9.94,9.95,0.0,0.0,0.0,0.0
2018-03-20,9.95,9.95,9.94,9.94,401,9.94,9.94,9.94,9.94,-0.0,-0.0,-0.0,-0.0
2018-03-21,9.94,9.94,9.94,9.94,0,9.94,9.94,9.95,9.97,0.0,0.0,0.0,0.0
2018-03-22,9.94,9.94,9.94,9.94,0,9.94,9.94,9.94,9.96,0.0,0.0,0.0,0.0
2018-03-23,9.94,9.94,9.94,9.94,0,9.94,9.95,9.97,9.96,0.0,0.0,0.0,0.0
2018-03-26,9.94,9.97,9.94,9.94,4500,9.94,9.94,9.96,10.0,0.0,0.0,0.0,0.01
2018-03-27,9.94,9.94,9.94,9.94,0,9.95,9.97,9.96,10.0,0.0,0.0,0.0,0.01
2018-03-28,9.96,9.99,9.95,9.95,3500,9.94,9.96,10.0,10.0,-0.0,0.0,0.0,0.0
2018-03-29,9.97,9.97,9.94,9.94,11500,9.97,9.96,10.0,10.0,0.0,-0.0,0.0,0.0
2018-04-02,9.97,9.97,9.97,9.97,300,9.96,10.0,10.0,10.0,-0.0,0.0,0.0,0.0
2018-04-03,9.98,9.98,9.96,9.96,4400,9.96,10.0,10.0,10.0,-0.0,0.0,0.0,0.0
2018-04-04,9.96,9.96,9.96,9.96,0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
2018-04-05,10.0,10.0,10.0,10.0,200,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
2018-04-06,10.0,10.0,10.0,10.0,0,10.0,10.0,10.0,9.95,0.0,0.0,0.0,-0.01
2018-04-09,10.0,10.0,10.0,10.0,0,10.0,10.0,10.0,9.95,0.0,0.0,0.0,-0.01
2018-04-10,10.0,10.0,10.0,10.0,0,10.0,10.0,9.95,9.95,0.0,0.0,-0.01,-0.01
2018-04-11,10.0,10.0,10.0,10.0,35,10.0,10.0,9.95,9.96,0.0,0.0,-0.01,-0.0
2018-04-12,10.0,10.0,10.0,10.0,35,10.0,9.95,9.95,9.98,0.0,-0.01,-0.01,-0.0
2018-04-13,10.0,10.0,10.0,10.0,36,10.0,9.95,9.96,9.98,0.0,-0.01,-0.0,-0.0
2018-04-16,10.0,10.0,10.0,10.0,69,9.95,9.95,9.98,9.97,-0.01,-0.01,-0.0,-0.0
2018-04-17,9.95,9.96,9.95,9.95,15036,9.95,9.96,9.98,9.99,0.0,0.0,0.0,0.0
2018-04-18,9.95,9.95,9.95,9.95,200,9.95,9.98,9.97,9.99,0.0,0.0,0.0,0.0
2018-04-19,9.95,9.95,9.95,9.95,35,9.96,9.98,9.99,9.99,0.0,0.0,0.0,0.0
2018-04-20,9.95,9.96,9.95,9.96,1187,9.98,9.97,9.99,9.99,0.0,0.0,0.0,0.0
2018-04-23,9.98,9.98,9.98,9.98,534,9.98,9.99,9.99,10.0,-0.0,0.0,0.0,0.0
2018-04-24,10.05,10.05,9.98,9.98,1008,9.97,9.99,9.99,10.0,-0.01,-0.01,-0.01,-0.0
2018-04-25,9.97,9.97,9.97,9.97,537,9.99,9.99,10.0,10.0,0.0,0.0,0.0,0.0
2018-04-26,9.99,9.99,9.99,9.99,1000,9.99,9.99,10.0,9.98,0.0,0.0,0.0,-0.0
2018-04-27,9.99,9.99,9.99,9.99,34,9.99,10.0,10.0,10.05,0.0,0.0,0.0,0.01
2018-04-30,9.99,9.99,9.99,9.99,34,9.99,10.0,9.98,9.98,0.0,0.0,-0.0,-0.0
2018-05-01,9.99,9.99,9.99,9.99,52,10.0,10.0,10.05,9.98,0.0,0.0,0.01,-0.0
2018-05-02,10.0,10.0,10.0,10.0,1717,10.0,9.98,9.98,9.98,0.0,-0.0,-0.0,-0.0
2018-05-03,10.0,10.0,10.0,10.0,0,10.0,10.05,9.98,9.98,0.0,0.01,-0.0,-0.0
2018-05-04,10.0,10.0,10.0,10.0,0,9.98,9.98,9.98,10.01,-0.0,-0.0,-0.0,0.0
2018-05-07,9.98,9.98,9.98,9.98,400,10.05,9.98,9.98,10.01,0.01,-0.0,-0.0,0.0
2018-05-08,10.05,10.05,10.05,10.05,501,9.98,9.98,10.01,10.01,-0.01,-0.01,-0.0,-0.0
