open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.42,0.75,0.42,0.75,583339,2020-06-03 01:00:00.000000,2020-06-03,BMRG.WS,0.6,0.7,0.6,0.7,0.43,0.67,0.43,0.68
0.7,0.7,0.6,0.6,98945,2020-06-04 01:00:00.000000,2020-06-04,BMRG.WS,0.61,0.96,0.63,0.79,-0.13,0.37,-0.1,0.13
0.6,0.61,0.6,0.61,12805,2020-06-05 01:00:00.000000,2020-06-05,BMRG.WS,0.7,0.6,0.7,0.72,0.17,-0.0,0.17,0.2
0.65,0.72,0.65,0.7,22800,2020-06-08 01:00:00.000000,2020-06-08,BMRG.WS,0.96,0.63,0.79,0.72,0.47,-0.04,0.21,0.11
0.7,0.97,0.7,0.96,10260,2020-06-09 01:00:00.000000,2020-06-09,BMRG.WS,0.6,0.7,0.72,1.0,-0.14,0.01,0.03,0.43
0.9,0.92,0.6,0.6,103078,2020-06-10 01:00:00.000000,2020-06-10,BMRG.WS,0.63,0.79,0.72,1.95,-0.3,-0.12,-0.2,1.17
0.62,0.64,0.6,0.63,4400,2020-06-12 01:00:00.000000,2020-06-12,BMRG.WS,0.7,0.72,1.0,1.85,0.13,0.16,0.61,1.98
0.67,0.7,0.67,0.7,1110,2020-06-15 01:00:00.000000,2020-06-15,BMRG.WS,0.79,0.72,1.95,2.0,0.18,0.07,1.9,1.97
0.74,0.93,0.74,0.79,6238,2020-06-18 01:00:00.000000,2020-06-18,BMRG.WS,0.72,1.0,1.85,2.15,-0.03,0.35,1.5,1.91
0.74,0.74,0.7,0.72,89325,2020-06-19 01:00:00.000000,2020-06-19,BMRG.WS,0.72,1.95,2.0,1.75,-0.02,1.64,1.71,1.37
0.96,1.24,0.72,0.72,8200,2020-06-22 01:00:00.000000,2020-06-22,BMRG.WS,1.0,1.85,2.15,1.76,0.04,0.93,1.24,0.83
0.76,1.0,0.76,1.0,38345,2020-06-23 01:00:00.000000,2020-06-23,BMRG.WS,1.95,2.0,1.75,1.8,1.57,1.64,1.31,1.37
0.88,2.29,0.78,1.95,771867,2020-06-24 01:00:00.000000,2020-06-24,BMRG.WS,1.85,2.15,1.76,1.95,1.1,1.44,1.0,1.22
