open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.41,0.41,0.37,0.41,17094,2018-01-02 01:00:00.000000,2018-01-02,BRPAW,0.38,0.38,0.38,0.4,-0.08,-0.07,-0.06,-0.02
0.37,0.38,0.37,0.38,20706,2018-01-08 01:00:00.000000,2018-01-08,BRPAW,0.37,0.39,0.4,0.4,0.0,0.04,0.08,0.08
0.37,0.37,0.37,0.37,14800,2018-01-09 01:00:00.000000,2018-01-09,BRPAW,0.38,0.38,0.4,0.4,0.02,0.03,0.07,0.07
0.38,0.38,0.38,0.38,1000,2018-01-12 01:00:00.000000,2018-01-12,BRPAW,0.39,0.4,0.4,0.4,0.01,0.05,0.05,0.05
0.38,0.39,0.38,0.39,5500,2018-01-17 01:00:00.000000,2018-01-17,BRPAW,0.38,0.4,0.4,0.38,0.0,0.04,0.04,-0.01
0.38,0.38,0.38,0.38,995,2018-01-24 01:00:00.000000,2018-01-24,BRPAW,0.4,0.4,0.4,0.37,0.04,0.04,0.04,-0.04
0.4,0.4,0.4,0.4,1000,2018-01-26 01:00:00.000000,2018-01-26,BRPAW,0.4,0.4,0.38,0.37,0.0,0.0,-0.05,-0.08
0.4,0.4,0.4,0.4,37499,2018-02-16 01:00:00.000000,2018-02-16,BRPAW,0.4,0.4,0.37,0.4,0.0,0.0,-0.08,0.0
0.4,0.4,0.4,0.4,501,2018-02-21 01:00:00.000000,2018-02-21,BRPAW,0.4,0.38,0.37,0.45,0.0,-0.05,-0.08,0.12
0.4,0.4,0.4,0.4,1500,2018-03-12 01:00:00.000000,2018-03-12,BRPAW,0.4,0.37,0.4,0.5,0.0,-0.08,0.0,0.25
0.39,0.4,0.39,0.4,2000,2018-03-15 01:00:00.000000,2018-03-15,BRPAW,0.38,0.37,0.45,0.49,-0.03,-0.05,0.15,0.26
0.39,0.39,0.37,0.38,68550,2018-03-16 01:00:00.000000,2018-03-16,BRPAW,0.37,0.4,0.5,0.47,-0.05,0.03,0.28,0.21
0.37,0.37,0.37,0.37,20600,2018-03-20 01:00:00.000000,2018-03-20,BRPAW,0.37,0.45,0.49,0.5,0.0,0.22,0.32,0.35
0.37,0.37,0.37,0.37,56089,2018-03-21 01:00:00.000000,2018-03-21,BRPAW,0.4,0.5,0.47,0.5,0.08,0.35,0.27,0.35
