open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.7,9.71,9.69,9.69,20700,2018-01-02 01:00:00.000000,2018-01-02,BRPA,9.73,9.7,9.7,9.7,0.0,0.0,0.0,0.0
9.73,9.73,9.73,9.73,300,2018-01-03 01:00:00.000000,2018-01-03,BRPA,9.7,9.68,9.7,9.72,-0.0,-0.01,-0.0,-0.0
9.76,9.76,9.7,9.7,4200,2018-01-05 01:00:00.000000,2018-01-05,BRPA,9.7,9.7,9.7,9.74,-0.01,-0.01,-0.01,-0.0
9.7,9.7,9.7,9.7,87295,2018-01-08 01:00:00.000000,2018-01-08,BRPA,9.68,9.7,9.72,9.74,-0.0,0.0,0.0,0.0
9.68,9.98,9.68,9.68,44050,2018-01-09 01:00:00.000000,2018-01-09,BRPA,9.7,9.7,9.74,9.74,0.0,0.0,0.01,0.01
9.7,9.7,9.7,9.7,165082,2018-01-25 01:00:00.000000,2018-01-25,BRPA,9.7,9.72,9.74,9.75,0.0,0.0,0.0,0.01
9.7,9.7,9.68,9.7,256982,2018-01-26 01:00:00.000000,2018-01-26,BRPA,9.7,9.74,9.74,9.8,0.0,0.0,0.0,0.01
9.7,9.7,9.7,9.7,7900,2018-01-29 01:00:00.000000,2018-01-29,BRPA,9.72,9.74,9.75,9.76,0.0,0.0,0.01,0.01
9.71,9.72,9.69,9.72,61400,2018-01-30 01:00:00.000000,2018-01-30,BRPA,9.74,9.74,9.8,9.76,0.0,0.0,0.01,0.01
9.73,9.74,9.73,9.74,338,2018-02-05 01:00:00.000000,2018-02-05,BRPA,9.74,9.75,9.76,9.77,0.0,0.0,0.0,0.0
9.74,9.74,9.74,9.74,317,2018-02-06 01:00:00.000000,2018-02-06,BRPA,9.74,9.8,9.76,9.83,0.0,0.01,0.0,0.01
9.72,9.75,9.72,9.74,87299,2018-02-07 01:00:00.000000,2018-02-07,BRPA,9.75,9.76,9.77,9.79,0.0,0.0,0.01,0.01
9.75,9.75,9.75,9.75,511,2018-02-09 01:00:00.000000,2018-02-09,BRPA,9.8,9.76,9.83,9.86,0.01,0.0,0.01,0.01
9.8,9.8,9.8,9.8,1050,2018-02-12 01:00:00.000000,2018-02-12,BRPA,9.76,9.77,9.79,9.75,-0.0,-0.0,-0.0,-0.01
9.79,9.8,9.76,9.76,5875,2018-02-20 01:00:00.000000,2018-02-20,BRPA,9.76,9.83,9.86,9.75,-0.0,0.0,0.01,-0.0
9.75,9.76,9.75,9.76,416,2018-02-21 01:00:00.000000,2018-02-21,BRPA,9.77,9.79,9.75,9.77,0.0,0.0,0.0,0.0
9.78,9.79,9.69,9.77,87145,2018-02-26 01:00:00.000000,2018-02-26,BRPA,9.83,9.86,9.75,9.76,0.01,0.01,-0.0,-0.0
9.79,9.83,9.79,9.83,19384,2018-02-27 01:00:00.000000,2018-02-27,BRPA,9.79,9.75,9.77,9.82,0.0,-0.0,-0.0,0.0
9.79,9.79,9.79,9.79,300,2018-02-28 01:00:00.000000,2018-02-28,BRPA,9.86,9.75,9.76,9.78,0.01,-0.0,-0.0,-0.0
9.85,9.89,9.85,9.86,4000,2018-03-01 01:00:00.000000,2018-03-01,BRPA,9.75,9.77,9.82,9.83,-0.01,-0.01,-0.0,-0.0
9.72,9.77,9.72,9.75,7338,2018-03-16 01:00:00.000000,2018-03-16,BRPA,9.75,9.76,9.78,9.84,0.0,0.0,0.01,0.01
9.75,9.75,9.75,9.75,1400,2018-03-20 01:00:00.000000,2018-03-20,BRPA,9.77,9.82,9.83,9.83,0.0,0.01,0.01,0.01
9.75,9.8,9.75,9.77,83751,2018-03-21 01:00:00.000000,2018-03-21,BRPA,9.76,9.78,9.84,9.81,0.0,0.0,0.01,0.01
9.76,9.76,9.76,9.76,300,2018-03-22 01:00:00.000000,2018-03-22,BRPA,9.82,9.83,9.83,9.82,0.01,0.01,0.01,0.01
9.82,9.82,9.82,9.82,2200,2018-03-23 01:00:00.000000,2018-03-23,BRPA,9.78,9.84,9.81,9.85,-0.0,0.0,-0.0,0.0
9.78,9.8,9.78,9.78,2950,2018-04-02 01:00:00.000000,2018-04-02,BRPA,9.83,9.83,9.82,9.85,0.01,0.01,0.0,0.01
9.78,9.83,9.78,9.83,25567,2018-04-03 01:00:00.000000,2018-04-03,BRPA,9.84,9.81,9.85,9.9,0.01,0.0,0.01,0.01
9.82,9.85,9.82,9.84,16836,2018-04-10 01:00:00.000000,2018-04-10,BRPA,9.83,9.82,9.85,9.9,0.0,0.0,0.0,0.01
9.83,9.83,9.83,9.83,2042,2018-04-11 01:00:00.000000,2018-04-11,BRPA,9.81,9.85,9.9,9.86,-0.0,0.0,0.01,0.0
9.81,9.84,9.81,9.81,51900,2018-04-13 01:00:00.000000,2018-04-13,BRPA,9.82,9.85,9.9,9.87,0.0,0.0,0.01,0.01
9.82,9.82,9.82,9.82,1000,2018-04-19 01:00:00.000000,2018-04-19,BRPA,9.85,9.9,9.86,9.87,0.0,0.01,0.0,0.01
9.82,9.9,9.82,9.85,6187,2018-04-20 01:00:00.000000,2018-04-20,BRPA,9.85,9.9,9.87,9.9,0.0,0.01,0.01,0.01
9.86,9.86,9.85,9.85,600,2018-05-15 01:00:00.000000,2018-05-15,BRPA,9.9,9.86,9.87,9.93,0.0,0.0,0.0,0.01
9.9,9.9,9.9,9.9,100,2018-05-21 01:00:00.000000,2018-05-21,BRPA,9.9,9.87,9.9,9.89,0.0,-0.0,0.0,-0.0
9.85,9.9,9.85,9.9,2192,2018-05-24 01:00:00.000000,2018-05-24,BRPA,9.86,9.87,9.93,9.92,0.0,0.0,0.01,0.01
9.88,9.88,9.86,9.86,75200,2018-05-30 01:00:00.000000,2018-05-30,BRPA,9.87,9.9,9.89,9.91,-0.0,0.0,0.0,0.0
9.87,9.87,9.87,9.87,51000,2018-05-31 01:00:00.000000,2018-05-31,BRPA,9.87,9.93,9.92,9.91,0.0,0.01,0.01,0.0
9.88,9.88,9.87,9.87,12300,2018-06-01 01:00:00.000000,2018-06-01,BRPA,9.9,9.89,9.91,9.91,0.0,0.0,0.0,0.0
9.9,9.9,9.9,9.9,100,2018-06-05 01:00:00.000000,2018-06-05,BRPA,9.93,9.92,9.91,9.91,0.0,0.0,0.0,0.0
9.93,9.93,9.93,9.93,800,2018-06-08 01:00:00.000000,2018-06-08,BRPA,9.89,9.91,9.91,9.96,-0.0,-0.0,-0.0,0.0
9.89,9.89,9.89,9.89,225,2018-06-13 01:00:00.000000,2018-06-13,BRPA,9.92,9.91,9.91,9.94,0.0,0.0,0.0,0.01
9.92,9.92,9.91,9.92,2264,2018-06-18 01:00:00.000000,2018-06-18,BRPA,9.91,9.91,9.96,9.96,-0.0,-0.0,0.0,0.0
9.91,9.91,9.91,9.91,65000,2018-06-21 01:00:00.000000,2018-06-21,BRPA,9.91,9.91,9.94,9.95,0.0,0.0,0.0,0.0
9.91,9.91,9.91,9.91,5838,2018-06-28 01:00:00.000000,2018-06-28,BRPA,9.91,9.96,9.96,9.92,0.0,0.0,0.01,0.0
9.91,9.91,9.91,9.91,950,2018-06-29 01:00:00.000000,2018-06-29,BRPA,9.91,9.94,9.95,9.91,-0.0,0.0,0.0,0.0
9.91,9.91,9.91,9.91,35000,2018-07-03 01:00:00.000000,2018-07-03,BRPA,9.96,9.96,9.92,9.91,0.0,0.01,0.0,0.0
9.96,10.0,9.96,9.96,13600,2018-07-18 01:00:00.000000,2018-07-18,BRPA,9.94,9.95,9.91,9.95,-0.0,-0.0,-0.0,-0.0
9.94,9.94,9.94,9.94,300,2018-07-20 01:00:00.000000,2018-07-20,BRPA,9.96,9.92,9.91,9.96,0.0,-0.0,-0.0,0.0
9.95,9.96,9.93,9.96,5000,2018-07-26 01:00:00.000000,2018-07-26,BRPA,9.95,9.91,9.95,10.0,0.0,-0.0,0.0,0.01
9.95,9.95,9.95,9.95,158,2018-08-01 01:00:00.000000,2018-08-01,BRPA,9.92,9.91,9.96,9.98,-0.0,-0.0,0.0,0.0
9.95,9.95,9.92,9.92,5300,2018-08-06 01:00:00.000000,2018-08-06,BRPA,9.91,9.95,10.0,10.01,-0.0,0.0,0.01,0.01
9.91,9.91,9.91,9.91,1000,2018-08-09 01:00:00.000000,2018-08-09,BRPA,9.91,9.96,9.98,10.04,-0.0,0.01,0.01,0.01
9.91,9.91,9.91,9.91,158,2018-08-13 01:00:00.000000,2018-08-13,BRPA,9.95,10.0,10.01,10.04,0.0,0.01,0.01,0.01
9.95,9.95,9.95,9.95,3959,2018-09-10 01:00:00.000000,2018-09-10,BRPA,9.96,9.98,10.04,10.02,0.0,0.0,0.01,0.01
9.96,9.96,9.96,9.96,1000,2018-09-11 01:00:00.000000,2018-09-11,BRPA,10.0,10.01,10.04,10.05,0.0,0.01,0.01,0.01
9.96,10.0,9.95,10.0,42500,2018-09-14 01:00:00.000000,2018-09-14,BRPA,9.98,10.04,10.02,10.02,0.0,0.01,0.01,0.01
9.98,9.98,9.98,9.98,32633,2018-09-21 01:00:00.000000,2018-09-21,BRPA,10.01,10.04,10.05,10.02,0.0,0.01,0.01,0.0
10.01,10.01,10.01,10.01,1500,2018-09-25 01:00:00.000000,2018-09-25,BRPA,10.04,10.02,10.02,10.1,0.0,0.0,0.0,0.01
