open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.16,0.28,0.16,0.2,13300,2018-01-02 01:00:00.000000,2018-01-02,BRQSW,0.16,0.2,0.2,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.26
0.2,0.2,0.2,0.2,10000,2018-01-04 01:00:00.000000,2018-01-04,BRQSW,0.22,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26
0.22,0.27,0.22,0.23,49115,2018-01-05 01:00:00.000000,2018-01-05,BRQSW,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26,0.26
0.23,0.23,0.23,0.23,17702,2018-01-08 01:00:00.000000,2018-01-08,BRQSW,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26,0.26,0.26
0.24,0.24,0.24,0.24,6000,2018-01-09 01:00:00.000000,2018-01-09,BRQSW,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26,0.26,0.26,0.26
0.23,0.23,0.22,0.23,20700,2018-01-10 01:00:00.000000,2018-01-10,BRQSW,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26,0.26,0.26,0.26,0.26
0.23,0.26,0.23,0.23,16200,2018-01-16 01:00:00.000000,2018-01-16,BRQSW,0.23,0.23,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.3
0.13,0.26,0.11,0.26,12600,2018-01-18 01:00:00.000000,2018-01-18,BRQSW,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.3,0.3,0.3
0.26,0.26,0.26,0.26,100,2018-01-19 01:00:00.000000,2018-01-19,BRQSW,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.3,0.3,0.3,0.37
0.26,0.28,0.26,0.26,28653,2018-01-29 01:00:00.000000,2018-01-29,BRQSW,0.26,0.26,0.26,0.3,0.3,0.3,0.37,0.37,0.37,0.36,0.36,0.37,0.37
0.28,0.3,0.28,0.3,22100,2018-02-01 01:00:00.000000,2018-02-01,BRQSW,0.28,0.3,0.3,0.37,0.37,0.37,0.36,0.36,0.37,0.37,0.34,0.32,0.32
0.28,0.31,0.28,0.3,26000,2018-02-02 01:00:00.000000,2018-02-02,BRQSW,0.28,0.3,0.37,0.37,0.37,0.36,0.36,0.37,0.37,0.34,0.32,0.32,0.34
0.28,0.3,0.28,0.3,12079,2018-02-05 01:00:00.000000,2018-02-05,BRQSW,0.31,0.37,0.37,0.37,0.36,0.36,0.37,0.37,0.34,0.32,0.32,0.34,0.3
0.31,0.37,0.3,0.37,104100,2018-02-06 01:00:00.000000,2018-02-06,BRQSW,0.32,0.37,0.37,0.36,0.36,0.37,0.37,0.34,0.32,0.32,0.34,0.3,0.3
0.32,0.37,0.32,0.37,15400,2018-02-07 01:00:00.000000,2018-02-07,BRQSW,0.35,0.37,0.36,0.36,0.37,0.37,0.34,0.32,0.32,0.34,0.3,0.3,0.31
0.35,0.37,0.35,0.37,23000,2018-02-08 01:00:00.000000,2018-02-08,BRQSW,0.4,0.36,0.36,0.37,0.37,0.34,0.32,0.32,0.34,0.3,0.3,0.31,0.31
0.4,0.4,0.36,0.36,15500,2018-02-09 01:00:00.000000,2018-02-09,BRQSW,0.35,0.36,0.37,0.37,0.34,0.32,0.32,0.34,0.3,0.3,0.31,0.31,0.31
0.35,0.4,0.35,0.36,64400,2018-02-12 01:00:00.000000,2018-02-12,BRQSW,0.37,0.37,0.37,0.34,0.32,0.32,0.34,0.3,0.3,0.31,0.31,0.31,0.3
0.37,0.37,0.37,0.37,2500,2018-02-13 01:00:00.000000,2018-02-13,BRQSW,0.37,0.37,0.34,0.32,0.32,0.34,0.3,0.3,0.31,0.31,0.31,0.3,0.31
0.37,0.38,0.33,0.37,11700,2018-02-14 01:00:00.000000,2018-02-14,BRQSW,0.34,0.34,0.32,0.32,0.34,0.3,0.3,0.31,0.31,0.31,0.3,0.31,0.31
0.34,0.34,0.34,0.34,2500,2018-02-15 01:00:00.000000,2018-02-15,BRQSW,0.33,0.32,0.32,0.34,0.3,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.31
0.33,0.34,0.27,0.32,30600,2018-02-16 01:00:00.000000,2018-02-16,BRQSW,0.33,0.32,0.34,0.3,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31
0.29,0.34,0.29,0.34,2300,2018-02-20 01:00:00.000000,2018-02-20,BRQSW,0.3,0.3,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31
0.3,0.3,0.3,0.3,5000,2018-02-21 01:00:00.000000,2018-02-21,BRQSW,0.3,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.3
0.3,0.3,0.3,0.3,6000,2018-02-22 01:00:00.000000,2018-02-22,BRQSW,0.31,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3
0.31,0.31,0.31,0.31,5200,2018-02-23 01:00:00.000000,2018-02-23,BRQSW,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3
0.31,0.31,0.31,0.31,100,2018-02-26 01:00:00.000000,2018-02-26,BRQSW,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3
0.31,0.31,0.31,0.31,300,2018-02-27 01:00:00.000000,2018-02-27,BRQSW,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3
0.3,0.3,0.3,0.3,5000,2018-02-28 01:00:00.000000,2018-02-28,BRQSW,0.28,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3
0.28,0.31,0.27,0.31,4600,2018-03-01 01:00:00.000000,2018-03-01,BRQSW,0.28,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.3,0.31,0.25,0.31,20590,2018-03-05 01:00:00.000000,2018-03-05,BRQSW,0.3,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
