open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
5.41,5.8,5.41,5.8,1805,2018-01-02 01:00:00.000000,2018-01-02,BRQS,5.73,6.05,6.25,6.45,0.06,0.12,0.15,0.19
5.75,5.8,5.65,5.73,3145,2018-01-03 01:00:00.000000,2018-01-03,BRQS,5.75,6.3,6.5,6.45,0.0,0.1,0.13,0.12
5.85,5.86,5.7,5.75,2205,2018-01-04 01:00:00.000000,2018-01-04,BRQS,6.05,6.25,6.45,6.45,0.03,0.07,0.1,0.1
5.82,6.57,5.82,6.05,13156,2018-01-05 01:00:00.000000,2018-01-05,BRQS,6.3,6.5,6.45,6.55,0.08,0.12,0.11,0.12
6.31,6.46,6.2,6.3,2445,2018-01-08 01:00:00.000000,2018-01-08,BRQS,6.25,6.45,6.45,6.45,-0.01,0.02,0.02,0.02
6.56,6.9,6.2,6.25,6107,2018-01-09 01:00:00.000000,2018-01-09,BRQS,6.5,6.45,6.55,6.55,-0.01,-0.02,-0.0,-0.0
6.45,6.5,6.02,6.5,18434,2018-01-10 01:00:00.000000,2018-01-10,BRQS,6.45,6.45,6.45,6.36,0.0,0.0,0.0,-0.01
6.25,6.45,6.15,6.45,12036,2018-01-11 01:00:00.000000,2018-01-11,BRQS,6.45,6.55,6.55,6.5,0.03,0.05,0.05,0.04
6.4,6.45,6.4,6.45,4576,2018-01-12 01:00:00.000000,2018-01-12,BRQS,6.45,6.45,6.36,6.5,0.01,0.01,-0.01,0.02
6.45,6.7,6.2,6.45,10092,2018-01-16 01:00:00.000000,2018-01-16,BRQS,6.55,6.55,6.5,6.5,0.02,0.02,0.01,0.01
6.35,6.55,6.35,6.55,5869,2018-01-17 01:00:00.000000,2018-01-17,BRQS,6.45,6.36,6.5,6.82,0.02,0.0,0.02,0.07
6.5,6.55,6.1,6.45,7740,2018-01-18 01:00:00.000000,2018-01-18,BRQS,6.55,6.5,6.5,6.9,0.01,0.0,0.0,0.06
6.46,6.55,6.3,6.55,6037,2018-01-19 01:00:00.000000,2018-01-19,BRQS,6.36,6.5,6.82,7.0,-0.02,0.01,0.06,0.08
6.51,6.55,6.35,6.36,6223,2018-01-23 01:00:00.000000,2018-01-23,BRQS,6.5,6.5,6.9,6.8,-0.0,-0.0,0.06,0.04
6.5,6.55,6.48,6.5,4843,2018-01-24 01:00:00.000000,2018-01-24,BRQS,6.5,6.82,7.0,7.1,0.0,0.05,0.08,0.09
6.45,6.5,6.45,6.5,3593,2018-01-25 01:00:00.000000,2018-01-25,BRQS,6.5,6.9,6.8,7.4,0.01,0.07,0.05,0.15
6.4,6.5,6.4,6.5,3993,2018-01-26 01:00:00.000000,2018-01-26,BRQS,6.82,7.0,7.1,9.0,0.07,0.09,0.11,0.41
7.21,7.24,6.82,6.82,6773,2018-01-29 01:00:00.000000,2018-01-29,BRQS,6.9,6.8,7.4,9.07,-0.04,-0.06,0.03,0.26
6.56,7.0,6.56,6.9,4924,2018-01-30 01:00:00.000000,2018-01-30,BRQS,7.0,7.1,9.0,9.95,0.07,0.08,0.37,0.52
6.87,7.1,6.87,7.0,4449,2018-01-31 01:00:00.000000,2018-01-31,BRQS,6.8,7.4,9.07,9.35,-0.01,0.08,0.32,0.36
7.65,7.65,6.8,6.8,5422,2018-02-01 01:00:00.000000,2018-02-01,BRQS,7.1,9.0,9.95,9.45,-0.07,0.18,0.3,0.24
7.19,7.25,7.1,7.1,6436,2018-02-02 01:00:00.000000,2018-02-02,BRQS,7.4,9.07,9.35,9.65,0.03,0.26,0.3,0.34
7.5,7.5,7.22,7.4,4596,2018-02-05 01:00:00.000000,2018-02-05,BRQS,9.0,9.95,9.45,9.75,0.2,0.33,0.26,0.3
8.05,9.0,7.8,9.0,5980,2018-02-06 01:00:00.000000,2018-02-06,BRQS,9.07,9.35,9.65,8.9,0.13,0.16,0.2,0.11
9.0,9.1,8.55,9.07,6065,2018-02-07 01:00:00.000000,2018-02-07,BRQS,9.95,9.45,9.75,9.1,0.11,0.05,0.08,0.01
9.0,9.95,8.95,9.95,5773,2018-02-08 01:00:00.000000,2018-02-08,BRQS,9.35,9.65,8.9,9.15,0.04,0.07,-0.01,0.02
10.0,10.0,8.4,9.35,7435,2018-02-09 01:00:00.000000,2018-02-09,BRQS,9.45,9.75,9.1,9.4,-0.06,-0.02,-0.09,-0.06
8.94,9.85,8.8,9.45,8763,2018-02-12 01:00:00.000000,2018-02-12,BRQS,9.65,8.9,9.15,9.3,0.08,-0.0,0.02,0.04
9.5,9.9,9.5,9.65,3462,2018-02-13 01:00:00.000000,2018-02-13,BRQS,9.75,9.1,9.4,9.5,0.03,-0.04,-0.01,0.0
9.7,9.85,9.7,9.75,6737,2018-02-14 01:00:00.000000,2018-02-14,BRQS,8.9,9.15,9.3,9.4,-0.08,-0.06,-0.04,-0.03
8.9,9.75,8.65,8.9,3662,2018-02-15 01:00:00.000000,2018-02-15,BRQS,9.1,9.4,9.5,9.35,0.02,0.06,0.07,0.05
9.0,9.7,8.95,9.1,6072,2018-02-16 01:00:00.000000,2018-02-16,BRQS,9.15,9.3,9.4,9.35,0.02,0.03,0.04,0.04
9.7,9.85,8.15,9.15,6216,2018-02-20 01:00:00.000000,2018-02-20,BRQS,9.4,9.5,9.35,9.75,-0.03,-0.02,-0.04,0.01
9.5,9.5,9.4,9.4,3914,2018-02-21 01:00:00.000000,2018-02-21,BRQS,9.3,9.4,9.35,9.45,-0.02,-0.01,-0.02,-0.01
8.85,9.6,8.85,9.3,4619,2018-02-22 01:00:00.000000,2018-02-22,BRQS,9.5,9.35,9.75,9.65,0.07,0.06,0.1,0.09
9.1,9.5,9.1,9.5,3803,2018-02-23 01:00:00.000000,2018-02-23,BRQS,9.4,9.35,9.45,9.5,0.03,0.03,0.04,0.04
9.5,9.8,9.25,9.4,15003,2018-02-26 01:00:00.000000,2018-02-26,BRQS,9.35,9.75,9.65,9.75,-0.02,0.03,0.02,0.03
9.24,9.35,9.24,9.35,2399,2018-02-28 01:00:00.000000,2018-02-28,BRQS,9.35,9.45,9.5,9.75,0.01,0.02,0.03,0.05
9.35,9.35,9.35,9.35,1899,2018-03-01 01:00:00.000000,2018-03-01,BRQS,9.75,9.65,9.75,9.75,0.04,0.03,0.04,0.04
9.2,9.75,9.2,9.75,1801,2018-03-02 01:00:00.000000,2018-03-02,BRQS,9.45,9.5,9.75,9.2,0.03,0.03,0.06,0.0
9.85,9.85,9.4,9.45,2822,2018-03-05 01:00:00.000000,2018-03-05,BRQS,9.65,9.75,9.75,9.4,-0.02,-0.01,-0.01,-0.05
7.7,9.75,7.7,9.65,2480,2018-03-06 01:00:00.000000,2018-03-06,BRQS,9.5,9.75,9.2,9.4,0.23,0.27,0.19,0.22
9.75,9.75,8.97,9.5,4237,2018-03-07 01:00:00.000000,2018-03-07,BRQS,9.75,9.75,9.4,9.5,0.0,0.0,-0.04,-0.03
8.85,9.8,8.75,9.75,2836,2018-03-08 01:00:00.000000,2018-03-08,BRQS,9.75,9.2,9.4,9.45,0.1,0.04,0.06,0.07
9.75,9.8,9.48,9.75,2139,2018-03-09 01:00:00.000000,2018-03-09,BRQS,9.75,9.4,9.5,9.25,0.0,-0.04,-0.03,-0.05
9.75,9.75,9.75,9.75,1872,2018-03-12 01:00:00.000000,2018-03-12,BRQS,9.2,9.4,9.45,9.0,-0.06,-0.04,-0.03,-0.08
9.5,9.75,9.2,9.2,3550,2018-03-13 01:00:00.000000,2018-03-13,BRQS,9.4,9.5,9.25,9.0,-0.01,0.0,-0.03,-0.05
9.4,9.4,9.4,9.4,100,2018-03-16 01:00:00.000000,2018-03-16,BRQS,9.4,9.45,9.0,8.7,0.0,0.01,-0.04,-0.07
9.4,9.4,9.35,9.4,2010,2018-03-19 01:00:00.000000,2018-03-19,BRQS,9.5,9.25,9.0,8.9,0.01,-0.02,-0.04,-0.05
9.35,9.5,8.75,9.5,3210,2018-03-21 01:00:00.000000,2018-03-21,BRQS,9.45,9.0,8.7,9.5,0.01,-0.04,-0.07,0.02
9.49,9.5,9.45,9.45,2410,2018-03-23 01:00:00.000000,2018-03-23,BRQS,9.25,9.0,8.9,9.75,-0.03,-0.05,-0.06,0.03
9.0,9.45,9.0,9.25,2410,2018-03-26 01:00:00.000000,2018-03-26,BRQS,9.0,8.7,9.5,9.8,0.0,-0.03,0.06,0.09
9.0,9.0,8.85,9.0,3557,2018-03-27 01:00:00.000000,2018-03-27,BRQS,9.0,8.9,9.75,9.7,0.0,-0.01,0.08,0.08
8.9,9.0,8.9,9.0,2654,2018-03-28 01:00:00.000000,2018-03-28,BRQS,8.7,9.5,9.8,9.05,-0.02,0.07,0.1,0.02
9.4,9.4,8.7,8.7,3106,2018-03-29 01:00:00.000000,2018-03-29,BRQS,8.9,9.75,9.7,9.7,-0.05,0.04,0.03,0.03
9.4,9.5,8.9,8.9,3638,2018-04-02 01:00:00.000000,2018-04-02,BRQS,9.5,9.8,9.05,9.7,0.01,0.04,-0.04,0.03
8.8,9.5,8.8,9.5,2548,2018-04-03 01:00:00.000000,2018-04-03,BRQS,9.75,9.7,9.7,9.7,0.11,0.1,0.1,0.1
9.1,9.75,9.1,9.75,2548,2018-04-04 01:00:00.000000,2018-04-04,BRQS,9.8,9.05,9.7,7.85,0.08,-0.01,0.07,-0.14
9.05,9.8,9.0,9.8,5326,2018-04-05 01:00:00.000000,2018-04-05,BRQS,9.7,9.7,9.7,9.2,0.07,0.07,0.07,0.02
8.9,9.7,8.9,9.7,3845,2018-04-06 01:00:00.000000,2018-04-06,BRQS,9.05,9.7,7.85,9.5,0.02,0.09,-0.12,0.07
