open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.25,1.45,1.25,1.35,133900,2019-07-26 01:00:00.000000,2019-07-26,CCX.WS,1.25,1.35,1.34,1.38,1.38,1.38,1.34,1.34,1.35,1.35,1.35,1.35,1.31
1.35,1.35,1.34,1.34,12600,2019-07-30 01:00:00.000000,2019-07-30,CCX.WS,1.38,1.38,1.38,1.38,1.34,1.34,1.35,1.35,1.35,1.35,1.31,1.31,1.35
1.38,1.38,1.38,1.38,5000,2019-07-31 01:00:00.000000,2019-07-31,CCX.WS,1.38,1.38,1.38,1.34,1.34,1.35,1.35,1.35,1.35,1.31,1.31,1.35,1.35
1.34,1.34,1.34,1.34,500,2019-08-05 01:00:00.000000,2019-08-05,CCX.WS,1.34,1.34,1.35,1.35,1.35,1.35,1.31,1.31,1.35,1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35,10000,2019-08-07 01:00:00.000000,2019-08-07,CCX.WS,1.35,1.35,1.35,1.35,1.31,1.31,1.35,1.35,1.35,1.35,1.35,1.35,1.35
1.5,1.5,1.3,1.35,11900,2019-08-09 01:00:00.000000,2019-08-09,CCX.WS,1.5,1.35,1.31,1.31,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
1.31,1.31,1.31,1.31,5000,2019-08-13 01:00:00.000000,2019-08-13,CCX.WS,1.31,1.31,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35,204,2019-08-15 01:00:00.000000,2019-08-15,CCX.WS,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
1.35,1.35,1.35,1.35,100,2019-08-20 01:00:00.000000,2019-08-20,CCX.WS,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.37
1.37,1.37,1.37,1.37,5000,2019-09-05 01:00:00.000000,2019-09-05,CCX.WS,1.35,1.35,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.35,1.49,1.49,1.5
1.35,1.35,1.35,1.35,50300,2019-09-06 01:00:00.000000,2019-09-06,CCX.WS,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.35,1.49,1.49,1.5,1.5
1.3,1.3,1.3,1.3,13960,2019-09-09 01:00:00.000000,2019-09-09,CCX.WS,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.35,1.49,1.49,1.5,1.5,1.5
