open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.25,1.25,1.25,1.25,15000,2020-04-03 01:00:00.000000,2020-04-03,CCXX.WS,1.25,1.25,1.25,1.25,1.38,1.38,1.38,1.47,1.46,1.38,1.4,1.45,1.37
1.3,1.38,1.3,1.38,7600,2020-04-09 01:00:00.000000,2020-04-09,CCXX.WS,1.3,1.38,1.38,1.47,1.46,1.38,1.4,1.45,1.37,1.37,1.35,1.3,1.3
1.42,1.49,1.4,1.47,9600,2020-04-14 01:00:00.000000,2020-04-14,CCXX.WS,1.53,1.46,1.38,1.4,1.45,1.37,1.37,1.35,1.3,1.3,1.3,1.4,1.33
1.53,1.53,1.4,1.46,10080,2020-04-15 01:00:00.000000,2020-04-15,CCXX.WS,1.45,1.38,1.4,1.45,1.37,1.37,1.35,1.3,1.3,1.3,1.4,1.33,1.34
1.45,1.45,1.38,1.38,2492,2020-04-16 01:00:00.000000,2020-04-16,CCXX.WS,1.4,1.4,1.45,1.37,1.37,1.35,1.3,1.3,1.3,1.4,1.33,1.34,1.34
1.4,1.4,1.4,1.4,3000,2020-04-17 01:00:00.000000,2020-04-17,CCXX.WS,1.6,1.45,1.37,1.37,1.35,1.3,1.3,1.3,1.4,1.33,1.34,1.34,1.34
1.6,1.6,1.45,1.45,750,2020-04-20 01:00:00.000000,2020-04-20,CCXX.WS,1.35,1.37,1.37,1.35,1.3,1.3,1.3,1.4,1.33,1.34,1.34,1.34,1.36
1.35,1.44,1.2,1.37,2200,2020-04-21 01:00:00.000000,2020-04-21,CCXX.WS,1.35,1.37,1.35,1.3,1.3,1.3,1.4,1.33,1.34,1.34,1.34,1.36,1.36
1.3,1.35,1.3,1.35,5500,2020-04-23 01:00:00.000000,2020-04-23,CCXX.WS,1.26,1.3,1.3,1.3,1.4,1.33,1.34,1.34,1.34,1.36,1.36,1.4,1.45
1.26,1.3,1.19,1.3,8682,2020-04-24 01:00:00.000000,2020-04-24,CCXX.WS,1.3,1.3,1.3,1.4,1.33,1.34,1.34,1.34,1.36,1.36,1.4,1.45,1.45
1.3,1.37,1.3,1.3,13412,2020-04-27 01:00:00.000000,2020-04-27,CCXX.WS,1.3,1.3,1.4,1.33,1.34,1.34,1.34,1.36,1.36,1.4,1.45,1.45,1.53
