open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.75,9.75,9.75,9.75,21000,2019-02-05 01:00:00.000000,2019-02-05,CFFA,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.83,9.88,9.88,9.83,9.83,9.88
9.81,9.83,9.81,9.83,892053,2019-02-14 01:00:00.000000,2019-02-14,CFFA,9.83,9.88,9.88,9.83,9.83,9.88,9.88,9.88,9.88,9.85,9.85,9.85,9.85
9.83,9.88,9.83,9.88,126305,2019-02-15 01:00:00.000000,2019-02-15,CFFA,9.83,9.88,9.83,9.83,9.88,9.88,9.88,9.88,9.85,9.85,9.85,9.85,9.85
9.84,9.85,9.83,9.83,3958,2019-02-19 01:00:00.000000,2019-02-19,CFFA,9.84,9.83,9.88,9.88,9.88,9.88,9.85,9.85,9.85,9.85,9.85,9.85,9.85
9.83,9.88,9.83,9.88,283506,2019-02-21 01:00:00.000000,2019-02-21,CFFA,9.83,9.88,9.88,9.88,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85
9.84,9.85,9.84,9.85,204,2019-02-27 01:00:00.000000,2019-02-27,CFFA,9.84,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.85,9.86,9.86,9.86,9.95
9.52,9.85,9.52,9.85,2104,2019-03-04 01:00:00.000000,2019-03-04,CFFA,9.52,9.85,9.85,9.85,9.85,9.85,9.86,9.86,9.86,9.95,9.93,9.91,9.9
9.84,9.85,9.84,9.85,51110,2019-03-07 01:00:00.000000,2019-03-07,CFFA,9.84,9.85,9.85,9.86,9.86,9.86,9.95,9.93,9.91,9.9,9.9,9.9,9.9
9.85,9.86,9.85,9.86,122703,2019-03-12 01:00:00.000000,2019-03-12,CFFA,9.85,9.86,9.86,9.95,9.93,9.91,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.95,9.95,9.87,9.95,100832,2019-03-15 01:00:00.000000,2019-03-15,CFFA,9.93,9.93,9.91,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.89,9.88
9.93,9.93,9.93,9.93,348,2019-03-18 01:00:00.000000,2019-03-18,CFFA,9.91,9.91,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.89,9.88,9.88
9.91,9.91,9.91,9.91,1001,2019-03-19 01:00:00.000000,2019-03-19,CFFA,9.91,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.89,9.88,9.88,9.95
9.91,9.91,9.89,9.9,4600,2019-03-20 01:00:00.000000,2019-03-20,CFFA,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.89,9.88,9.88,9.95,9.93
9.9,9.9,9.9,9.9,1000,2019-03-21 01:00:00.000000,2019-03-21,CFFA,9.91,9.9,9.9,9.9,9.9,9.9,9.9,9.89,9.88,9.88,9.95,9.93,9.93
9.91,9.91,9.9,9.9,1200,2019-03-22 01:00:00.000000,2019-03-22,CFFA,9.91,9.9,9.9,9.9,9.9,9.9,9.89,9.88,9.88,9.95,9.93,9.93,9.93
9.86,9.9,9.86,9.9,67775,2019-03-29 01:00:00.000000,2019-03-29,CFFA,9.9,9.89,9.88,9.88,9.95,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.91
9.9,9.9,9.85,9.89,14835,2019-04-01 01:00:00.000000,2019-04-01,CFFA,9.88,9.88,9.88,9.95,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.91,9.91
9.88,9.88,9.88,9.88,160200,2019-04-02 01:00:00.000000,2019-04-02,CFFA,9.88,9.88,9.95,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.91,9.91,9.92
9.64,9.95,9.64,9.95,13660,2019-04-04 01:00:00.000000,2019-04-04,CFFA,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.91,9.91,9.92,9.92,9.92
9.93,9.93,9.93,9.93,300,2019-04-05 01:00:00.000000,2019-04-05,CFFA,9.93,9.93,9.93,9.93,9.93,9.93,9.93,9.91,9.91,9.92,9.92,9.92,9.92
9.91,9.91,9.91,9.91,275,2019-04-16 01:00:00.000000,2019-04-16,CFFA,9.91,9.91,9.92,9.92,9.92,9.92,9.92,9.92,9.9,9.9,9.9,9.9,9.9
9.91,9.91,9.91,9.91,557,2019-04-17 01:00:00.000000,2019-04-17,CFFA,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.9,9.9,9.9,9.9,9.9,9.9
9.92,9.92,9.92,9.92,1250,2019-04-18 01:00:00.000000,2019-04-18,CFFA,9.92,9.92,9.92,9.92,9.92,9.92,9.9,9.9,9.9,9.9,9.9,9.9,9.92
9.95,9.95,9.92,9.92,5305,2019-04-25 01:00:00.000000,2019-04-25,CFFA,9.69,9.9,9.9,9.9,9.9,9.9,9.9,9.92,9.93,9.93,9.91,9.91,9.98
9.69,9.9,9.69,9.9,1557,2019-04-26 01:00:00.000000,2019-04-26,CFFA,9.9,9.9,9.9,9.9,9.9,9.9,9.92,9.93,9.93,9.91,9.91,9.98,9.98
9.9,9.9,9.9,9.9,5000,2019-04-29 01:00:00.000000,2019-04-29,CFFA,9.9,9.9,9.9,9.9,9.9,9.92,9.93,9.93,9.91,9.91,9.98,9.98,9.98
9.9,9.9,9.9,9.9,1000,2019-04-30 01:00:00.000000,2019-04-30,CFFA,9.9,9.9,9.9,9.9,9.92,9.93,9.93,9.91,9.91,9.98,9.98,9.98,9.96
9.94,9.94,9.92,9.92,201300,2019-05-06 01:00:00.000000,2019-05-06,CFFA,9.93,9.93,9.93,9.91,9.91,9.98,9.98,9.98,9.96,9.96,9.96,9.96,9.96
9.93,9.93,9.93,9.93,3000,2019-05-07 01:00:00.000000,2019-05-07,CFFA,9.93,9.93,9.91,9.91,9.98,9.98,9.98,9.96,9.96,9.96,9.96,9.96,9.96
9.91,9.91,9.91,9.91,22267,2019-05-09 01:00:00.000000,2019-05-09,CFFA,9.91,9.91,9.98,9.98,9.98,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96
9.91,9.91,9.91,9.91,1005,2019-05-10 01:00:00.000000,2019-05-10,CFFA,9.98,9.98,9.98,9.98,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.97
