open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.94,1.1,0.94,1.03,1107500,2020-01-10 01:00:00.000000,2020-01-10,CHPMW,1.1,1.01,1.1,1.12,0.17,0.07,0.17,0.19
1.1,1.1,1.1,1.1,198,2020-01-14 01:00:00.000000,2020-01-14,CHPMW,1.01,1.05,1.12,1.12,-0.08,-0.05,0.02,0.02
1.01,1.01,1.01,1.01,200,2020-01-15 01:00:00.000000,2020-01-15,CHPMW,1.01,1.1,1.12,1.12,0.0,0.09,0.11,0.11
1.01,1.01,1.01,1.01,100000,2020-01-16 01:00:00.000000,2020-01-16,CHPMW,1.05,1.12,1.12,1.12,0.04,0.11,0.11,0.11
1.05,1.06,1.05,1.05,206400,2020-01-21 01:00:00.000000,2020-01-21,CHPMW,1.1,1.12,1.12,1.12,0.05,0.07,0.07,0.07
1.1,1.1,1.1,1.1,108000,2020-02-06 01:00:00.000000,2020-02-06,CHPMW,1.12,1.12,1.12,1.12,0.02,0.02,0.02,0.02
1.12,1.12,1.12,1.12,249264,2020-02-07 01:00:00.000000,2020-02-07,CHPMW,1.12,1.12,1.12,1.15,0.0,0.0,0.0,0.03
1.12,1.12,1.12,1.12,50000,2020-02-10 01:00:00.000000,2020-02-10,CHPMW,1.12,1.12,1.12,0.78,0.0,0.0,0.0,-0.3
1.12,1.15,1.12,1.12,80600,2020-02-21 01:00:00.000000,2020-02-21,CHPMW,1.12,1.12,1.15,0.95,0.0,0.0,0.03,-0.15
1.12,1.12,1.12,1.12,12500,2020-02-24 01:00:00.000000,2020-02-24,CHPMW,1.12,1.12,0.78,0.7,0.0,0.0,-0.3,-0.38
1.2,1.2,1.12,1.12,100300,2020-02-27 01:00:00.000000,2020-02-27,CHPMW,1.12,1.15,0.95,0.54,-0.07,-0.04,-0.21,-0.55
1.12,1.12,1.12,1.12,74965,2020-03-02 01:00:00.000000,2020-03-02,CHPMW,1.12,0.78,0.7,0.7,0.0,-0.3,-0.38,-0.38
1.12,1.12,1.12,1.12,87850,2020-03-03 01:00:00.000000,2020-03-03,CHPMW,1.15,0.95,0.54,0.7,0.03,-0.15,-0.52,-0.38
1.15,1.15,1.15,1.15,2141,2020-03-05 01:00:00.000000,2020-03-05,CHPMW,0.78,0.7,0.7,0.69,-0.32,-0.39,-0.39,-0.4
0.6,0.78,0.6,0.78,501002,2020-03-25 01:00:00.000000,2020-03-25,CHPMW,0.95,0.54,0.7,0.7,0.58,-0.1,0.17,0.17
1.05,1.05,0.95,0.95,200,2020-03-26 01:00:00.000000,2020-03-26,CHPMW,0.7,0.7,0.69,0.7,-0.33,-0.33,-0.34,-0.33
0.94,0.94,0.53,0.7,900,2020-03-30 01:00:00.000000,2020-03-30,CHPMW,0.54,0.7,0.7,0.6,-0.43,-0.26,-0.26,-0.36
0.89,0.89,0.54,0.54,350,2020-03-31 01:00:00.000000,2020-03-31,CHPMW,0.7,0.69,0.7,0.6,-0.21,-0.22,-0.21,-0.33
0.7,0.7,0.7,0.7,100,2020-04-01 01:00:00.000000,2020-04-01,CHPMW,0.7,0.7,0.6,0.65,0.0,0.0,-0.14,-0.07
0.7,0.7,0.7,0.7,100,2020-04-02 01:00:00.000000,2020-04-02,CHPMW,0.69,0.7,0.6,0.68,-0.01,0.0,-0.14,-0.03
0.6,0.69,0.6,0.69,250846,2020-04-03 01:00:00.000000,2020-04-03,CHPMW,0.7,0.6,0.65,0.83,0.17,0.0,0.08,0.38
0.7,0.7,0.69,0.7,23750,2020-04-06 01:00:00.000000,2020-04-06,CHPMW,0.7,0.6,0.68,0.7,0.0,-0.14,-0.03,0.0
