open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.9,9.9,9.9,9.9,140000,2020-01-10 01:00:00.000000,2020-01-10,CHPM,9.87,9.87,9.87,9.87,9.9,9.92,9.92,9.99,9.92,9.92,9.92,9.92,9.92
9.87,9.87,9.87,9.87,215000,2020-01-13 01:00:00.000000,2020-01-13,CHPM,9.87,9.87,9.87,9.9,9.92,9.92,9.99,9.92,9.92,9.92,9.92,9.92,9.92
9.88,9.9,9.88,9.9,350000,2020-01-16 01:00:00.000000,2020-01-16,CHPM,9.92,9.92,9.92,9.99,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92
9.92,9.92,9.92,9.92,25000,2020-01-17 01:00:00.000000,2020-01-17,CHPM,9.92,9.92,9.99,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.9
9.98,9.99,9.95,9.99,1610,2020-01-21 01:00:00.000000,2020-01-21,CHPM,9.8,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.9,9.94,9.94
9.8,9.95,9.8,9.92,380100,2020-01-22 01:00:00.000000,2020-01-22,CHPM,9.8,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.92,9.9,9.94,9.94,9.95
9.9,9.9,9.9,9.9,4030,2020-02-04 01:00:00.000000,2020-02-04,CHPM,9.94,9.94,9.94,9.95,9.95,9.96,9.99,9.99,9.99,9.99,10.02,10.02,10.02
9.94,9.94,9.94,9.94,383702,2020-02-05 01:00:00.000000,2020-02-05,CHPM,9.94,9.94,9.95,9.95,9.96,9.99,9.99,9.99,9.99,10.02,10.02,10.02,10.0
9.95,9.95,9.95,9.95,338579,2020-02-07 01:00:00.000000,2020-02-07,CHPM,9.95,9.95,9.96,9.99,9.99,9.99,9.99,10.02,10.02,10.02,10.0,10.0,10.0
9.95,9.95,9.95,9.95,100019,2020-02-10 01:00:00.000000,2020-02-10,CHPM,9.99,9.96,9.99,9.99,9.99,9.99,10.02,10.02,10.02,10.0,10.0,10.0,9.98
9.99,9.99,9.96,9.96,850103,2020-02-11 01:00:00.000000,2020-02-11,CHPM,9.96,9.99,9.99,9.99,9.99,10.02,10.02,10.02,10.0,10.0,10.0,9.98,9.98
9.96,10.0,9.96,9.99,115613,2020-02-12 01:00:00.000000,2020-02-12,CHPM,9.96,9.99,9.99,9.99,10.02,10.02,10.02,10.0,10.0,10.0,9.98,9.98,9.98
9.95,9.99,9.95,9.99,39313,2020-02-14 01:00:00.000000,2020-02-14,CHPM,9.95,9.99,10.02,10.02,10.02,10.0,10.0,10.0,9.98,9.98,9.98,9.92,9.92
9.96,10.02,9.96,10.02,114698,2020-02-18 01:00:00.000000,2020-02-18,CHPM,9.95,10.02,10.02,10.0,10.0,10.0,9.98,9.98,9.98,9.92,9.92,9.95,9.92
9.95,10.02,9.95,10.02,10242,2020-02-19 01:00:00.000000,2020-02-19,CHPM,9.95,10.02,10.0,10.0,10.0,9.98,9.98,9.98,9.92,9.92,9.95,9.92,9.81
10.0,10.0,10.0,10.0,450012,2020-02-21 01:00:00.000000,2020-02-21,CHPM,10.01,10.0,10.0,9.98,9.98,9.98,9.92,9.92,9.95,9.92,9.81,9.78,9.9
10.01,10.02,10.0,10.0,111501,2020-02-24 01:00:00.000000,2020-02-24,CHPM,10.0,10.0,9.98,9.98,9.98,9.92,9.92,9.95,9.92,9.81,9.78,9.9,9.86
10.0,10.0,10.0,10.0,206,2020-02-25 01:00:00.000000,2020-02-25,CHPM,9.95,9.98,9.98,9.98,9.92,9.92,9.95,9.92,9.81,9.78,9.9,9.86,9.8
9.95,10.0,9.95,9.98,11263,2020-02-26 01:00:00.000000,2020-02-26,CHPM,9.95,9.98,9.98,9.92,9.92,9.95,9.92,9.81,9.78,9.9,9.86,9.8,9.68
9.91,9.94,9.9,9.92,113200,2020-03-02 01:00:00.000000,2020-03-02,CHPM,9.91,9.92,9.95,9.92,9.81,9.78,9.9,9.86,9.8,9.68,9.5,9.5,9.45
9.95,9.95,9.92,9.95,200338,2020-03-04 01:00:00.000000,2020-03-04,CHPM,9.95,9.92,9.81,9.78,9.9,9.86,9.8,9.68,9.5,9.5,9.45,9.5,9.4
9.95,9.95,9.92,9.92,66702,2020-03-05 01:00:00.000000,2020-03-05,CHPM,9.92,9.81,9.78,9.9,9.86,9.8,9.68,9.5,9.5,9.45,9.5,9.4,9.53
