open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.1,1.1,1.1,1.1,769,2018-01-02 01:00:00.000000,2018-01-02,CIC.WS,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.09,1.09,1.1
1.1,1.1,1.1,1.1,27000,2018-01-04 01:00:00.000000,2018-01-04,CIC.WS,1.09,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.09,1.09,1.1,1.1,1.14
1.09,1.1,1.09,1.1,200,2018-01-05 01:00:00.000000,2018-01-05,CIC.WS,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.09,1.09,1.1,1.1,1.14,1.13
1.1,1.1,1.1,1.1,53000,2018-01-08 01:00:00.000000,2018-01-08,CIC.WS,1.1,1.1,1.1,1.1,1.1,1.1,1.09,1.09,1.1,1.1,1.14,1.13,1.14
1.14,1.14,1.1,1.1,9220,2018-01-11 01:00:00.000000,2018-01-11,CIC.WS,1.14,1.1,1.1,1.09,1.09,1.1,1.1,1.14,1.13,1.14,1.14,1.14,1.14
1.14,1.14,1.09,1.1,8636,2018-01-12 01:00:00.000000,2018-01-12,CIC.WS,1.14,1.1,1.09,1.09,1.1,1.1,1.14,1.13,1.14,1.14,1.14,1.14,1.14
1.1,1.1,1.09,1.09,200,2018-01-16 01:00:00.000000,2018-01-16,CIC.WS,1.1,1.09,1.1,1.1,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14
1.08,1.1,1.08,1.1,404,2018-01-18 01:00:00.000000,2018-01-18,CIC.WS,1.1,1.1,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
1.1,1.1,1.1,1.1,2000,2018-01-19 01:00:00.000000,2018-01-19,CIC.WS,1.1,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
1.1,1.14,1.1,1.14,10486,2018-01-22 01:00:00.000000,2018-01-22,CIC.WS,1.14,1.13,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.12
