open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.9,9.9,9.9,9.9,100000,2019-09-09 01:00:00.000000,2019-09-09,CPAA,9.9,9.9,9.91,9.91,9.92,9.92,9.92,9.92,9.92,9.95,9.95,9.95,9.95
10.15,10.15,9.91,9.91,1800,2019-09-11 01:00:00.000000,2019-09-11,CPAA,10.15,9.91,9.92,9.92,9.92,9.92,9.92,9.95,9.95,9.95,9.95,9.95,9.95
9.92,10.48,9.92,9.92,5402,2019-09-13 01:00:00.000000,2019-09-13,CPAA,9.92,9.92,9.92,9.92,9.92,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
9.95,9.95,9.95,9.95,50000,2019-09-20 01:00:00.000000,2019-09-20,CPAA,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,10.15,10.15,10.15,10.05,10.1
10.15,10.15,10.15,10.15,5000,2019-10-02 01:00:00.000000,2019-10-02,CPAA,10.15,10.15,10.15,10.05,10.1,10.11,10.11,10.11,10.11,10.11,10.0,10.0,10.1
10.05,10.05,10.05,10.05,800000,2019-10-07 01:00:00.000000,2019-10-07,CPAA,10.1,10.1,10.11,10.11,10.11,10.11,10.11,10.0,10.0,10.1,10.1,10.15,10.15
10.1,10.1,10.1,10.1,1000,2019-10-08 01:00:00.000000,2019-10-08,CPAA,10.1,10.11,10.11,10.11,10.11,10.11,10.0,10.0,10.1,10.1,10.15,10.15,10.16
10.1,10.12,10.1,10.11,64356,2019-10-09 01:00:00.000000,2019-10-09,CPAA,10.1,10.11,10.11,10.11,10.11,10.0,10.0,10.1,10.1,10.15,10.15,10.16,10.16
10.0,10.0,10.0,10.0,149996,2019-10-16 01:00:00.000000,2019-10-16,CPAA,10.0,10.0,10.1,10.1,10.15,10.15,10.16,10.16,10.16,10.13,10.15,10.38,10.38
10.0,10.1,10.1,10.1,686056,2019-10-18 01:00:00.000000,2019-10-18,CPAA,10.0,10.1,10.15,10.15,10.16,10.16,10.16,10.13,10.15,10.38,10.38,10.38,10.3
10.15,10.15,10.15,10.15,500,2019-10-22 01:00:00.000000,2019-10-22,CPAA,10.15,10.15,10.16,10.16,10.16,10.13,10.15,10.38,10.38,10.38,10.3,10.3,10.3
10.2,10.2,10.14,10.16,5749,2019-10-24 01:00:00.000000,2019-10-24,CPAA,10.2,10.16,10.16,10.13,10.15,10.38,10.38,10.38,10.3,10.3,10.3,10.3,10.3
10.39,10.39,10.13,10.13,3145,2019-10-29 01:00:00.000000,2019-10-29,CPAA,10.15,10.15,10.38,10.38,10.38,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
10.15,10.15,10.15,10.15,70000,2019-10-30 01:00:00.000000,2019-10-30,CPAA,10.28,10.38,10.38,10.38,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
10.28,10.38,10.28,10.38,1000,2019-10-31 01:00:00.000000,2019-10-31,CPAA,10.28,10.38,10.38,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
10.3,10.3,10.3,10.3,500,2019-11-05 01:00:00.000000,2019-11-05,CPAA,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
10.27,10.27,10.2,10.2,400100,2019-11-25 01:00:00.000000,2019-11-25,CPAA,10.25,10.25,10.25,10.25,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.48,10.48
10.25,10.25,10.25,10.25,700,2019-11-26 01:00:00.000000,2019-11-26,CPAA,10.25,10.25,10.25,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.48,10.48,10.48
10.47,10.47,10.47,10.47,100,2019-11-29 01:00:00.000000,2019-11-29,CPAA,10.47,10.47,10.47,10.47,10.47,10.47,10.47,10.48,10.48,10.48,10.48,10.35,10.3
10.48,10.48,10.4,10.48,5000,2019-12-10 01:00:00.000000,2019-12-10,CPAA,10.48,10.48,10.48,10.48,10.35,10.3,10.3,10.3,10.4,10.4,10.4,10.4,10.4
10.35,10.35,10.35,10.35,100,2019-12-16 01:00:00.000000,2019-12-16,CPAA,10.3,10.3,10.3,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
10.3,10.3,10.3,10.3,100,2019-12-17 01:00:00.000000,2019-12-17,CPAA,10.3,10.3,10.3,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
10.4,10.4,10.4,10.4,100,2019-12-20 01:00:00.000000,2019-12-20,CPAA,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
10.9,10.9,10.9,10.9,101,2020-01-08 01:00:00.000000,2020-01-08,CPAA,10.65,10.58,10.59,10.7,10.7,10.99,11.0,10.6,10.6,10.75,10.75,10.75,10.75
10.65,10.65,10.58,10.58,251000,2020-01-09 01:00:00.000000,2020-01-09,CPAA,10.9,10.59,10.7,10.7,10.99,11.0,10.6,10.6,10.75,10.75,10.75,10.75,10.8
10.9,11.0,10.59,10.59,5900,2020-01-10 01:00:00.000000,2020-01-10,CPAA,10.65,10.7,10.7,10.99,11.0,10.6,10.6,10.75,10.75,10.75,10.75,10.8,10.8
10.65,10.75,10.65,10.7,32620,2020-01-13 01:00:00.000000,2020-01-13,CPAA,10.65,10.7,10.99,11.0,10.6,10.6,10.75,10.75,10.75,10.75,10.8,10.8,10.8
10.65,10.7,10.65,10.7,11500,2020-01-14 01:00:00.000000,2020-01-14,CPAA,10.99,10.99,11.0,10.6,10.6,10.75,10.75,10.75,10.75,10.8,10.8,10.8,10.8
10.99,10.99,10.99,10.99,100,2020-01-15 01:00:00.000000,2020-01-15,CPAA,10.8,11.0,10.6,10.6,10.75,10.75,10.75,10.75,10.8,10.8,10.8,10.8,10.8
10.8,11.0,10.8,11.0,244,2020-01-16 01:00:00.000000,2020-01-16,CPAA,10.75,10.6,10.6,10.75,10.75,10.75,10.75,10.8,10.8,10.8,10.8,10.8,10.8
10.75,10.94,10.6,10.6,130300,2020-01-17 01:00:00.000000,2020-01-17,CPAA,10.75,10.6,10.75,10.75,10.75,10.75,10.8,10.8,10.8,10.8,10.8,10.8,10.8
10.85,10.85,10.75,10.75,26103,2020-01-21 01:00:00.000000,2020-01-21,CPAA,10.85,10.75,10.75,10.75,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.78,10.78
10.8,10.8,10.8,10.8,100,2020-01-27 01:00:00.000000,2020-01-27,CPAA,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.78,10.78,10.78,10.78,10.78,10.8
10.8,10.8,10.8,10.8,158360,2020-01-28 01:00:00.000000,2020-01-28,CPAA,10.8,10.8,10.8,10.8,10.8,10.8,10.78,10.78,10.78,10.78,10.78,10.8,10.7
10.78,10.78,10.78,10.78,25004,2020-02-05 01:00:00.000000,2020-02-05,CPAA,10.78,10.78,10.78,10.78,10.78,10.8,10.7,10.7,10.7,10.8,10.9,10.87,10.8
10.85,10.85,10.8,10.8,1116,2020-02-12 01:00:00.000000,2020-02-12,CPAA,10.8,10.7,10.7,10.7,10.8,10.9,10.87,10.8,11.0,10.95,10.95,11.18,11.18
10.8,10.8,10.7,10.7,1001,2020-02-13 01:00:00.000000,2020-02-13,CPAA,10.8,10.7,10.7,10.8,10.9,10.87,10.8,11.0,10.95,10.95,11.18,11.18,11.09
10.79,10.8,10.79,10.8,407591,2020-02-18 01:00:00.000000,2020-02-18,CPAA,10.83,10.9,10.87,10.8,11.0,10.95,10.95,11.18,11.18,11.09,11.09,11.1,11.1
10.83,10.9,10.83,10.9,208,2020-02-19 01:00:00.000000,2020-02-19,CPAA,10.87,10.87,10.8,11.0,10.95,10.95,11.18,11.18,11.09,11.09,11.1,11.1,11.1
10.87,10.87,10.87,10.87,463,2020-02-20 01:00:00.000000,2020-02-20,CPAA,10.85,10.8,11.0,10.95,10.95,11.18,11.18,11.09,11.09,11.1,11.1,11.1,11.16
10.85,10.85,10.7,10.8,2411,2020-02-21 01:00:00.000000,2020-02-21,CPAA,10.6,11.0,10.95,10.95,11.18,11.18,11.09,11.09,11.1,11.1,11.1,11.16,11.16
10.6,11.0,10.6,11.0,50713,2020-02-24 01:00:00.000000,2020-02-24,CPAA,11.0,10.95,10.95,11.18,11.18,11.09,11.09,11.1,11.1,11.1,11.16,11.16,11.16
11.0,11.65,10.95,10.95,221897,2020-02-25 01:00:00.000000,2020-02-25,CPAA,11.0,10.95,11.18,11.18,11.09,11.09,11.1,11.1,11.1,11.16,11.16,11.16,11.0
11.0,11.19,10.95,10.95,152816,2020-02-26 01:00:00.000000,2020-02-26,CPAA,11.18,11.18,11.18,11.09,11.09,11.1,11.1,11.1,11.16,11.16,11.16,11.0,11.0
11.18,11.18,11.17,11.18,774,2020-02-27 01:00:00.000000,2020-02-27,CPAA,11.18,11.18,11.09,11.09,11.1,11.1,11.1,11.16,11.16,11.16,11.0,11.0,10.68
10.6,11.59,10.6,11.09,118069,2020-03-02 01:00:00.000000,2020-03-02,CPAA,10.6,11.09,11.1,11.1,11.1,11.16,11.16,11.16,11.0,11.0,10.68,10.42,10.42
11.09,11.1,11.09,11.1,817,2020-03-04 01:00:00.000000,2020-03-04,CPAA,11.09,11.1,11.1,11.16,11.16,11.16,11.0,11.0,10.68,10.42,10.42,10.42,10.42
11.16,11.16,11.16,11.16,208,2020-03-09 01:00:00.000000,2020-03-09,CPAA,11.16,11.16,11.16,11.0,11.0,10.68,10.42,10.42,10.42,10.42,10.0,10.0,10.0
11.0,11.0,11.0,11.0,202,2020-03-12 01:00:00.000000,2020-03-12,CPAA,11.0,11.0,10.68,10.42,10.42,10.42,10.42,10.0,10.0,10.0,10.0,10.0,10.0
11.0,11.0,11.0,11.0,203,2020-03-13 01:00:00.000000,2020-03-13,CPAA,10.59,10.68,10.42,10.42,10.42,10.42,10.0,10.0,10.0,10.0,10.0,10.0,9.9
10.59,11.25,10.05,10.68,12549,2020-03-16 01:00:00.000000,2020-03-16,CPAA,10.24,10.42,10.42,10.42,10.42,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.9
10.24,10.42,10.2,10.42,901,2020-03-17 01:00:00.000000,2020-03-17,CPAA,10.24,10.42,10.42,10.42,10.0,10.0,10.0,10.0,10.0,10.0,9.9,9.9,9.9
9.4,10.0,9.4,10.0,242247,2020-03-23 01:00:00.000000,2020-03-23,CPAA,9.4,10.0,10.0,10.0,10.0,10.0,9.9,9.9,9.9,9.9,9.9,9.96,9.96
10.72,10.77,9.76,9.9,375518,2020-03-31 01:00:00.000000,2020-03-31,CPAA,10.72,9.9,9.9,9.9,9.9,9.96,9.96,9.96,9.96,9.96,9.98,9.98,9.98
9.96,9.96,9.96,9.96,140,2020-04-07 01:00:00.000000,2020-04-07,CPAA,9.96,9.96,9.96,9.96,9.96,9.98,9.98,9.98,9.98,10.15,10.22,10.22,10.22
9.98,9.98,9.98,9.98,1000,2020-04-14 01:00:00.000000,2020-04-14,CPAA,9.98,9.98,9.98,9.98,10.15,10.22,10.22,10.22,10.25,10.25,10.51,10.51,10.65
10.15,10.15,10.15,10.15,25000,2020-04-20 01:00:00.000000,2020-04-20,CPAA,10.22,10.22,10.22,10.22,10.25,10.25,10.51,10.51,10.65,10.4,10.45,10.45,10.45
10.22,10.22,10.22,10.22,100001,2020-04-21 01:00:00.000000,2020-04-21,CPAA,10.22,10.22,10.22,10.25,10.25,10.51,10.51,10.65,10.4,10.45,10.45,10.45,10.3
10.25,10.25,10.25,10.25,100001,2020-04-24 01:00:00.000000,2020-04-24,CPAA,10.25,10.25,10.51,10.51,10.65,10.4,10.45,10.45,10.45,10.3,10.35,10.35,10.6
10.51,10.51,10.51,10.51,200,2020-04-28 01:00:00.000000,2020-04-28,CPAA,10.51,10.51,10.65,10.4,10.45,10.45,10.45,10.3,10.35,10.35,10.6,10.8,10.65
10.65,10.65,10.65,10.65,5000,2020-04-30 01:00:00.000000,2020-04-30,CPAA,10.4,10.4,10.45,10.45,10.45,10.3,10.35,10.35,10.6,10.8,10.65,10.65,10.6
10.4,10.4,10.4,10.4,100,2020-05-01 01:00:00.000000,2020-05-01,CPAA,10.25,10.45,10.45,10.45,10.3,10.35,10.35,10.6,10.8,10.65,10.65,10.6,10.35
10.25,10.45,10.25,10.45,75100,2020-05-04 01:00:00.000000,2020-05-04,CPAA,10.25,10.45,10.45,10.3,10.35,10.35,10.6,10.8,10.65,10.65,10.6,10.35,10.6
10.45,10.45,10.45,10.45,100,2020-05-06 01:00:00.000000,2020-05-06,CPAA,10.3,10.3,10.35,10.35,10.6,10.8,10.65,10.65,10.6,10.35,10.6,10.6,10.6
10.3,10.4,10.3,10.3,1426913,2020-05-07 01:00:00.000000,2020-05-07,CPAA,10.35,10.35,10.35,10.6,10.8,10.65,10.65,10.6,10.35,10.6,10.6,10.6,10.6
10.35,10.35,10.35,10.35,450000,2020-05-08 01:00:00.000000,2020-05-08,CPAA,10.35,10.35,10.6,10.8,10.65,10.65,10.6,10.35,10.6,10.6,10.6,10.6,10.6
10.65,10.75,10.6,10.6,66012,2020-05-12 01:00:00.000000,2020-05-12,CPAA,10.6,10.8,10.65,10.65,10.6,10.35,10.6,10.6,10.6,10.6,10.6,10.59,10.51
10.6,10.8,10.5,10.8,42412,2020-05-13 01:00:00.000000,2020-05-13,CPAA,10.61,10.65,10.65,10.6,10.35,10.6,10.6,10.6,10.6,10.6,10.59,10.51,10.78
10.61,10.65,10.61,10.65,400,2020-05-14 01:00:00.000000,2020-05-14,CPAA,10.61,10.65,10.6,10.35,10.6,10.6,10.6,10.6,10.6,10.59,10.51,10.78,10.84
10.55,10.6,10.55,10.6,302,2020-05-18 01:00:00.000000,2020-05-18,CPAA,10.35,10.35,10.6,10.6,10.6,10.6,10.6,10.59,10.51,10.78,10.84,10.85,10.85
10.35,10.35,10.35,10.35,100,2020-05-19 01:00:00.000000,2020-05-19,CPAA,10.75,10.6,10.6,10.6,10.6,10.6,10.59,10.51,10.78,10.84,10.85,10.85,10.6
10.75,10.75,10.3,10.6,26900,2020-05-20 01:00:00.000000,2020-05-20,CPAA,10.84,10.6,10.6,10.6,10.6,10.59,10.51,10.78,10.84,10.85,10.85,10.6,10.85
10.84,10.84,10.6,10.6,200,2020-05-21 01:00:00.000000,2020-05-21,CPAA,10.32,10.6,10.6,10.6,10.59,10.51,10.78,10.84,10.85,10.85,10.6,10.85,10.74
10.32,10.6,10.32,10.6,300,2020-05-22 01:00:00.000000,2020-05-22,CPAA,10.32,10.6,10.6,10.59,10.51,10.78,10.84,10.85,10.85,10.6,10.85,10.74,11.15
10.35,10.59,10.35,10.59,1313411,2020-05-27 01:00:00.000000,2020-05-27,CPAA,10.5,10.51,10.78,10.84,10.85,10.85,10.6,10.85,10.74,11.15,11.16,11.23,11.12
10.5,10.6,10.5,10.51,28800,2020-05-28 01:00:00.000000,2020-05-28,CPAA,10.64,10.78,10.84,10.85,10.85,10.6,10.85,10.74,11.15,11.16,11.23,11.12,11.34
10.64,10.78,10.64,10.78,3740,2020-05-29 01:00:00.000000,2020-05-29,CPAA,10.7,10.84,10.85,10.85,10.6,10.85,10.74,11.15,11.16,11.23,11.12,11.34,11.26
