open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.75,0.8,0.75,0.8,835000,2019-04-17 01:00:00.000000,2019-04-17,CRSAW,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.75,0.75,0.75,0.75,0.75
0.7,0.7,0.7,0.7,100,2019-04-26 01:00:00.000000,2019-04-26,CRSAW,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,100000,2019-04-29 01:00:00.000000,2019-04-29,CRSAW,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.8,0.75,0.75,173700,2019-05-02 01:00:00.000000,2019-05-02,CRSAW,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,100000,2019-05-07 01:00:00.000000,2019-05-07,CRSAW,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,150000,2019-05-08 01:00:00.000000,2019-05-08,CRSAW,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,25045,2019-05-14 01:00:00.000000,2019-05-14,CRSAW,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75,10400,2019-06-11 01:00:00.000000,2019-06-11,CRSAW,0.75,0.75,0.75,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
0.58,0.65,0.58,0.65,14800,2019-06-17 01:00:00.000000,2019-06-17,CRSAW,0.58,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
0.65,0.65,0.65,0.65,225040,2019-06-21 01:00:00.000000,2019-06-21,CRSAW,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.8
0.65,0.65,0.65,0.65,200000,2019-06-28 01:00:00.000000,2019-06-28,CRSAW,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.8,0.8,0.8,0.8,0.8,0.8
0.65,0.65,0.65,0.65,250600,2019-07-02 01:00:00.000000,2019-07-02,CRSAW,0.65,0.65,0.65,0.65,0.65,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.65,0.65,0.65,0.65,252000,2019-07-03 01:00:00.000000,2019-07-03,CRSAW,0.65,0.65,0.65,0.65,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8,600,2019-07-09 01:00:00.000000,2019-07-09,CRSAW,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8,810,2019-07-10 01:00:00.000000,2019-07-10,CRSAW,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.77,0.8,0.7,0.75,11700,2019-08-14 01:00:00.000000,2019-08-14,CRSAW,0.77,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.7,0.8,0.7,0.8,308483,2019-09-12 01:00:00.000000,2019-09-12,CRSAW,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.7,0.8,0.7,0.8,800,2019-09-24 01:00:00.000000,2019-09-24,CRSAW,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7
0.7,0.7,0.7,0.7,45000,2019-10-03 01:00:00.000000,2019-10-03,CRSAW,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.75,0.75
