open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.35,9.35,9.35,9.35,5000,2020-03-20 01:00:00.000000,2020-03-20,ESSC,9.35,9.35,9.35,9.5,9.5,9.7,9.7,9.65,9.4,9.66,9.66,9.6,9.6
9.35,9.35,9.35,9.35,1000,2020-03-23 01:00:00.000000,2020-03-23,ESSC,9.2,9.35,9.5,9.5,9.7,9.7,9.65,9.4,9.66,9.66,9.6,9.6,9.63
9.2,9.35,9.35,9.35,5000,2020-03-24 01:00:00.000000,2020-03-24,ESSC,9.4,9.5,9.5,9.7,9.7,9.65,9.4,9.66,9.66,9.6,9.6,9.63,9.62
9.4,9.5,9.4,9.5,15200,2020-03-25 01:00:00.000000,2020-03-25,ESSC,9.4,9.5,9.7,9.7,9.65,9.4,9.66,9.66,9.6,9.6,9.63,9.62,9.62
9.7,9.7,9.7,9.7,5068,2020-03-27 01:00:00.000000,2020-03-27,ESSC,9.7,9.7,9.65,9.4,9.66,9.66,9.6,9.6,9.63,9.62,9.62,9.62,9.75
9.65,9.65,9.65,9.65,5032,2020-03-31 01:00:00.000000,2020-03-31,ESSC,9.4,9.4,9.66,9.66,9.6,9.6,9.63,9.62,9.62,9.62,9.75,9.75,9.75
9.4,9.4,9.4,9.4,200,2020-04-01 01:00:00.000000,2020-04-01,ESSC,9.66,9.66,9.66,9.6,9.6,9.63,9.62,9.62,9.62,9.75,9.75,9.75,9.7
9.66,9.66,9.66,9.66,2001,2020-04-02 01:00:00.000000,2020-04-02,ESSC,9.66,9.66,9.6,9.6,9.63,9.62,9.62,9.62,9.75,9.75,9.75,9.7,9.7
9.5,9.6,9.5,9.6,1506,2020-04-06 01:00:00.000000,2020-04-06,ESSC,9.5,9.6,9.63,9.62,9.62,9.62,9.75,9.75,9.75,9.7,9.7,9.7,9.7
9.68,9.68,9.63,9.63,1100,2020-04-08 01:00:00.000000,2020-04-08,ESSC,9.6,9.62,9.62,9.62,9.75,9.75,9.75,9.7,9.7,9.7,9.7,9.77,9.77
9.6,9.62,9.6,9.62,1798,2020-04-09 01:00:00.000000,2020-04-09,ESSC,9.6,9.62,9.62,9.75,9.75,9.75,9.7,9.7,9.7,9.7,9.77,9.77,9.75
9.75,9.75,9.75,9.75,2100,2020-04-14 01:00:00.000000,2020-04-14,ESSC,9.75,9.75,9.75,9.7,9.7,9.7,9.7,9.77,9.77,9.75,9.75,9.77,9.73
9.75,9.75,9.75,9.75,3700,2020-04-16 01:00:00.000000,2020-04-16,ESSC,9.7,9.7,9.7,9.7,9.7,9.77,9.77,9.75,9.75,9.77,9.73,9.73,9.73
9.7,9.7,9.7,9.7,6706,2020-04-17 01:00:00.000000,2020-04-17,ESSC,9.7,9.7,9.7,9.7,9.77,9.77,9.75,9.75,9.77,9.73,9.73,9.73,9.73
