open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.75,0.76,0.73,0.75,107900,2020-01-03 01:00:00.000000,2020-01-03,EXPCW,0.76,0.86,0.89,0.87,0.01,0.15,0.19,0.16
0.76,0.76,0.76,0.76,33334,2020-01-06 01:00:00.000000,2020-01-06,EXPCW,0.79,0.89,0.82,0.95,0.04,0.17,0.08,0.25
0.79,0.79,0.79,0.79,100000,2020-01-10 01:00:00.000000,2020-01-10,EXPCW,0.86,0.89,0.87,0.92,0.09,0.13,0.1,0.16
0.89,0.89,0.86,0.86,3776,2020-01-14 01:00:00.000000,2020-01-14,EXPCW,0.89,0.82,0.95,1.05,0.0,-0.08,0.07,0.18
0.89,0.89,0.89,0.89,4000,2020-01-15 01:00:00.000000,2020-01-15,EXPCW,0.89,0.87,0.92,0.95,0.0,-0.02,0.03,0.07
0.89,0.89,0.89,0.89,2500,2020-01-16 01:00:00.000000,2020-01-16,EXPCW,0.82,0.95,1.05,1.0,-0.08,0.07,0.18,0.12
0.82,0.82,0.82,0.82,5766,2020-01-17 01:00:00.000000,2020-01-17,EXPCW,0.87,0.92,0.95,1.0,0.06,0.12,0.16,0.22
0.87,0.87,0.87,0.87,291000,2020-01-22 01:00:00.000000,2020-01-22,EXPCW,0.95,1.05,1.0,1.5,0.09,0.21,0.15,0.72
0.95,0.95,0.95,0.95,11000,2020-01-30 01:00:00.000000,2020-01-30,EXPCW,0.92,0.95,1.0,1.25,-0.03,0.0,0.05,0.32
0.92,0.92,0.92,0.92,33000,2020-02-07 01:00:00.000000,2020-02-07,EXPCW,1.05,1.0,1.5,0.75,0.14,0.09,0.63,-0.18
1.05,1.05,1.05,1.05,100,2020-02-11 01:00:00.000000,2020-02-11,EXPCW,0.95,1.0,1.25,1.0,-0.1,-0.05,0.19,-0.05
0.95,0.95,0.95,0.95,32720,2020-02-12 01:00:00.000000,2020-02-12,EXPCW,1.0,1.5,0.75,0.73,0.05,0.58,-0.21,-0.23
1.0,1.0,1.0,1.0,5000,2020-02-20 01:00:00.000000,2020-02-20,EXPCW,1.0,1.25,1.0,0.5,0.0,0.25,0.0,-0.5
1.0,1.02,1.0,1.0,72633,2020-02-21 01:00:00.000000,2020-02-21,EXPCW,1.5,0.75,0.73,0.5,0.5,-0.25,-0.27,-0.5
1.5,1.5,1.5,1.5,150,2020-03-05 01:00:00.000000,2020-03-05,EXPCW,1.25,1.0,0.5,0.55,-0.17,-0.33,-0.67,-0.63
1.0,1.25,1.0,1.25,31100,2020-03-13 01:00:00.000000,2020-03-13,EXPCW,0.75,0.73,0.5,0.55,-0.25,-0.27,-0.5,-0.45
0.8,0.8,0.6,0.75,21700,2020-03-20 01:00:00.000000,2020-03-20,EXPCW,1.0,0.5,0.55,0.6,0.25,-0.38,-0.31,-0.25
1.0,1.0,1.0,1.0,100,2020-03-23 01:00:00.000000,2020-03-23,EXPCW,0.73,0.5,0.55,0.6,-0.27,-0.5,-0.45,-0.4
0.73,0.73,0.73,0.73,300,2020-03-30 01:00:00.000000,2020-03-30,EXPCW,0.5,0.55,0.6,0.6,-0.32,-0.25,-0.18,-0.18
0.5,0.5,0.48,0.5,20200,2020-04-02 01:00:00.000000,2020-04-02,EXPCW,0.5,0.55,0.6,0.6,0.0,0.1,0.2,0.2
0.85,0.85,0.5,0.5,600,2020-04-08 01:00:00.000000,2020-04-08,EXPCW,0.55,0.6,0.6,0.75,-0.35,-0.29,-0.29,-0.12
0.55,0.55,0.55,0.55,3000,2020-04-23 01:00:00.000000,2020-04-23,EXPCW,0.55,0.6,0.6,0.7,0.0,0.09,0.09,0.27
0.55,0.55,0.55,0.55,316666,2020-05-12 01:00:00.000000,2020-05-12,EXPCW,0.6,0.6,0.75,0.75,0.09,0.09,0.36,0.36
0.6,0.6,0.6,0.6,35000,2020-05-13 01:00:00.000000,2020-05-13,EXPCW,0.6,0.6,0.7,0.7,0.0,0.0,0.17,0.17
0.6,0.6,0.6,0.6,89517,2020-05-14 01:00:00.000000,2020-05-14,EXPCW,0.6,0.75,0.75,0.73,0.0,0.25,0.25,0.22
0.6,0.6,0.6,0.6,42200,2020-05-15 01:00:00.000000,2020-05-15,EXPCW,0.6,0.7,0.7,0.71,0.0,0.17,0.17,0.18
0.6,0.6,0.6,0.6,69676,2020-05-19 01:00:00.000000,2020-05-19,EXPCW,0.75,0.75,0.73,0.73,0.25,0.25,0.22,0.22
0.75,0.75,0.75,0.75,114,2020-06-02 01:00:00.000000,2020-06-02,EXPCW,0.7,0.7,0.71,0.71,-0.07,-0.07,-0.05,-0.05
0.7,0.7,0.7,0.7,153,2020-06-03 01:00:00.000000,2020-06-03,EXPCW,0.75,0.73,0.73,0.7,0.07,0.04,0.04,0.0
0.75,0.75,0.75,0.75,1129,2020-06-05 01:00:00.000000,2020-06-05,EXPCW,0.7,0.71,0.71,0.74,-0.07,-0.05,-0.05,-0.02
0.73,0.73,0.7,0.7,733,2020-06-08 01:00:00.000000,2020-06-08,EXPCW,0.73,0.73,0.7,0.75,-0.0,0.0,-0.04,0.03
0.73,0.73,0.73,0.73,1017,2020-06-09 01:00:00.000000,2020-06-09,EXPCW,0.71,0.71,0.74,0.9,-0.03,-0.03,0.01,0.23
0.73,0.73,0.71,0.71,15505,2020-06-10 01:00:00.000000,2020-06-10,EXPCW,0.73,0.7,0.75,0.9,0.0,-0.04,0.03,0.23
0.73,0.73,0.73,0.73,6737,2020-06-11 01:00:00.000000,2020-06-11,EXPCW,0.71,0.74,0.9,0.85,-0.03,0.01,0.23,0.17
0.73,0.73,0.71,0.71,31804,2020-06-15 01:00:00.000000,2020-06-15,EXPCW,0.7,0.75,0.9,0.9,-0.04,0.03,0.23,0.23
0.73,0.73,0.7,0.7,27810,2020-06-16 01:00:00.000000,2020-06-16,EXPCW,0.74,0.9,0.85,0.9,0.01,0.23,0.17,0.23
0.73,0.75,0.73,0.74,2005,2020-06-17 01:00:00.000000,2020-06-17,EXPCW,0.75,0.9,0.9,0.9,0.03,0.24,0.24,0.24
0.75,0.75,0.74,0.75,24391,2020-06-19 01:00:00.000000,2020-06-19,EXPCW,0.9,0.85,0.9,0.98,0.2,0.14,0.2,0.31
0.75,0.9,0.75,0.9,12254,2020-06-22 01:00:00.000000,2020-06-22,EXPCW,0.9,0.9,0.9,1.25,0.2,0.2,0.2,0.67
0.9,0.9,0.9,0.9,5519,2020-06-23 01:00:00.000000,2020-06-23,EXPCW,0.85,0.9,0.98,1.17,-0.05,-0.0,0.09,0.3
0.86,0.86,0.85,0.85,2570,2020-06-25 01:00:00.000000,2020-06-25,EXPCW,0.9,0.9,1.25,0.9,0.04,0.04,0.45,0.04
0.9,0.9,0.9,0.9,112,2020-06-26 01:00:00.000000,2020-06-26,EXPCW,0.9,0.98,1.17,0.93,-0.0,0.09,0.3,0.03
0.9,0.9,0.9,0.9,8400,2020-06-29 01:00:00.000000,2020-06-29,EXPCW,0.9,1.25,0.9,1.0,0.0,0.39,0.0,0.11
0.9,0.9,0.9,0.9,7461,2020-06-30 01:00:00.000000,2020-06-30,EXPCW,0.98,1.17,0.93,1.24,0.09,0.3,0.03,0.38
1.0,1.0,0.98,0.98,5001,2020-07-01 01:00:00.000000,2020-07-01,EXPCW,1.25,0.9,1.0,1.0,0.25,-0.1,0.0,0.0
1.0,1.25,1.0,1.25,44700,2020-07-06 01:00:00.000000,2020-07-06,EXPCW,1.17,0.93,1.24,1.06,0.17,-0.07,0.24,0.06
1.17,1.17,1.17,1.17,400,2020-07-07 01:00:00.000000,2020-07-07,EXPCW,0.9,1.0,1.0,1.0,-0.23,-0.15,-0.15,-0.15
1.0,1.0,0.9,0.9,17050,2020-07-09 01:00:00.000000,2020-07-09,EXPCW,0.93,1.24,1.06,0.98,-0.07,0.24,0.06,-0.02
0.92,0.93,0.92,0.93,2651,2020-07-10 01:00:00.000000,2020-07-10,EXPCW,1.0,1.0,1.0,0.97,0.09,0.09,0.08,0.05
1.12,1.15,1.0,1.0,1701,2020-07-13 01:00:00.000000,2020-07-13,EXPCW,1.24,1.06,0.98,0.96,0.1,-0.06,-0.13,-0.15
