open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.04,0.1,0.04,0.07,394912,2019-10-31 01:00:00.000000,2019-10-31,FLLCW,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.07,0.07,7700,2019-11-01 01:00:00.000000,2019-11-01,FLLCW,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.07,0.07,0.07,0.07,49000,2019-11-04 01:00:00.000000,2019-11-04,FLLCW,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08,6200,2019-11-06 01:00:00.000000,2019-11-06,FLLCW,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08,24600,2019-11-07 01:00:00.000000,2019-11-07,FLLCW,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08,5000,2019-11-08 01:00:00.000000,2019-11-08,FLLCW,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08,50000,2019-11-12 01:00:00.000000,2019-11-12,FLLCW,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08,27000,2019-11-22 01:00:00.000000,2019-11-22,FLLCW,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.07,0.07,0.07,0.07,5000,2019-12-11 01:00:00.000000,2019-12-11,FLLCW,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.05,0.05,0.05,0.05,0.06
0.07,0.07,0.07,0.07,5400,2019-12-12 01:00:00.000000,2019-12-12,FLLCW,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.05,0.05,0.05,0.05,0.06,0.05
0.08,0.08,0.07,0.08,304828,2019-12-16 01:00:00.000000,2019-12-16,FLLCW,0.08,0.08,0.08,0.08,0.08,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05
0.05,0.05,0.05,0.05,49900,2019-12-23 01:00:00.000000,2019-12-23,FLLCW,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06
0.05,0.05,0.05,0.05,1500,2019-12-24 01:00:00.000000,2019-12-24,FLLCW,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06
