open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.11,0.99,0.11,0.99,4500,2019-12-27 01:00:00.000000,2019-12-27,FSRVW,0.11,0.99,0.99,0.99,0.99,1.25,1.25,1.25,1.25,1.25,1.25,1.09,0.95
0.95,1.25,0.85,1.25,604504,2020-01-03 01:00:00.000000,2020-01-03,FSRVW,2.0,1.25,1.25,1.25,1.25,1.25,1.09,0.95,0.95,0.95,0.85,0.85,0.95
2.0,2.0,1.25,1.25,7302,2020-01-06 01:00:00.000000,2020-01-06,FSRVW,2.0,1.25,1.25,1.25,1.25,1.09,0.95,0.95,0.95,0.85,0.85,0.95,0.9
0.95,1.09,0.95,1.09,30500,2020-01-13 01:00:00.000000,2020-01-13,FSRVW,0.97,0.95,0.95,0.95,0.85,0.85,0.95,0.9,0.9,0.9,0.9,0.88,0.88
0.97,0.97,0.95,0.95,10350,2020-01-14 01:00:00.000000,2020-01-14,FSRVW,0.97,0.95,0.95,0.85,0.85,0.95,0.9,0.9,0.9,0.9,0.88,0.88,1.0
0.85,0.85,0.85,0.85,110,2020-01-17 01:00:00.000000,2020-01-17,FSRVW,0.85,0.85,0.95,0.9,0.9,0.9,0.9,0.88,0.88,1.0,1.0,1.15,1.15
0.9,0.96,0.9,0.95,14850,2020-01-21 01:00:00.000000,2020-01-21,FSRVW,0.88,0.9,0.9,0.9,0.9,0.88,0.88,1.0,1.0,1.15,1.15,1.15,1.15
0.88,0.92,0.88,0.9,275200,2020-01-22 01:00:00.000000,2020-01-22,FSRVW,0.88,0.9,0.9,0.9,0.88,0.88,1.0,1.0,1.15,1.15,1.15,1.15,1.15
0.9,0.9,0.9,0.9,5000,2020-01-24 01:00:00.000000,2020-01-24,FSRVW,0.9,0.9,0.88,0.88,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.15
0.9,0.9,0.9,0.9,250,2020-01-27 01:00:00.000000,2020-01-27,FSRVW,0.88,0.88,0.88,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
0.88,0.88,0.88,0.88,19750,2020-01-28 01:00:00.000000,2020-01-28,FSRVW,0.88,0.88,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
1.0,1.0,1.0,1.0,3200,2020-01-30 01:00:00.000000,2020-01-30,FSRVW,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15,300,2020-02-03 01:00:00.000000,2020-02-03,FSRVW,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.1
1.15,1.15,1.15,1.15,620,2020-02-05 01:00:00.000000,2020-02-05,FSRVW,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.1,1.25,1.3
1.09,1.1,1.09,1.1,400,2020-02-19 01:00:00.000000,2020-02-19,FSRVW,1.3,1.25,1.3,1.3,1.2,1.05,1.05,1.05,1.1,1.1,1.1,1.05,1.1
1.3,1.3,1.25,1.25,1250,2020-02-20 01:00:00.000000,2020-02-20,FSRVW,1.0,1.3,1.3,1.2,1.05,1.05,1.05,1.1,1.1,1.1,1.05,1.1,1.1
1.0,1.3,1.0,1.3,26500,2020-02-21 01:00:00.000000,2020-02-21,FSRVW,1.0,1.3,1.2,1.05,1.05,1.05,1.1,1.1,1.1,1.05,1.1,1.1,1.0
1.14,1.45,1.1,1.2,4100,2020-02-25 01:00:00.000000,2020-02-25,FSRVW,1.05,1.05,1.05,1.05,1.1,1.1,1.1,1.05,1.1,1.1,1.0,0.9,0.9
1.05,1.05,1.04,1.05,15100,2020-02-26 01:00:00.000000,2020-02-26,FSRVW,1.05,1.05,1.05,1.1,1.1,1.1,1.05,1.1,1.1,1.0,0.9,0.9,0.9
1.09,1.1,1.09,1.1,1000,2020-03-02 01:00:00.000000,2020-03-02,FSRVW,1.1,1.1,1.1,1.05,1.1,1.1,1.0,0.9,0.9,0.9,0.9,0.78,0.63
1.1,1.1,1.1,1.1,400,2020-03-03 01:00:00.000000,2020-03-03,FSRVW,0.11,1.1,1.05,1.1,1.1,1.0,0.9,0.9,0.9,0.9,0.78,0.63,0.63
0.11,1.15,0.11,1.1,61600,2020-03-04 01:00:00.000000,2020-03-04,FSRVW,1.0,1.05,1.1,1.1,1.0,0.9,0.9,0.9,0.9,0.78,0.63,0.63,0.75
1.0,1.1,0.95,1.05,14700,2020-03-05 01:00:00.000000,2020-03-05,FSRVW,1.1,1.1,1.1,1.0,0.9,0.9,0.9,0.9,0.78,0.63,0.63,0.75,0.75
