open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.75,9.75,9.75,9.75,200001,2019-12-30 01:00:00.000000,2019-12-30,FSRV,9.81,9.8,9.85,9.82,0.01,0.01,0.01,0.01
9.8,9.81,9.8,9.81,5200,2020-01-03 01:00:00.000000,2020-01-03,FSRV,9.85,9.8,9.88,9.87,0.01,0.0,0.01,0.01
9.78,9.97,9.78,9.85,4965,2020-01-06 01:00:00.000000,2020-01-06,FSRV,9.8,9.85,9.82,9.85,0.0,0.01,0.0,0.01
9.76,9.8,9.76,9.8,200462,2020-01-07 01:00:00.000000,2020-01-07,FSRV,9.8,9.88,9.87,9.94,0.0,0.01,0.01,0.02
9.8,9.8,9.8,9.8,25011,2020-01-08 01:00:00.000000,2020-01-08,FSRV,9.85,9.82,9.85,9.9,0.01,0.0,0.01,0.01
9.86,9.86,9.8,9.85,83625,2020-01-09 01:00:00.000000,2020-01-09,FSRV,9.88,9.87,9.94,9.87,0.0,0.0,0.01,0.0
9.82,10.32,9.8,9.88,29138,2020-01-10 01:00:00.000000,2020-01-10,FSRV,9.82,9.85,9.9,9.89,0.0,0.0,0.01,0.01
9.9,9.93,9.82,9.82,1404,2020-01-13 01:00:00.000000,2020-01-13,FSRV,9.87,9.94,9.87,10.05,-0.0,0.0,-0.0,0.02
9.8,9.87,9.8,9.87,50512,2020-01-14 01:00:00.000000,2020-01-14,FSRV,9.85,9.9,9.89,9.91,0.01,0.01,0.01,0.01
9.85,9.85,9.85,9.85,122,2020-01-16 01:00:00.000000,2020-01-16,FSRV,9.94,9.87,10.05,9.95,0.01,0.0,0.02,0.01
9.85,9.95,9.85,9.94,1502,2020-01-17 01:00:00.000000,2020-01-17,FSRV,9.9,9.89,9.91,9.94,0.01,0.0,0.01,0.01
9.95,9.95,9.9,9.9,1417,2020-01-21 01:00:00.000000,2020-01-21,FSRV,9.87,10.05,9.95,9.94,-0.01,0.01,0.0,-0.0
9.87,9.87,9.87,9.87,49698,2020-01-22 01:00:00.000000,2020-01-22,FSRV,9.89,9.91,9.94,9.92,0.0,0.0,0.01,0.01
9.92,9.92,9.89,9.89,11721,2020-01-24 01:00:00.000000,2020-01-24,FSRV,10.05,9.95,9.94,9.92,0.01,0.0,0.0,0.0
10.36,10.36,9.91,10.05,3165,2020-01-27 01:00:00.000000,2020-01-27,FSRV,9.91,9.94,9.92,9.91,-0.04,-0.04,-0.04,-0.04
