open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.7,9.7,9.64,9.64,1857153,2018-01-17 01:00:00.000000,2018-01-17,GIG,9.64,9.64,9.63,9.63,-0.01,-0.01,-0.01,-0.01
9.7,9.7,9.63,9.64,303170,2018-01-18 01:00:00.000000,2018-01-18,GIG,9.64,9.67,9.63,9.65,-0.01,-0.0,-0.01,-0.01
9.62,9.64,9.62,9.64,804,2018-01-19 01:00:00.000000,2018-01-19,GIG,9.64,9.63,9.63,9.65,0.0,0.0,0.0,0.0
9.63,9.66,9.63,9.64,484011,2018-01-22 01:00:00.000000,2018-01-22,GIG,9.67,9.63,9.65,9.7,0.0,0.0,0.0,0.01
9.62,9.7,9.62,9.67,974732,2018-01-23 01:00:00.000000,2018-01-23,GIG,9.63,9.63,9.65,9.7,0.0,0.0,0.0,0.01
9.7,9.7,9.63,9.63,744,2018-01-24 01:00:00.000000,2018-01-24,GIG,9.63,9.65,9.7,9.7,-0.01,-0.01,-0.0,0.0
9.63,9.63,9.63,9.63,351728,2018-01-25 01:00:00.000000,2018-01-25,GIG,9.63,9.65,9.7,9.7,0.0,0.0,0.01,0.01
9.65,9.65,9.63,9.63,10875,2018-01-26 01:00:00.000000,2018-01-26,GIG,9.65,9.7,9.7,9.72,0.0,0.01,0.01,0.01
9.67,9.67,9.65,9.65,200515,2018-01-29 01:00:00.000000,2018-01-29,GIG,9.65,9.7,9.7,9.81,-0.0,0.0,0.0,0.01
9.69,9.69,9.65,9.65,6632,2018-01-31 01:00:00.000000,2018-01-31,GIG,9.7,9.7,9.72,9.75,0.0,0.0,0.0,0.01
9.7,9.7,9.7,9.7,4425,2018-02-01 01:00:00.000000,2018-02-01,GIG,9.7,9.7,9.81,9.8,0.0,0.0,0.01,0.01
9.62,9.7,9.62,9.7,977430,2018-02-02 01:00:00.000000,2018-02-02,GIG,9.7,9.72,9.75,9.76,0.01,0.01,0.01,0.01
9.7,9.7,9.7,9.7,388526,2018-02-05 01:00:00.000000,2018-02-05,GIG,9.7,9.81,9.8,9.76,0.0,0.01,0.01,0.01
9.7,9.72,9.68,9.7,267180,2018-02-06 01:00:00.000000,2018-02-06,GIG,9.72,9.75,9.76,9.77,0.0,0.01,0.01,0.01
9.7,9.72,9.7,9.72,803,2018-02-07 01:00:00.000000,2018-02-07,GIG,9.81,9.8,9.76,9.6,0.01,0.01,0.01,-0.01
9.72,10.22,9.67,9.81,31310,2018-02-09 01:00:00.000000,2018-02-09,GIG,9.75,9.76,9.77,9.7,0.0,0.0,0.01,-0.0
9.7,9.8,9.62,9.75,11520,2018-02-12 01:00:00.000000,2018-02-12,GIG,9.8,9.76,9.6,9.7,0.01,0.01,-0.01,0.0
9.8,9.8,9.79,9.8,2213,2018-02-16 01:00:00.000000,2018-02-16,GIG,9.76,9.77,9.7,9.7,-0.0,-0.0,-0.01,-0.01
9.72,9.77,9.72,9.76,3200,2018-03-01 01:00:00.000000,2018-03-01,GIG,9.76,9.6,9.7,9.71,0.0,-0.01,-0.0,-0.0
9.8,9.8,9.66,9.76,1450,2018-03-08 01:00:00.000000,2018-03-08,GIG,9.77,9.7,9.7,9.8,-0.0,-0.01,-0.01,0.0
9.77,9.77,9.77,9.77,503,2018-03-09 01:00:00.000000,2018-03-09,GIG,9.6,9.7,9.71,9.75,-0.02,-0.01,-0.01,-0.0
9.6,9.6,9.6,9.6,3672,2018-03-14 01:00:00.000000,2018-03-14,GIG,9.7,9.7,9.8,9.8,0.01,0.01,0.02,0.02
9.7,9.76,9.7,9.7,109892,2018-03-15 01:00:00.000000,2018-03-15,GIG,9.7,9.71,9.75,9.74,0.0,0.0,0.01,0.0
9.7,9.7,9.7,9.7,1904,2018-03-16 01:00:00.000000,2018-03-16,GIG,9.7,9.8,9.8,9.77,0.0,0.01,0.01,0.01
9.7,9.7,9.7,9.7,85536,2018-03-19 01:00:00.000000,2018-03-19,GIG,9.71,9.75,9.74,9.72,0.0,0.01,0.0,0.0
9.75,9.75,9.7,9.71,101664,2018-03-20 01:00:00.000000,2018-03-20,GIG,9.8,9.8,9.77,9.77,0.01,0.01,0.0,0.0
9.7,9.8,9.7,9.8,738,2018-03-21 01:00:00.000000,2018-03-21,GIG,9.75,9.74,9.72,9.78,0.01,0.0,0.0,0.01
9.75,9.75,9.75,9.75,444,2018-03-22 01:00:00.000000,2018-03-22,GIG,9.8,9.77,9.77,9.79,0.01,0.0,0.0,0.0
9.7,9.8,9.7,9.8,1695,2018-03-26 01:00:00.000000,2018-03-26,GIG,9.74,9.72,9.78,9.85,0.0,0.0,0.01,0.02
9.8,9.8,9.74,9.74,1717,2018-03-27 01:00:00.000000,2018-03-27,GIG,9.77,9.77,9.79,9.78,-0.0,-0.0,-0.0,-0.0
9.7,9.77,9.7,9.77,577,2018-03-28 01:00:00.000000,2018-03-28,GIG,9.72,9.78,9.85,9.75,0.0,0.01,0.02,0.01
9.8,9.8,9.72,9.72,8197,2018-04-02 01:00:00.000000,2018-04-02,GIG,9.77,9.79,9.78,9.75,-0.0,-0.0,-0.0,-0.01
9.75,9.8,9.75,9.77,28944,2018-04-03 01:00:00.000000,2018-04-03,GIG,9.78,9.85,9.75,9.76,0.0,0.01,0.0,0.0
9.74,9.78,9.74,9.78,2278,2018-04-04 01:00:00.000000,2018-04-04,GIG,9.79,9.78,9.75,9.73,0.01,0.0,0.0,-0.0
9.72,9.8,9.72,9.79,10046,2018-04-06 01:00:00.000000,2018-04-06,GIG,9.85,9.75,9.76,9.8,0.01,0.0,0.0,0.01
9.8,9.85,9.79,9.85,4292,2018-04-09 01:00:00.000000,2018-04-09,GIG,9.78,9.75,9.73,9.74,-0.0,-0.01,-0.01,-0.01
9.79,9.79,9.78,9.78,760,2018-04-10 01:00:00.000000,2018-04-10,GIG,9.75,9.76,9.8,9.73,-0.0,-0.0,0.0,-0.01
9.75,9.75,9.75,9.75,3525,2018-04-11 01:00:00.000000,2018-04-11,GIG,9.75,9.73,9.74,9.77,0.0,-0.0,-0.0,0.0
9.75,9.75,9.75,9.75,4940,2018-04-12 01:00:00.000000,2018-04-12,GIG,9.76,9.8,9.73,9.73,0.0,0.01,-0.0,-0.0
9.76,9.76,9.76,9.76,100,2018-04-13 01:00:00.000000,2018-04-13,GIG,9.73,9.74,9.77,9.75,-0.0,-0.0,0.0,-0.0
9.73,9.73,9.73,9.73,325000,2018-04-16 01:00:00.000000,2018-04-16,GIG,9.8,9.73,9.73,9.79,0.01,0.0,0.0,0.01
9.8,9.8,9.8,9.8,274,2018-04-18 01:00:00.000000,2018-04-18,GIG,9.74,9.77,9.75,9.8,-0.01,-0.0,-0.01,0.0
