open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
29.49,29.49,29.49,29.47,0,2018-08-07 01:00:00.000000,2018-08-07,GLAC,9.68,9.66,29.49,9.68,9.66,9.66,9.66,9.66,9.66,9.65,9.65,9.65,9.65
9.68,9.68,9.66,9.66,198310,2018-08-08 01:00:00.000000,2018-08-08,GLAC,9.66,29.49,9.68,9.66,9.66,9.66,9.66,9.66,9.65,9.65,9.65,9.65,9.65
9.66,9.67,9.66,29.49,0,2018-08-09 01:00:00.000000,2018-08-09,GLAC,9.66,9.68,9.66,9.66,9.66,9.66,9.66,9.65,9.65,9.65,9.65,9.65,9.65
9.66,9.68,9.66,9.68,85100,2018-08-10 01:00:00.000000,2018-08-10,GLAC,9.68,9.66,9.66,9.66,9.66,9.66,9.65,9.65,9.65,9.65,9.65,9.65,9.65
9.68,9.69,9.65,9.66,268382,2018-08-13 01:00:00.000000,2018-08-13,GLAC,9.67,9.66,9.66,9.66,9.66,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65
9.67,9.68,9.66,9.66,56388,2018-08-14 01:00:00.000000,2018-08-14,GLAC,9.67,9.66,9.66,9.66,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.7
9.65,9.65,9.65,9.65,1000,2018-08-20 01:00:00.000000,2018-08-20,GLAC,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.7,9.65,9.65,9.65,9.65
9.66,9.66,9.65,9.65,30500,2018-08-24 01:00:00.000000,2018-08-24,GLAC,9.65,9.65,9.65,9.65,9.7,9.65,9.65,9.65,9.65,9.7,9.7,9.7,9.7
9.65,9.66,9.65,9.65,16300,2018-08-27 01:00:00.000000,2018-08-27,GLAC,9.65,9.65,9.65,9.7,9.65,9.65,9.65,9.65,9.7,9.7,9.7,9.7,9.7
9.65,9.69,9.63,9.65,14885,2018-08-28 01:00:00.000000,2018-08-28,GLAC,9.65,9.65,9.7,9.65,9.65,9.65,9.65,9.7,9.7,9.7,9.7,9.7,9.68
9.69,9.7,9.69,9.7,10000,2018-08-30 01:00:00.000000,2018-08-30,GLAC,9.7,9.65,9.65,9.65,9.65,9.7,9.7,9.7,9.7,9.7,9.68,9.67,9.67
9.7,9.7,9.65,9.65,1030,2018-08-31 01:00:00.000000,2018-08-31,GLAC,9.7,9.65,9.65,9.65,9.7,9.7,9.7,9.7,9.7,9.68,9.67,9.67,9.67
9.65,9.65,9.65,9.65,169900,2018-09-04 01:00:00.000000,2018-09-04,GLAC,9.65,9.65,9.7,9.7,9.7,9.7,9.7,9.68,9.67,9.67,9.67,9.67,9.67
9.7,9.7,9.7,9.7,203,2018-09-06 01:00:00.000000,2018-09-06,GLAC,9.7,9.7,9.7,9.7,9.7,9.68,9.67,9.67,9.67,9.67,9.67,9.7,9.67
9.7,9.7,9.7,9.7,1175,2018-09-07 01:00:00.000000,2018-09-07,GLAC,9.7,9.7,9.7,9.7,9.68,9.67,9.67,9.67,9.67,9.67,9.7,9.67,9.67
