open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.8,9.8,9.65,9.8,102500,2019-03-25 01:00:00.000000,2019-03-25,GMHI,9.81,9.81,9.81,9.75,9.75,9.83,9.81,9.81,9.79,9.82,9.83,9.83,9.8
9.81,9.81,9.81,9.81,2500,2019-03-26 01:00:00.000000,2019-03-26,GMHI,9.81,9.81,9.75,9.75,9.83,9.81,9.81,9.79,9.82,9.83,9.83,9.8,9.8
9.75,9.75,9.75,9.75,560,2019-03-28 01:00:00.000000,2019-03-28,GMHI,9.75,9.75,9.83,9.81,9.81,9.79,9.82,9.83,9.83,9.8,9.8,9.85,9.85
9.8,9.84,9.8,9.83,548090,2019-04-01 01:00:00.000000,2019-04-01,GMHI,9.81,9.81,9.81,9.79,9.82,9.83,9.83,9.8,9.8,9.85,9.85,9.85,9.83
9.81,9.81,9.81,9.81,188798,2019-04-02 01:00:00.000000,2019-04-02,GMHI,9.81,9.81,9.79,9.82,9.83,9.83,9.8,9.8,9.85,9.85,9.85,9.83,9.82
9.8,9.8,9.79,9.79,1700,2019-04-04 01:00:00.000000,2019-04-04,GMHI,9.82,9.82,9.83,9.83,9.8,9.8,9.85,9.85,9.85,9.83,9.82,9.82,9.8
9.82,9.82,9.82,9.82,1000,2019-04-05 01:00:00.000000,2019-04-05,GMHI,9.83,9.83,9.83,9.8,9.8,9.85,9.85,9.85,9.83,9.82,9.82,9.8,9.85
9.83,9.83,9.83,9.83,1000,2019-04-08 01:00:00.000000,2019-04-08,GMHI,9.83,9.83,9.8,9.8,9.85,9.85,9.85,9.83,9.82,9.82,9.8,9.85,9.8
9.83,9.83,9.83,9.83,100,2019-04-09 01:00:00.000000,2019-04-09,GMHI,9.83,9.8,9.8,9.85,9.85,9.85,9.83,9.82,9.82,9.8,9.85,9.8,9.85
9.83,9.83,9.8,9.8,1400,2019-04-10 01:00:00.000000,2019-04-10,GMHI,9.83,9.8,9.85,9.85,9.85,9.83,9.82,9.82,9.8,9.85,9.8,9.85,9.83
9.85,9.85,9.85,9.85,8432,2019-04-12 01:00:00.000000,2019-04-12,GMHI,9.85,9.85,9.85,9.83,9.82,9.82,9.8,9.85,9.8,9.85,9.83,9.83,9.83
9.8,9.83,9.8,9.83,600,2019-04-17 01:00:00.000000,2019-04-17,GMHI,9.8,9.82,9.82,9.8,9.85,9.8,9.85,9.83,9.83,9.83,9.83,9.9,9.9
9.8,9.82,9.8,9.82,390605,2019-04-18 01:00:00.000000,2019-04-18,GMHI,9.8,9.82,9.8,9.85,9.8,9.85,9.83,9.83,9.83,9.83,9.9,9.9,9.9
9.8,9.8,9.8,9.8,50003,2019-04-22 01:00:00.000000,2019-04-22,GMHI,9.85,9.85,9.8,9.85,9.83,9.83,9.83,9.83,9.9,9.9,9.9,9.9,9.9
9.85,9.85,9.85,9.85,902,2019-04-23 01:00:00.000000,2019-04-23,GMHI,9.8,9.8,9.85,9.83,9.83,9.83,9.83,9.9,9.9,9.9,9.9,9.9,9.9
9.8,9.8,9.8,9.8,100,2019-04-24 01:00:00.000000,2019-04-24,GMHI,9.85,9.85,9.83,9.83,9.83,9.83,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.85,9.85,9.8,9.85,94365,2019-04-25 01:00:00.000000,2019-04-25,GMHI,9.86,9.83,9.83,9.83,9.83,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.86,9.86,9.81,9.83,1111,2019-04-26 01:00:00.000000,2019-04-26,GMHI,9.86,9.83,9.83,9.83,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
9.86,9.9,9.86,9.9,308,2019-05-02 01:00:00.000000,2019-05-02,GMHI,9.85,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.97,9.93
9.85,9.9,9.85,9.9,24980,2019-05-03 01:00:00.000000,2019-05-03,GMHI,9.85,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.97,9.93,9.93
9.97,9.97,9.97,9.97,100,2019-05-17 01:00:00.000000,2019-05-17,GMHI,9.97,9.93,9.93,9.93,9.93,9.93,9.93,9.9,9.9,9.9,9.9,9.95,9.9
9.97,9.97,9.93,9.93,6225,2019-05-20 01:00:00.000000,2019-05-20,GMHI,9.97,9.93,9.93,9.93,9.93,9.93,9.9,9.9,9.9,9.9,9.95,9.9,9.9
9.9,9.9,9.9,9.9,695,2019-05-28 01:00:00.000000,2019-05-28,GMHI,9.9,9.9,9.9,9.9,9.95,9.9,9.9,9.9,9.9,10.0,9.95,9.93,9.93
9.9,9.9,9.9,9.9,25000,2019-05-30 01:00:00.000000,2019-05-30,GMHI,9.9,9.9,9.95,9.9,9.9,9.9,9.9,10.0,9.95,9.93,9.93,9.99,10.0
10.09,10.09,9.95,9.95,206,2019-06-03 01:00:00.000000,2019-06-03,GMHI,9.9,9.9,9.9,9.9,9.9,10.0,9.95,9.93,9.93,9.99,10.0,9.95,10.0
9.9,9.9,9.9,9.9,243677,2019-06-04 01:00:00.000000,2019-06-04,GMHI,9.92,9.9,9.9,9.9,10.0,9.95,9.93,9.93,9.99,10.0,9.95,10.0,10.0
9.92,9.92,9.9,9.9,71012,2019-06-05 01:00:00.000000,2019-06-05,GMHI,9.92,9.9,9.9,10.0,9.95,9.93,9.93,9.99,10.0,9.95,10.0,10.0,10.05
10.1,10.1,10.0,10.0,3010,2019-06-10 01:00:00.000000,2019-06-10,GMHI,9.93,9.95,9.93,9.93,9.99,10.0,9.95,10.0,10.0,10.05,10.28,10.1,10.21
9.93,9.95,9.93,9.95,9500,2019-06-11 01:00:00.000000,2019-06-11,GMHI,9.93,9.93,9.93,9.99,10.0,9.95,10.0,10.0,10.05,10.28,10.1,10.21,10.08
9.93,10.0,9.93,9.93,497989,2019-06-12 01:00:00.000000,2019-06-12,GMHI,9.93,9.93,9.99,10.0,9.95,10.0,10.0,10.05,10.28,10.1,10.21,10.08,10.07
10.0,10.0,9.95,9.99,2416410,2019-06-14 01:00:00.000000,2019-06-14,GMHI,9.95,10.0,9.95,10.0,10.0,10.05,10.28,10.1,10.21,10.08,10.07,10.05,10.07
9.95,10.0,9.95,10.0,500,2019-06-17 01:00:00.000000,2019-06-17,GMHI,10.5,9.95,10.0,10.0,10.05,10.28,10.1,10.21,10.08,10.07,10.05,10.07,10.07
10.5,10.5,9.95,9.95,14610,2019-06-18 01:00:00.000000,2019-06-18,GMHI,10.0,10.0,10.0,10.05,10.28,10.1,10.21,10.08,10.07,10.05,10.07,10.07,10.07
10.0,10.0,10.0,10.0,7100,2019-06-19 01:00:00.000000,2019-06-19,GMHI,10.0,10.0,10.05,10.28,10.1,10.21,10.08,10.07,10.05,10.07,10.07,10.07,10.1
10.0,10.02,10.0,10.0,300350,2019-06-20 01:00:00.000000,2019-06-20,GMHI,10.0,10.05,10.28,10.1,10.21,10.08,10.07,10.05,10.07,10.07,10.07,10.1,10.08
