open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.2,0.2,0.2,0.2,967850,2020-05-13 01:00:00.000000,2020-05-13,GNRSW,0.2,0.2,0.26,0.27,0.0,0.0,0.3,0.35
0.2,0.2,0.2,0.2,50000,2020-05-15 01:00:00.000000,2020-05-15,GNRSW,0.2,0.26,0.25,0.25,0.0,0.31,0.25,0.25
0.2,0.2,0.2,0.2,1000000,2020-05-20 01:00:00.000000,2020-05-20,GNRSW,0.2,0.26,0.27,0.27,0.0,0.3,0.35,0.35
0.2,0.2,0.2,0.2,25000,2020-05-27 01:00:00.000000,2020-05-27,GNRSW,0.26,0.25,0.25,0.28,0.31,0.25,0.25,0.4
0.3,0.3,0.26,0.26,600,2020-05-29 01:00:00.000000,2020-05-29,GNRSW,0.26,0.27,0.27,0.29,-0.13,-0.1,-0.1,-0.04
0.26,0.26,0.26,0.26,100,2020-06-01 01:00:00.000000,2020-06-01,GNRSW,0.25,0.25,0.28,0.38,-0.04,-0.04,0.08,0.45
0.3,0.3,0.25,0.25,9600,2020-06-02 01:00:00.000000,2020-06-02,GNRSW,0.27,0.27,0.29,0.45,-0.1,-0.1,-0.04,0.5
0.27,0.27,0.27,0.27,100,2020-06-03 01:00:00.000000,2020-06-03,GNRSW,0.25,0.28,0.38,0.3,-0.07,0.04,0.4,0.11
0.25,0.25,0.25,0.25,6000,2020-06-04 01:00:00.000000,2020-06-04,GNRSW,0.27,0.29,0.45,0.25,0.08,0.15,0.8,-0.0
0.27,0.27,0.27,0.27,100,2020-06-08 01:00:00.000000,2020-06-08,GNRSW,0.28,0.38,0.3,0.25,0.04,0.4,0.11,-0.07
0.28,0.28,0.28,0.28,1000,2020-06-09 01:00:00.000000,2020-06-09,GNRSW,0.29,0.45,0.25,0.24,0.03,0.61,-0.11,-0.14
0.28,0.35,0.22,0.29,24550,2020-06-10 01:00:00.000000,2020-06-10,GNRSW,0.38,0.3,0.25,0.25,0.35,0.07,-0.11,-0.11
0.3,0.38,0.27,0.38,2000,2020-06-11 01:00:00.000000,2020-06-11,GNRSW,0.45,0.25,0.24,0.24,0.5,-0.17,-0.2,-0.2
0.27,0.45,0.27,0.45,1200,2020-06-15 01:00:00.000000,2020-06-15,GNRSW,0.3,0.25,0.25,0.22,0.11,-0.07,-0.07,-0.18
0.28,0.4,0.28,0.3,8700,2020-06-16 01:00:00.000000,2020-06-16,GNRSW,0.25,0.24,0.24,0.22,-0.11,-0.14,-0.14,-0.21
0.3,0.3,0.22,0.25,107661,2020-06-17 01:00:00.000000,2020-06-17,GNRSW,0.25,0.25,0.22,0.2,-0.17,-0.17,-0.27,-0.33
0.25,0.27,0.23,0.25,24033,2020-06-18 01:00:00.000000,2020-06-18,GNRSW,0.24,0.24,0.22,0.2,-0.04,-0.04,-0.12,-0.2
0.25,0.25,0.24,0.24,54400,2020-06-19 01:00:00.000000,2020-06-19,GNRSW,0.25,0.22,0.2,0.21,0.0,-0.12,-0.2,-0.16
0.25,0.25,0.25,0.25,27600,2020-06-22 01:00:00.000000,2020-06-22,GNRSW,0.24,0.22,0.2,0.2,-0.04,-0.12,-0.2,-0.2
0.25,0.25,0.23,0.24,20300,2020-06-23 01:00:00.000000,2020-06-23,GNRSW,0.22,0.2,0.21,0.25,-0.12,-0.2,-0.16,0.0
0.23,0.24,0.22,0.22,93804,2020-06-24 01:00:00.000000,2020-06-24,GNRSW,0.22,0.2,0.2,0.23,-0.05,-0.13,-0.13,-0.0
0.23,0.23,0.22,0.22,34001,2020-06-25 01:00:00.000000,2020-06-25,GNRSW,0.2,0.21,0.25,0.22,-0.13,-0.09,0.09,-0.06
0.23,0.23,0.2,0.2,131608,2020-06-26 01:00:00.000000,2020-06-26,GNRSW,0.2,0.2,0.23,0.21,-0.13,-0.13,0.0,-0.08
0.25,0.26,0.2,0.2,196200,2020-06-29 01:00:00.000000,2020-06-29,GNRSW,0.21,0.25,0.22,0.28,-0.16,0.0,-0.14,0.12
0.2,0.25,0.2,0.21,341040,2020-06-30 01:00:00.000000,2020-06-30,GNRSW,0.2,0.23,0.21,0.26,-0.01,0.13,0.05,0.28
0.2,0.28,0.2,0.2,200966,2020-07-01 01:00:00.000000,2020-07-01,GNRSW,0.25,0.22,0.28,0.3,0.25,0.08,0.4,0.5
0.2,0.28,0.2,0.25,87250,2020-07-02 01:00:00.000000,2020-07-02,GNRSW,0.23,0.21,0.26,0.32,0.12,0.03,0.27,0.58
0.2,0.25,0.2,0.23,53659,2020-07-06 01:00:00.000000,2020-07-06,GNRSW,0.22,0.28,0.3,0.32,0.08,0.4,0.5,0.6
0.23,0.25,0.21,0.22,54415,2020-07-07 01:00:00.000000,2020-07-07,GNRSW,0.21,0.26,0.32,0.34,-0.08,0.13,0.41,0.48
0.2,0.23,0.2,0.21,20900,2020-07-08 01:00:00.000000,2020-07-08,GNRSW,0.28,0.3,0.32,0.32,0.4,0.5,0.6,0.6
0.24,0.3,0.24,0.28,143310,2020-07-09 01:00:00.000000,2020-07-09,GNRSW,0.26,0.32,0.34,0.32,0.08,0.35,0.42,0.33
0.27,0.33,0.26,0.26,89980,2020-07-10 01:00:00.000000,2020-07-10,GNRSW,0.3,0.32,0.32,0.32,0.09,0.16,0.16,0.18
0.3,0.39,0.27,0.3,50378,2020-07-13 01:00:00.000000,2020-07-13,GNRSW,0.32,0.34,0.32,0.3,0.08,0.13,0.07,-0.01
0.35,0.35,0.32,0.32,5125,2020-07-14 01:00:00.000000,2020-07-14,GNRSW,0.32,0.32,0.32,0.25,-0.09,-0.09,-0.07,-0.27
