open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.6,0.6,0.45,0.48,1463800,2018-10-26 01:00:00.000000,2018-10-26,GRAF.WS,0.51,0.51,0.51,0.5,0.52,0.5,0.5,0.51,0.51,0.52,0.52,0.56,0.55
0.51,0.52,0.5,0.51,46500,2018-10-29 01:00:00.000000,2018-10-29,GRAF.WS,0.5,0.51,0.5,0.52,0.5,0.5,0.51,0.51,0.52,0.52,0.56,0.55,0.55
0.5,0.55,0.5,0.51,724000,2018-10-30 01:00:00.000000,2018-10-30,GRAF.WS,0.5,0.5,0.52,0.5,0.5,0.51,0.51,0.52,0.52,0.56,0.55,0.55,0.55
0.5,0.5,0.5,0.5,777000,2018-10-31 01:00:00.000000,2018-10-31,GRAF.WS,0.55,0.52,0.5,0.5,0.51,0.51,0.52,0.52,0.56,0.55,0.55,0.55,0.55
0.55,0.55,0.52,0.52,300,2018-11-01 01:00:00.000000,2018-11-01,GRAF.WS,0.5,0.5,0.5,0.51,0.51,0.52,0.52,0.56,0.55,0.55,0.55,0.55,0.5
0.5,0.5,0.5,0.5,556,2018-11-02 01:00:00.000000,2018-11-02,GRAF.WS,0.51,0.5,0.51,0.51,0.52,0.52,0.56,0.55,0.55,0.55,0.55,0.5,0.5
0.51,0.51,0.5,0.5,650000,2018-11-05 01:00:00.000000,2018-11-05,GRAF.WS,0.55,0.51,0.51,0.52,0.52,0.56,0.55,0.55,0.55,0.55,0.5,0.5,0.5
0.55,0.55,0.51,0.51,1000,2018-11-06 01:00:00.000000,2018-11-06,GRAF.WS,0.55,0.51,0.52,0.52,0.56,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5
0.55,0.55,0.52,0.52,1000,2018-11-08 01:00:00.000000,2018-11-08,GRAF.WS,0.55,0.52,0.56,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5
0.56,0.56,0.56,0.56,900,2018-11-12 01:00:00.000000,2018-11-12,GRAF.WS,0.5,0.55,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.48
0.5,0.58,0.5,0.55,1200,2018-11-13 01:00:00.000000,2018-11-13,GRAF.WS,0.5,0.55,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.48,0.47
0.52,0.55,0.51,0.55,3000,2018-11-16 01:00:00.000000,2018-11-16,GRAF.WS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.48,0.47,0.47,0.49,0.43
0.5,0.53,0.5,0.5,10700,2018-11-19 01:00:00.000000,2018-11-19,GRAF.WS,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.48,0.47,0.47,0.49,0.43,0.43
0.5,0.5,0.5,0.5,200,2018-11-20 01:00:00.000000,2018-11-20,GRAF.WS,0.5,0.5,0.5,0.5,0.5,0.48,0.48,0.47,0.47,0.49,0.43,0.43,0.42
0.47,0.48,0.47,0.48,3000,2018-11-27 01:00:00.000000,2018-11-27,GRAF.WS,0.47,0.48,0.47,0.47,0.49,0.43,0.43,0.42,0.42,0.44,0.44,0.44,0.44
0.47,0.47,0.47,0.47,700,2018-11-29 01:00:00.000000,2018-11-29,GRAF.WS,0.47,0.47,0.49,0.43,0.43,0.42,0.42,0.44,0.44,0.44,0.44,0.44,0.44
0.49,0.49,0.49,0.49,200,2018-12-03 01:00:00.000000,2018-12-03,GRAF.WS,0.44,0.43,0.43,0.42,0.42,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.45
0.44,0.47,0.42,0.43,46500,2018-12-04 01:00:00.000000,2018-12-04,GRAF.WS,0.44,0.43,0.42,0.42,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.43
0.42,0.42,0.42,0.42,200,2018-12-06 01:00:00.000000,2018-12-06,GRAF.WS,0.44,0.42,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.43,0.44,0.44
0.44,0.44,0.39,0.42,1700,2018-12-07 01:00:00.000000,2018-12-07,GRAF.WS,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.45,0.43,0.44,0.44,0.44
