open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.55,9.55,9.5,9.52,202100,2018-10-26 01:00:00.000000,2018-10-26,GRAF,9.51,9.51,9.51,9.51,9.51,9.51,9.53,9.54,9.54,9.53,9.55,9.55,9.53
9.51,9.51,9.51,9.51,500000,2018-10-29 01:00:00.000000,2018-10-29,GRAF,9.52,9.51,9.51,9.51,9.51,9.53,9.54,9.54,9.53,9.55,9.55,9.53,9.53
9.52,9.54,9.51,9.51,974003,2018-10-30 01:00:00.000000,2018-10-30,GRAF,9.51,9.51,9.51,9.51,9.53,9.54,9.54,9.53,9.55,9.55,9.53,9.53,9.6
9.51,9.51,9.51,9.51,483888,2018-10-31 01:00:00.000000,2018-10-31,GRAF,9.52,9.51,9.51,9.53,9.54,9.54,9.53,9.55,9.55,9.53,9.53,9.6,9.54
9.52,9.52,9.51,9.51,36456,2018-11-01 01:00:00.000000,2018-11-01,GRAF,9.52,9.51,9.53,9.54,9.54,9.53,9.55,9.55,9.53,9.53,9.6,9.54,9.54
9.54,9.54,9.53,9.53,250301,2018-11-05 01:00:00.000000,2018-11-05,GRAF,9.53,9.54,9.54,9.53,9.55,9.55,9.53,9.53,9.6,9.54,9.54,9.53,9.53
9.53,9.54,9.53,9.54,151500,2018-11-06 01:00:00.000000,2018-11-06,GRAF,9.55,9.54,9.53,9.55,9.55,9.53,9.53,9.6,9.54,9.54,9.53,9.53,9.53
9.55,9.55,9.54,9.54,502,2018-11-07 01:00:00.000000,2018-11-07,GRAF,9.55,9.53,9.55,9.55,9.53,9.53,9.6,9.54,9.54,9.53,9.53,9.53,9.53
9.55,9.55,9.53,9.53,381700,2018-11-08 01:00:00.000000,2018-11-08,GRAF,9.55,9.55,9.55,9.53,9.53,9.6,9.54,9.54,9.53,9.53,9.53,9.53,9.55
9.55,9.55,9.53,9.55,48244,2018-11-09 01:00:00.000000,2018-11-09,GRAF,9.55,9.55,9.53,9.53,9.6,9.54,9.54,9.53,9.53,9.53,9.53,9.55,9.55
9.55,9.55,9.55,9.55,110,2018-11-12 01:00:00.000000,2018-11-12,GRAF,9.54,9.53,9.53,9.6,9.54,9.54,9.53,9.53,9.53,9.53,9.55,9.55,9.55
9.54,9.54,9.53,9.53,1500,2018-11-13 01:00:00.000000,2018-11-13,GRAF,9.53,9.53,9.6,9.54,9.54,9.53,9.53,9.53,9.53,9.55,9.55,9.55,9.61
9.53,9.53,9.53,9.53,1663,2018-11-14 01:00:00.000000,2018-11-14,GRAF,9.54,9.6,9.54,9.54,9.53,9.53,9.53,9.53,9.55,9.55,9.55,9.61,9.55
9.54,9.6,9.54,9.6,6518,2018-11-15 01:00:00.000000,2018-11-15,GRAF,9.75,9.54,9.54,9.53,9.53,9.53,9.53,9.55,9.55,9.55,9.61,9.55,9.55
9.75,9.75,9.53,9.54,420388,2018-11-16 01:00:00.000000,2018-11-16,GRAF,9.75,9.54,9.53,9.53,9.53,9.53,9.55,9.55,9.55,9.61,9.55,9.55,9.59
9.55,9.56,9.53,9.53,330000,2018-11-20 01:00:00.000000,2018-11-20,GRAF,9.55,9.53,9.53,9.53,9.55,9.55,9.55,9.61,9.55,9.55,9.59,9.59,9.62
9.53,9.55,9.53,9.55,15141,2018-11-26 01:00:00.000000,2018-11-26,GRAF,9.55,9.55,9.55,9.61,9.55,9.55,9.59,9.59,9.62,9.6,9.64,9.6,9.56
9.55,9.55,9.55,9.55,400,2018-11-27 01:00:00.000000,2018-11-27,GRAF,9.55,9.55,9.61,9.55,9.55,9.59,9.59,9.62,9.6,9.64,9.6,9.56,9.56
9.55,9.55,9.55,9.55,25700,2018-11-28 01:00:00.000000,2018-11-28,GRAF,9.55,9.61,9.55,9.55,9.59,9.59,9.62,9.6,9.64,9.6,9.56,9.56,9.56
9.55,9.61,9.55,9.61,265300,2018-11-29 01:00:00.000000,2018-11-29,GRAF,9.62,9.55,9.55,9.59,9.59,9.62,9.6,9.64,9.6,9.56,9.56,9.56,9.56
9.62,9.62,9.55,9.55,90900,2018-11-30 01:00:00.000000,2018-11-30,GRAF,9.62,9.55,9.59,9.59,9.62,9.6,9.64,9.6,9.56,9.56,9.56,9.56,9.56
9.6,9.6,9.59,9.59,40866,2018-12-04 01:00:00.000000,2018-12-04,GRAF,9.6,9.59,9.62,9.6,9.64,9.6,9.56,9.56,9.56,9.56,9.56,9.57,9.59
9.62,9.66,9.58,9.62,5040,2018-12-06 01:00:00.000000,2018-12-06,GRAF,9.61,9.6,9.64,9.6,9.56,9.56,9.56,9.56,9.56,9.57,9.59,9.59,9.58
9.61,9.61,9.6,9.6,700,2018-12-07 01:00:00.000000,2018-12-07,GRAF,9.64,9.64,9.6,9.56,9.56,9.56,9.56,9.56,9.57,9.59,9.59,9.58,9.58
9.64,9.64,9.64,9.64,8300,2018-12-10 01:00:00.000000,2018-12-10,GRAF,9.64,9.6,9.56,9.56,9.56,9.56,9.56,9.57,9.59,9.59,9.58,9.58,9.58
9.64,9.64,9.6,9.6,1100,2018-12-11 01:00:00.000000,2018-12-11,GRAF,9.59,9.56,9.56,9.56,9.56,9.56,9.57,9.59,9.59,9.58,9.58,9.58,9.58
9.59,9.59,9.56,9.56,800,2018-12-12 01:00:00.000000,2018-12-12,GRAF,9.59,9.56,9.56,9.56,9.56,9.57,9.59,9.59,9.58,9.58,9.58,9.58,9.58
