open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.95,10.05,9.95,10.0,1565101,2020-01-28 01:00:00.000000,2020-01-28,HCCO,10.05,10.01,10.05,10.04,0.01,0.01,0.01,0.01
10.05,10.05,10.05,10.05,1000,2020-01-29 01:00:00.000000,2020-01-29,HCCO,10.0,10.09,10.06,10.0,-0.0,0.0,0.0,-0.0
10.0,10.0,10.0,10.0,402,2020-02-03 01:00:00.000000,2020-02-03,HCCO,10.01,10.05,10.04,10.05,0.0,0.01,0.0,0.01
10.01,10.01,10.01,10.01,200001,2020-02-06 01:00:00.000000,2020-02-06,HCCO,10.09,10.06,10.0,10.05,0.01,0.0,-0.0,0.0
10.09,10.09,10.09,10.09,400,2020-02-07 01:00:00.000000,2020-02-07,HCCO,10.05,10.04,10.05,10.0,-0.0,-0.0,-0.0,-0.01
10.12,10.12,10.05,10.05,300,2020-02-11 01:00:00.000000,2020-02-11,HCCO,10.06,10.0,10.05,10.0,-0.01,-0.01,-0.01,-0.01
10.06,10.06,10.06,10.06,20000,2020-02-19 01:00:00.000000,2020-02-19,HCCO,10.04,10.05,10.0,9.97,-0.0,-0.0,-0.01,-0.01
10.04,10.04,10.04,10.04,100,2020-02-26 01:00:00.000000,2020-02-26,HCCO,10.0,10.05,10.0,9.94,-0.0,0.0,-0.0,-0.01
10.0,10.0,10.0,10.0,80300,2020-02-28 01:00:00.000000,2020-02-28,HCCO,10.05,10.0,9.97,9.65,0.01,0.0,-0.0,-0.03
10.04,10.05,10.04,10.05,30999,2020-03-03 01:00:00.000000,2020-03-03,HCCO,10.05,10.0,9.94,9.37,0.0,-0.0,-0.01,-0.07
10.05,10.05,10.05,10.05,206805,2020-03-04 01:00:00.000000,2020-03-04,HCCO,10.0,9.97,9.65,9.5,-0.0,-0.01,-0.04,-0.05
10.02,10.02,10.0,10.0,27517,2020-03-05 01:00:00.000000,2020-03-05,HCCO,10.0,9.94,9.37,9.3,-0.0,-0.01,-0.06,-0.07
10.0,10.0,10.0,10.0,105,2020-03-10 01:00:00.000000,2020-03-10,HCCO,9.97,9.65,9.5,9.59,-0.0,-0.03,-0.05,-0.04
9.97,9.97,9.97,9.97,100,2020-03-11 01:00:00.000000,2020-03-11,HCCO,9.94,9.37,9.3,9.6,-0.0,-0.06,-0.07,-0.04
9.94,9.94,9.94,9.94,100,2020-03-12 01:00:00.000000,2020-03-12,HCCO,9.65,9.5,9.59,9.85,-0.03,-0.04,-0.04,-0.01
9.75,9.75,9.65,9.65,15107,2020-03-16 01:00:00.000000,2020-03-16,HCCO,9.37,9.3,9.6,9.8,-0.04,-0.05,-0.02,0.01
9.5,9.5,9.2,9.37,870802,2020-03-18 01:00:00.000000,2020-03-18,HCCO,9.5,9.59,9.85,9.85,0.0,0.01,0.04,0.04
9.46,9.5,9.4,9.5,6512,2020-03-19 01:00:00.000000,2020-03-19,HCCO,9.3,9.6,9.8,9.85,-0.02,0.01,0.04,0.04
9.4,9.4,9.3,9.3,2085025,2020-03-20 01:00:00.000000,2020-03-20,HCCO,9.59,9.85,9.85,9.72,0.02,0.05,0.05,0.03
9.35,9.75,9.35,9.59,403422,2020-03-25 01:00:00.000000,2020-03-25,HCCO,9.6,9.8,9.85,9.8,0.03,0.05,0.05,0.05
9.6,9.6,9.6,9.6,25216,2020-03-26 01:00:00.000000,2020-03-26,HCCO,9.85,9.85,9.72,9.8,0.03,0.03,0.01,0.02
9.5,9.85,9.5,9.85,287,2020-03-27 01:00:00.000000,2020-03-27,HCCO,9.8,9.85,9.8,9.8,0.03,0.04,0.03,0.03
9.65,9.8,9.65,9.8,30623,2020-03-30 01:00:00.000000,2020-03-30,HCCO,9.85,9.72,9.8,9.8,0.02,0.01,0.02,0.02
9.8,10.05,9.8,9.85,111882,2020-04-02 01:00:00.000000,2020-04-02,HCCO,9.85,9.8,9.8,9.75,0.01,0.0,0.0,-0.01
9.85,9.85,9.85,9.85,23026,2020-04-06 01:00:00.000000,2020-04-06,HCCO,9.72,9.8,9.8,9.76,-0.01,-0.01,-0.01,-0.01
9.72,9.72,9.72,9.72,119544,2020-04-09 01:00:00.000000,2020-04-09,HCCO,9.8,9.8,9.75,9.8,0.01,0.01,0.0,0.01
9.8,9.8,9.8,9.8,195000,2020-04-14 01:00:00.000000,2020-04-14,HCCO,9.8,9.8,9.76,9.82,0.0,0.0,-0.0,0.0
9.84,10.2,9.8,9.8,50418,2020-04-16 01:00:00.000000,2020-04-16,HCCO,9.8,9.75,9.8,9.9,-0.0,-0.01,-0.0,0.01
9.8,10.24,9.8,9.8,45440,2020-04-20 01:00:00.000000,2020-04-20,HCCO,9.8,9.76,9.82,9.81,0.0,-0.0,0.0,0.0
9.81,9.81,9.8,9.8,2301,2020-04-21 01:00:00.000000,2020-04-21,HCCO,9.75,9.8,9.9,9.8,-0.01,-0.0,0.01,-0.0
9.75,9.75,9.75,9.75,43289,2020-04-27 01:00:00.000000,2020-04-27,HCCO,9.76,9.82,9.81,9.8,0.0,0.01,0.01,0.01
9.76,9.76,9.76,9.76,16979,2020-05-01 01:00:00.000000,2020-05-01,HCCO,9.8,9.9,9.8,9.76,0.0,0.01,0.0,0.0
9.8,9.8,9.8,9.8,54001,2020-05-04 01:00:00.000000,2020-05-04,HCCO,9.82,9.81,9.8,9.8,0.0,0.0,0.0,0.0
9.8,9.82,9.8,9.82,18592,2020-05-08 01:00:00.000000,2020-05-08,HCCO,9.9,9.8,9.76,9.8,0.01,0.0,-0.0,0.0
9.8,9.9,9.8,9.9,11582,2020-05-11 01:00:00.000000,2020-05-11,HCCO,9.81,9.8,9.8,9.9,0.0,0.0,0.0,0.01
9.8,9.81,9.8,9.81,61251,2020-05-14 01:00:00.000000,2020-05-14,HCCO,9.8,9.76,9.8,9.9,0.0,-0.0,0.0,0.01
9.8,9.8,9.8,9.8,150000,2020-05-15 01:00:00.000000,2020-05-15,HCCO,9.8,9.8,9.9,9.9,0.0,0.0,0.01,0.01
9.8,9.8,9.8,9.8,50461,2020-05-18 01:00:00.000000,2020-05-18,HCCO,9.76,9.8,9.9,9.9,-0.0,0.0,0.01,0.01
9.75,9.76,9.75,9.76,370020,2020-05-22 01:00:00.000000,2020-05-22,HCCO,9.8,9.9,9.9,9.9,0.01,0.02,0.02,0.02
9.8,9.8,9.8,9.8,151,2020-05-26 01:00:00.000000,2020-05-26,HCCO,9.8,9.9,9.9,9.97,0.0,0.01,0.01,0.02
9.8,9.8,9.8,9.8,500000,2020-05-27 01:00:00.000000,2020-05-27,HCCO,9.9,9.9,9.9,9.97,0.01,0.01,0.01,0.02
9.8,9.9,9.8,9.9,34331,2020-05-29 01:00:00.000000,2020-05-29,HCCO,9.9,9.9,9.97,9.97,0.01,0.01,0.02,0.02
9.85,9.9,9.85,9.9,50343,2020-06-01 01:00:00.000000,2020-06-01,HCCO,9.9,9.9,9.97,9.86,0.01,0.01,0.01,0.0
9.82,9.9,9.82,9.9,856,2020-06-02 01:00:00.000000,2020-06-02,HCCO,9.9,9.97,9.97,10.0,0.01,0.02,0.02,0.02
9.9,9.95,9.85,9.9,647457,2020-06-04 01:00:00.000000,2020-06-04,HCCO,9.9,9.97,9.86,9.97,0.0,0.01,-0.0,0.01
9.9,9.9,9.9,9.9,2535,2020-06-05 01:00:00.000000,2020-06-05,HCCO,9.97,9.97,10.0,9.97,0.01,0.01,0.01,0.01
9.96,9.97,9.96,9.97,466,2020-06-08 01:00:00.000000,2020-06-08,HCCO,9.97,9.86,9.97,9.98,0.0,-0.01,0.0,0.0
9.95,9.97,9.9,9.97,479845,2020-06-10 01:00:00.000000,2020-06-10,HCCO,9.97,10.0,9.97,10.0,0.0,0.01,0.0,0.01
9.97,10.0,9.97,9.97,306032,2020-06-11 01:00:00.000000,2020-06-11,HCCO,9.86,9.97,9.98,10.03,-0.01,0.0,0.0,0.01
9.86,9.86,9.86,9.86,240,2020-06-12 01:00:00.000000,2020-06-12,HCCO,10.0,9.97,10.0,10.05,0.01,0.01,0.01,0.02
9.9,10.01,9.9,10.0,2388,2020-06-15 01:00:00.000000,2020-06-15,HCCO,9.97,9.98,10.03,10.05,0.01,0.01,0.01,0.02
10.03,10.03,9.97,9.97,612,2020-06-16 01:00:00.000000,2020-06-16,HCCO,9.97,10.0,10.05,10.14,-0.01,-0.0,0.0,0.01
10.2,10.23,9.97,9.97,5022,2020-06-17 01:00:00.000000,2020-06-17,HCCO,9.98,10.03,10.05,10.02,-0.02,-0.02,-0.01,-0.02
10.21,10.23,9.97,9.98,18063,2020-06-18 01:00:00.000000,2020-06-18,HCCO,10.0,10.05,10.14,10.0,-0.02,-0.02,-0.01,-0.02
9.99,10.0,9.85,10.0,733811,2020-06-22 01:00:00.000000,2020-06-22,HCCO,10.03,10.05,10.02,10.0,0.0,0.01,0.0,0.0
10.01,10.05,10.0,10.03,27910,2020-06-23 01:00:00.000000,2020-06-23,HCCO,10.05,10.14,10.0,10.1,0.0,0.01,-0.0,0.01
10.06,10.06,10.05,10.05,10837,2020-06-24 01:00:00.000000,2020-06-24,HCCO,10.05,10.02,10.0,10.02,-0.0,-0.0,-0.01,-0.0
