open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.2,1.3,1.0,1.01,157505,2020-07-30 01:00:00.000000,2020-07-30,HECCW,1.15,0.95,0.9,0.9,0.9,0.86,0.85,0.88,0.97,0.85,0.85,0.84,0.75
1.15,1.15,0.95,0.95,7436,2020-07-31 01:00:00.000000,2020-07-31,HECCW,0.9,0.9,0.9,0.9,0.86,0.85,0.88,0.97,0.85,0.85,0.84,0.75,0.75
0.9,0.94,0.65,0.9,25371,2020-08-03 01:00:00.000000,2020-08-03,HECCW,0.95,0.9,0.9,0.86,0.85,0.88,0.97,0.85,0.85,0.84,0.75,0.75,0.7
0.95,0.95,0.85,0.9,32673,2020-08-04 01:00:00.000000,2020-08-04,HECCW,0.86,0.9,0.86,0.85,0.88,0.97,0.85,0.85,0.84,0.75,0.75,0.7,0.7
0.86,0.9,0.86,0.9,6216,2020-08-05 01:00:00.000000,2020-08-05,HECCW,0.9,0.86,0.85,0.88,0.97,0.85,0.85,0.84,0.75,0.75,0.7,0.7,0.7
0.9,0.9,0.86,0.86,486,2020-08-06 01:00:00.000000,2020-08-06,HECCW,0.85,0.85,0.88,0.97,0.85,0.85,0.84,0.75,0.75,0.7,0.7,0.7,0.7
0.85,0.85,0.85,0.85,105380,2020-08-07 01:00:00.000000,2020-08-07,HECCW,0.86,0.88,0.97,0.85,0.85,0.84,0.75,0.75,0.7,0.7,0.7,0.7,0.7
0.86,0.9,0.8,0.88,43897,2020-08-10 01:00:00.000000,2020-08-10,HECCW,0.82,0.97,0.85,0.85,0.84,0.75,0.75,0.7,0.7,0.7,0.7,0.7,
0.82,0.97,0.82,0.97,628,2020-08-11 01:00:00.000000,2020-08-11,HECCW,0.85,0.85,0.85,0.84,0.75,0.75,0.7,0.7,0.7,0.7,0.7,,
0.85,0.85,0.85,0.85,3573,2020-08-12 01:00:00.000000,2020-08-12,HECCW,0.85,0.85,0.84,0.75,0.75,0.7,0.7,0.7,0.7,0.7,,,
0.84,0.84,0.84,0.84,189,2020-08-14 01:00:00.000000,2020-08-14,HECCW,0.81,0.75,0.75,0.7,0.7,0.7,0.7,0.7,,,,,
0.81,0.81,0.7,0.75,8003,2020-08-17 01:00:00.000000,2020-08-17,HECCW,0.75,0.75,0.7,0.7,0.7,0.7,0.7,,,,,,
0.75,0.75,0.7,0.75,5606,2020-08-18 01:00:00.000000,2020-08-18,HECCW,0.75,0.7,0.7,0.7,0.7,0.7,,,,,,,
0.75,0.76,0.6,0.7,251998,2020-08-19 01:00:00.000000,2020-08-19,HECCW,0.7,0.7,0.7,0.7,0.7,,,,,,,,
0.7,0.74,0.69,0.7,90275,2020-08-20 01:00:00.000000,2020-08-20,HECCW,0.7,0.7,0.7,0.7,,,,,,,,,
0.7,0.72,0.67,0.7,278517,2020-08-21 01:00:00.000000,2020-08-21,HECCW,0.7,0.7,0.7,,,,,,,,,,
0.7,0.75,0.68,0.7,140569,2020-08-24 01:00:00.000000,2020-08-24,HECCW,0.75,0.7,,,,,,,,,,,
0.75,0.75,0.68,0.7,57800,2020-08-25 01:00:00.000000,2020-08-25,HECCW,,,,,,,,,,,,,
