open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
6.83,6.83,6.82,6.82,1031887,2018-03-12 01:00:00.000000,2018-03-12,HOFV,6.82,6.82,6.83,6.83,6.83,6.83,6.87,6.87,6.87,6.87,6.83,6.83,6.83
6.82,6.82,6.82,6.82,994933,2018-03-13 01:00:00.000000,2018-03-13,HOFV,6.83,6.83,6.83,6.83,6.83,6.87,6.87,6.87,6.87,6.83,6.83,6.83,6.83
6.83,6.83,6.82,6.83,122234,2018-03-14 01:00:00.000000,2018-03-14,HOFV,6.83,6.83,6.83,6.83,6.87,6.87,6.87,6.87,6.83,6.83,6.83,6.83,6.83
6.83,6.83,6.83,6.83,61330,2018-03-15 01:00:00.000000,2018-03-15,HOFV,6.83,6.83,6.83,6.87,6.87,6.87,6.87,6.83,6.83,6.83,6.83,6.83,6.83
6.87,6.87,6.87,6.87,2842,2018-03-20 01:00:00.000000,2018-03-20,HOFV,6.87,6.87,6.87,6.87,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83
6.87,6.87,6.87,6.87,7106,2018-03-21 01:00:00.000000,2018-03-21,HOFV,6.87,6.87,6.87,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83
6.85,6.85,6.83,6.83,177666,2018-03-26 01:00:00.000000,2018-03-26,HOFV,6.85,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.84
6.84,6.84,6.84,6.84,142,2018-04-11 01:00:00.000000,2018-04-11,HOFV,6.84,6.84,6.84,6.84,6.84,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83
6.84,6.84,6.84,6.84,1580,2018-04-12 01:00:00.000000,2018-04-12,HOFV,6.84,6.84,6.84,6.84,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83
6.84,6.84,6.83,6.83,852,2018-04-18 01:00:00.000000,2018-04-18,HOFV,6.84,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.82
6.83,6.83,6.82,6.82,58860,2018-05-04 01:00:00.000000,2018-05-04,HOFV,6.83,6.82,6.82,6.82,6.83,6.83,6.83,6.84,6.85,6.83,6.83,6.83,6.84
6.83,6.83,6.83,6.83,1421,2018-05-10 01:00:00.000000,2018-05-10,HOFV,6.84,6.83,6.83,6.84,6.85,6.83,6.83,6.83,6.84,6.84,6.84,6.84,6.84
6.84,6.84,6.83,6.83,3837,2018-05-11 01:00:00.000000,2018-05-11,HOFV,6.84,6.83,6.84,6.85,6.83,6.83,6.83,6.84,6.84,6.84,6.84,6.84,6.84
6.84,6.84,6.83,6.84,1011,2018-05-15 01:00:00.000000,2018-05-15,HOFV,6.85,6.85,6.83,6.83,6.83,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84
6.85,6.85,6.85,6.85,97030,2018-05-16 01:00:00.000000,2018-05-16,HOFV,6.84,6.83,6.83,6.83,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.85
6.84,6.84,6.83,6.83,8937,2018-05-17 01:00:00.000000,2018-05-17,HOFV,6.84,6.83,6.83,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.85,6.85
6.84,6.84,6.83,6.83,2842,2018-05-21 01:00:00.000000,2018-05-21,HOFV,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.85,6.85,6.84,6.84
6.84,6.84,6.84,6.84,142,2018-05-22 01:00:00.000000,2018-05-22,HOFV,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.85,6.85,6.84,6.84,6.84
6.84,6.84,6.84,6.84,142,2018-05-23 01:00:00.000000,2018-05-23,HOFV,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.85,6.85,6.84,6.84,6.84,6.84
6.84,6.84,6.84,6.84,1421,2018-05-24 01:00:00.000000,2018-05-24,HOFV,6.84,6.84,6.84,6.84,6.84,6.84,6.85,6.85,6.84,6.84,6.84,6.84,6.84
6.86,6.86,6.84,6.84,3126,2018-05-31 01:00:00.000000,2018-05-31,HOFV,6.86,6.85,6.85,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84
6.86,6.86,6.84,6.85,8563,2018-06-01 01:00:00.000000,2018-06-01,HOFV,6.86,6.85,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84
6.85,6.85,6.84,6.84,19187,2018-06-05 01:00:00.000000,2018-06-05,HOFV,6.85,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84
