open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.0,1.0,1.0,1.0,500,2019-06-26 01:00:00.000000,2019-06-26,HSACW,1.0,1.0,1.0,1.0,1.0,0.96,0.96,0.94,0.9,0.99,0.99,0.99,0.99
1.0,1.0,0.98,1.0,25000,2019-07-02 01:00:00.000000,2019-07-02,HSACW,0.96,0.96,0.96,0.94,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94
0.96,0.96,0.96,0.96,900,2019-07-03 01:00:00.000000,2019-07-03,HSACW,0.96,0.96,0.94,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.94
0.94,0.94,0.94,0.94,100,2019-07-05 01:00:00.000000,2019-07-05,HSACW,1.0,0.9,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.94,0.9,0.9
1.0,1.0,0.9,0.9,3900,2019-07-08 01:00:00.000000,2019-07-08,HSACW,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.94,0.9,0.9,0.9
0.99,0.99,0.99,0.99,1000,2019-07-09 01:00:00.000000,2019-07-09,HSACW,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.94,0.9,0.9,0.9,0.9
0.99,0.99,0.99,0.99,60000,2019-07-17 01:00:00.000000,2019-07-17,HSACW,0.94,0.94,0.94,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.94,0.94,0.94,0.94,28500,2019-07-18 01:00:00.000000,2019-07-18,HSACW,0.94,0.94,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9,3200,2019-07-22 01:00:00.000000,2019-07-22,HSACW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.9,1100,2019-07-24 01:00:00.000000,2019-07-24,HSACW,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.9,0.9,0.8,0.8,9800,2019-09-12 01:00:00.000000,2019-09-12,HSACW,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.84,0.84,0.84,0.84
0.84,0.84,0.84,0.84,200,2019-09-24 01:00:00.000000,2019-09-24,HSACW,0.84,0.84,0.84,0.84,0.84,0.84,1.15,1.06,1.1,1.05,1.05,1.0,1.04
0.84,0.84,0.84,0.84,200,2019-09-27 01:00:00.000000,2019-09-27,HSACW,0.84,0.84,0.84,1.15,1.06,1.1,1.05,1.05,1.0,1.04,1.05,1.05,1.05
0.84,0.84,0.84,0.84,29380,2019-09-30 01:00:00.000000,2019-09-30,HSACW,0.84,0.84,1.15,1.06,1.1,1.05,1.05,1.0,1.04,1.05,1.05,1.05,1.05
0.84,0.84,0.84,0.84,200,2019-10-01 01:00:00.000000,2019-10-01,HSACW,1.3,1.15,1.06,1.1,1.05,1.05,1.0,1.04,1.05,1.05,1.05,1.05,1.05
