open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.95,9.95,9.95,9.95,250000,2019-06-21 01:00:00.000000,2019-06-21,HSAC,9.95,9.95,9.95,9.8,9.8,9.8,9.8,9.8,9.79,9.79,9.78,9.78,9.78
9.8,9.8,9.8,9.8,500,2019-06-26 01:00:00.000000,2019-06-26,HSAC,9.8,9.8,9.8,9.8,9.8,9.79,9.79,9.78,9.78,9.78,9.78,9.78,9.6
9.79,9.79,9.79,9.79,200,2019-07-03 01:00:00.000000,2019-07-03,HSAC,9.79,9.79,9.78,9.78,9.78,9.78,9.78,9.6,9.6,9.6,9.6,9.78,9.77
9.78,9.78,9.78,9.78,800,2019-07-05 01:00:00.000000,2019-07-05,HSAC,9.78,9.78,9.78,9.78,9.78,9.6,9.6,9.6,9.6,9.78,9.77,9.81,9.81
9.78,9.78,9.78,9.78,500,2019-07-08 01:00:00.000000,2019-07-08,HSAC,9.78,9.78,9.78,9.78,9.6,9.6,9.6,9.6,9.78,9.77,9.81,9.81,9.81
9.59,9.74,9.57,9.6,10000,2019-07-12 01:00:00.000000,2019-07-12,HSAC,9.59,9.6,9.6,9.6,9.78,9.77,9.81,9.81,9.81,9.81,9.8,9.8,9.8
9.9,9.9,9.78,9.78,2300,2019-07-18 01:00:00.000000,2019-07-18,HSAC,9.77,9.77,9.81,9.81,9.81,9.81,9.8,9.8,9.8,9.79,9.79,9.8,9.8
9.77,9.77,9.77,9.77,200,2019-07-19 01:00:00.000000,2019-07-19,HSAC,9.8,9.81,9.81,9.81,9.81,9.8,9.8,9.8,9.79,9.79,9.8,9.8,9.8
9.8,9.81,9.8,9.81,1500,2019-07-22 01:00:00.000000,2019-07-22,HSAC,9.8,9.81,9.81,9.81,9.8,9.8,9.8,9.79,9.79,9.8,9.8,9.8,9.8
9.81,9.81,9.8,9.8,2800,2019-07-26 01:00:00.000000,2019-07-26,HSAC,9.81,9.8,9.8,9.79,9.79,9.8,9.8,9.8,9.8,9.8,9.84,9.84,9.84
9.82,9.82,9.79,9.79,200,2019-07-31 01:00:00.000000,2019-07-31,HSAC,9.82,9.79,9.8,9.8,9.8,9.8,9.8,9.84,9.84,9.84,9.84,9.84,9.84
10.1,10.25,9.8,9.8,736,2019-08-02 01:00:00.000000,2019-08-02,HSAC,10.1,9.8,9.8,9.8,9.8,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84
9.84,9.84,9.84,9.84,110,2019-08-09 01:00:00.000000,2019-08-09,HSAC,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.87
9.84,9.87,9.84,9.87,23500,2019-08-27 01:00:00.000000,2019-08-27,HSAC,9.87,9.88,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.91,9.9,9.9,9.9
9.87,9.88,9.87,9.88,7900,2019-08-28 01:00:00.000000,2019-08-28,HSAC,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.91,9.9,9.9,9.9,9.92
9.9,9.9,9.9,9.9,15200,2019-08-29 01:00:00.000000,2019-08-29,HSAC,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.91,9.9,9.9,9.9,9.92,9.75
9.9,9.9,9.9,9.9,10000,2019-08-30 01:00:00.000000,2019-08-30,HSAC,9.9,9.9,9.9,9.9,9.9,9.9,9.91,9.9,9.9,9.9,9.92,9.75,9.9
9.75,9.91,9.75,9.91,1690,2019-09-09 01:00:00.000000,2019-09-09,HSAC,9.9,9.9,9.9,9.9,9.92,9.75,9.9,9.95,9.97,9.98,10.0,9.95,9.96
9.9,9.9,9.9,9.9,400,2019-09-10 01:00:00.000000,2019-09-10,HSAC,9.9,9.9,9.9,9.92,9.75,9.9,9.95,9.97,9.98,10.0,9.95,9.96,10.02
9.9,9.9,9.9,9.9,300,2019-09-11 01:00:00.000000,2019-09-11,HSAC,9.9,9.9,9.92,9.75,9.9,9.95,9.97,9.98,10.0,9.95,9.96,10.02,10.02
9.9,9.9,9.9,9.9,38780,2019-09-12 01:00:00.000000,2019-09-12,HSAC,9.92,9.92,9.75,9.9,9.95,9.97,9.98,10.0,9.95,9.96,10.02,10.02,10.02
9.92,9.92,9.92,9.92,690,2019-09-13 01:00:00.000000,2019-09-13,HSAC,9.75,9.75,9.9,9.95,9.97,9.98,10.0,9.95,9.96,10.02,10.02,10.02,10.02
9.75,9.75,9.75,9.75,586,2019-09-16 01:00:00.000000,2019-09-16,HSAC,9.9,9.9,9.95,9.97,9.98,10.0,9.95,9.96,10.02,10.02,10.02,10.02,10.15
9.9,9.9,9.9,9.9,498,2019-09-17 01:00:00.000000,2019-09-17,HSAC,9.94,9.95,9.97,9.98,10.0,9.95,9.96,10.02,10.02,10.02,10.02,10.15,10.15
9.94,9.95,9.94,9.95,278000,2019-09-18 01:00:00.000000,2019-09-18,HSAC,9.98,9.97,9.98,10.0,9.95,9.96,10.02,10.02,10.02,10.02,10.15,10.15,10.2
9.98,9.98,9.97,9.97,996,2019-09-19 01:00:00.000000,2019-09-19,HSAC,9.98,9.98,10.0,9.95,9.96,10.02,10.02,10.02,10.02,10.15,10.15,10.2,10.2
9.98,9.98,9.98,9.98,1060,2019-09-20 01:00:00.000000,2019-09-20,HSAC,10.0,10.0,9.95,9.96,10.02,10.02,10.02,10.02,10.15,10.15,10.2,10.2,10.2
10.0,10.0,9.99,10.0,2036,2019-09-23 01:00:00.000000,2019-09-23,HSAC,9.95,9.95,9.96,10.02,10.02,10.02,10.02,10.15,10.15,10.2,10.2,10.2,10.21
9.95,9.97,9.95,9.95,1702,2019-09-24 01:00:00.000000,2019-09-24,HSAC,9.95,9.96,10.02,10.02,10.02,10.02,10.15,10.15,10.2,10.2,10.2,10.21,10.22
9.95,9.96,9.95,9.96,10122,2019-09-25 01:00:00.000000,2019-09-25,HSAC,10.04,10.02,10.02,10.02,10.02,10.15,10.15,10.2,10.2,10.2,10.21,10.22,10.22
10.04,10.04,10.02,10.02,1000,2019-09-26 01:00:00.000000,2019-09-26,HSAC,10.04,10.02,10.02,10.02,10.15,10.15,10.2,10.2,10.2,10.21,10.22,10.22,10.19
10.04,10.05,9.95,10.02,9350,2019-09-27 01:00:00.000000,2019-09-27,HSAC,10.04,10.02,10.02,10.15,10.15,10.2,10.2,10.2,10.21,10.22,10.22,10.19,10.19
10.28,10.32,10.15,10.15,426868,2019-10-02 01:00:00.000000,2019-10-02,HSAC,10.19,10.15,10.2,10.2,10.2,10.21,10.22,10.22,10.19,10.19,10.18,10.16,10.16
10.19,10.2,10.13,10.15,505400,2019-10-03 01:00:00.000000,2019-10-03,HSAC,10.16,10.2,10.2,10.2,10.21,10.22,10.22,10.19,10.19,10.18,10.16,10.16,10.14
10.16,10.2,10.16,10.2,121109,2019-10-04 01:00:00.000000,2019-10-04,HSAC,10.2,10.2,10.2,10.21,10.22,10.22,10.19,10.19,10.18,10.16,10.16,10.14,10.15
10.2,10.2,10.15,10.2,41101,2019-10-07 01:00:00.000000,2019-10-07,HSAC,10.22,10.2,10.21,10.22,10.22,10.19,10.19,10.18,10.16,10.16,10.14,10.15,10.14
10.22,10.24,10.17,10.2,12902,2019-10-08 01:00:00.000000,2019-10-08,HSAC,10.21,10.21,10.22,10.22,10.19,10.19,10.18,10.16,10.16,10.14,10.15,10.14,10.14
10.21,10.21,10.2,10.21,18536,2019-10-09 01:00:00.000000,2019-10-09,HSAC,10.23,10.22,10.22,10.19,10.19,10.18,10.16,10.16,10.14,10.15,10.14,10.14,10.15
10.23,10.24,10.2,10.22,325271,2019-10-10 01:00:00.000000,2019-10-10,HSAC,10.22,10.22,10.19,10.19,10.18,10.16,10.16,10.14,10.15,10.14,10.14,10.15,10.1
10.22,10.26,10.2,10.22,22350,2019-10-11 01:00:00.000000,2019-10-11,HSAC,10.22,10.19,10.19,10.18,10.16,10.16,10.14,10.15,10.14,10.14,10.15,10.1,10.12
10.22,10.22,10.15,10.19,11400,2019-10-14 01:00:00.000000,2019-10-14,HSAC,10.22,10.19,10.18,10.16,10.16,10.14,10.15,10.14,10.14,10.15,10.1,10.12,10.13
10.19,10.19,10.16,10.18,5700,2019-10-16 01:00:00.000000,2019-10-16,HSAC,10.18,10.16,10.16,10.14,10.15,10.14,10.14,10.15,10.1,10.12,10.13,10.16,10.16
