open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.8,0.8,0.8,0.8,150100,2018-01-04 01:00:00.000000,2018-01-04,HYACW,0.8,0.8,0.8,0.8,0.8,0.8,0.77,0.77,0.77,0.77,0.77,0.77,0.77
0.8,0.8,0.8,0.8,20500,2018-01-09 01:00:00.000000,2018-01-09,HYACW,0.8,0.8,0.8,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77,1200,2018-01-12 01:00:00.000000,2018-01-12,HYACW,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
0.8,0.8,0.8,0.8,5000,2018-01-31 01:00:00.000000,2018-01-31,HYACW,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.75,0.75,0.75,0.75
0.78,0.78,0.78,0.78,2000,2018-02-01 01:00:00.000000,2018-02-01,HYACW,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.75,0.75,0.75,0.75,0.75
0.73,0.75,0.72,0.75,11100,2018-02-13 01:00:00.000000,2018-02-13,HYACW,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8
0.75,0.75,0.45,0.75,2600,2018-02-14 01:00:00.000000,2018-02-14,HYACW,0.45,0.75,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.85
0.45,0.75,0.45,0.75,5890,2018-02-15 01:00:00.000000,2018-02-15,HYACW,0.45,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.85,0.85
0.75,0.75,0.75,0.75,128690,2018-02-20 01:00:00.000000,2018-02-20,HYACW,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85
0.75,0.75,0.75,0.75,300000,2018-02-22 01:00:00.000000,2018-02-22,HYACW,0.78,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.8,0.8
0.78,0.8,0.78,0.8,401000,2018-02-23 01:00:00.000000,2018-02-23,HYACW,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.8
0.8,0.8,0.8,0.8,219900,2018-02-26 01:00:00.000000,2018-02-26,HYACW,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.8,0.82
0.85,0.85,0.85,0.85,210,2018-03-02 01:00:00.000000,2018-03-02,HYACW,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.8,0.82,0.83,0.85,0.85,0.85
0.8,0.8,0.8,0.8,8489,2018-03-09 01:00:00.000000,2018-03-09,HYACW,0.8,0.8,0.8,0.82,0.83,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.82
0.8,0.8,0.8,0.8,100000,2018-03-13 01:00:00.000000,2018-03-13,HYACW,0.82,0.82,0.83,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.82,0.82,0.82
0.82,0.82,0.82,0.82,82000,2018-03-14 01:00:00.000000,2018-03-14,HYACW,0.83,0.83,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.82,0.82,0.82,0.82
0.83,0.83,0.83,0.83,150100,2018-03-15 01:00:00.000000,2018-03-15,HYACW,0.8,0.85,0.85,0.85,0.85,0.85,0.8,0.8,0.82,0.82,0.82,0.82,0.82
0.8,0.85,0.8,0.85,12100,2018-03-16 01:00:00.000000,2018-03-16,HYACW,0.8,0.85,0.85,0.85,0.85,0.8,0.8,0.82,0.82,0.82,0.82,0.82,0.8
0.85,0.85,0.85,0.85,4800,2018-03-21 01:00:00.000000,2018-03-21,HYACW,0.85,0.85,0.8,0.8,0.82,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.8
0.85,0.85,0.85,0.85,4700,2018-03-22 01:00:00.000000,2018-03-22,HYACW,0.8,0.8,0.8,0.82,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8,25000,2018-03-23 01:00:00.000000,2018-03-23,HYACW,0.8,0.8,0.82,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.8,0.8,0.78
0.8,0.82,0.8,0.82,4900,2018-03-27 01:00:00.000000,2018-03-27,HYACW,0.8,0.82,0.82,0.82,0.82,0.8,0.8,0.8,0.8,0.8,0.78,0.78,0.78
0.8,0.8,0.8,0.8,28102,2018-04-03 01:00:00.000000,2018-04-03,HYACW,0.8,0.8,0.8,0.8,0.8,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78,10000,2018-04-10 01:00:00.000000,2018-04-10,HYACW,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
0.78,0.78,0.78,0.78,94500,2018-04-25 01:00:00.000000,2018-04-25,HYACW,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.81,0.8,0.8
0.78,0.78,0.78,0.78,75000,2018-04-26 01:00:00.000000,2018-04-26,HYACW,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.81,0.8,0.8,0.8
0.78,0.78,0.78,0.78,125000,2018-05-03 01:00:00.000000,2018-05-03,HYACW,0.78,0.78,0.78,0.78,0.81,0.8,0.8,0.8,0.8,0.81,0.81,0.83,0.83
0.78,0.78,0.78,0.78,350000,2018-05-07 01:00:00.000000,2018-05-07,HYACW,0.78,0.78,0.81,0.8,0.8,0.8,0.8,0.81,0.81,0.83,0.83,0.83,0.83
0.8,0.81,0.8,0.81,50900,2018-05-09 01:00:00.000000,2018-05-09,HYACW,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83
0.8,0.8,0.8,0.8,300,2018-05-10 01:00:00.000000,2018-05-10,HYACW,0.8,0.8,0.8,0.8,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83
0.81,0.81,0.81,0.81,198,2018-05-16 01:00:00.000000,2018-05-16,HYACW,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.8
0.83,0.83,0.83,0.83,5798,2018-05-18 01:00:00.000000,2018-05-18,HYACW,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.8,0.81,0.89
0.74,0.8,0.74,0.8,145049,2018-06-01 01:00:00.000000,2018-06-01,HYACW,0.81,0.81,0.89,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.87,0.87
0.81,0.81,0.81,0.81,11899,2018-06-04 01:00:00.000000,2018-06-04,HYACW,0.76,0.89,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.87,0.87,0.87
