open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.56,9.56,9.56,9.56,100,2018-01-22 01:00:00.000000,2018-01-22,HYAC,9.55,9.58,9.58,9.5,-0.0,0.0,0.0,-0.01
9.55,9.55,9.55,9.55,350,2018-01-25 01:00:00.000000,2018-01-25,HYAC,9.56,9.58,9.58,9.55,0.0,0.0,0.0,-0.0
9.56,9.56,9.56,9.56,1494,2018-01-26 01:00:00.000000,2018-01-26,HYAC,9.58,9.58,9.5,9.58,0.0,0.0,-0.01,0.0
9.58,9.58,9.58,9.58,100,2018-02-07 01:00:00.000000,2018-02-07,HYAC,9.58,9.58,9.55,9.58,0.0,0.0,-0.0,0.0
9.58,9.58,9.58,9.58,100,2018-02-08 01:00:00.000000,2018-02-08,HYAC,9.58,9.5,9.58,9.55,0.0,-0.01,0.0,-0.0
9.55,9.58,9.55,9.58,827300,2018-02-12 01:00:00.000000,2018-02-12,HYAC,9.58,9.55,9.58,9.57,0.0,0.0,0.0,0.0
9.58,9.58,9.58,9.58,300,2018-02-14 01:00:00.000000,2018-02-14,HYAC,9.5,9.58,9.55,9.55,-0.01,0.0,-0.0,-0.0
9.55,9.55,9.5,9.5,50200,2018-02-15 01:00:00.000000,2018-02-15,HYAC,9.55,9.58,9.57,9.55,0.0,0.0,0.0,0.0
9.55,9.55,9.55,9.55,405,2018-02-16 01:00:00.000000,2018-02-16,HYAC,9.58,9.55,9.55,9.6,0.0,0.0,0.0,0.01
9.58,9.58,9.58,9.58,1000,2018-02-20 01:00:00.000000,2018-02-20,HYAC,9.58,9.57,9.55,9.59,0.0,-0.0,-0.0,0.0
9.58,9.58,9.58,9.58,1505,2018-02-23 01:00:00.000000,2018-02-23,HYAC,9.55,9.55,9.6,9.55,-0.0,-0.0,0.0,-0.0
9.55,9.55,9.55,9.55,510011,2018-02-26 01:00:00.000000,2018-02-26,HYAC,9.57,9.55,9.59,9.59,0.0,0.0,0.0,0.0
9.57,9.57,9.57,9.57,357,2018-03-05 01:00:00.000000,2018-03-05,HYAC,9.55,9.6,9.55,9.6,-0.0,0.0,-0.0,0.0
9.55,9.55,9.55,9.55,83108,2018-03-06 01:00:00.000000,2018-03-06,HYAC,9.55,9.59,9.59,9.6,0.0,0.0,0.0,0.01
9.55,9.55,9.55,9.55,150000,2018-03-13 01:00:00.000000,2018-03-13,HYAC,9.6,9.55,9.6,9.62,0.01,0.0,0.01,0.01
9.6,9.6,9.6,9.6,200,2018-03-14 01:00:00.000000,2018-03-14,HYAC,9.59,9.59,9.6,9.56,-0.0,-0.0,0.0,-0.0
9.59,9.59,9.59,9.59,300004,2018-03-15 01:00:00.000000,2018-03-15,HYAC,9.55,9.6,9.62,9.62,-0.0,0.0,0.0,0.0
9.55,9.56,9.55,9.55,716,2018-03-22 01:00:00.000000,2018-03-22,HYAC,9.59,9.6,9.56,9.6,0.0,0.01,0.0,0.01
9.59,9.59,9.59,9.59,160000,2018-03-23 01:00:00.000000,2018-03-23,HYAC,9.6,9.62,9.62,9.6,0.0,0.0,0.0,0.0
9.6,9.6,9.6,9.6,2257,2018-04-03 01:00:00.000000,2018-04-03,HYAC,9.6,9.56,9.6,9.6,0.0,-0.0,0.0,0.0
9.6,9.6,9.6,9.6,220002,2018-04-10 01:00:00.000000,2018-04-10,HYAC,9.62,9.62,9.6,9.62,0.0,0.0,0.0,0.0
9.62,9.62,9.62,9.62,300,2018-04-11 01:00:00.000000,2018-04-11,HYAC,9.56,9.6,9.6,9.68,-0.01,-0.0,-0.0,0.01
9.56,9.56,9.56,9.56,100,2018-04-17 01:00:00.000000,2018-04-17,HYAC,9.62,9.6,9.62,9.64,0.01,0.0,0.01,0.01
9.6,9.62,9.6,9.62,752502,2018-04-20 01:00:00.000000,2018-04-20,HYAC,9.6,9.6,9.68,9.65,0.0,0.0,0.01,0.01
9.6,9.6,9.6,9.6,102,2018-04-23 01:00:00.000000,2018-04-23,HYAC,9.6,9.62,9.64,9.78,0.0,0.0,0.0,0.02
9.63,9.63,9.6,9.6,917,2018-04-24 01:00:00.000000,2018-04-24,HYAC,9.6,9.68,9.65,9.65,-0.0,0.01,0.0,0.0
9.6,9.6,9.6,9.6,102,2018-04-25 01:00:00.000000,2018-04-25,HYAC,9.62,9.64,9.78,9.65,0.0,0.0,0.02,0.01
9.64,9.64,9.62,9.62,501002,2018-04-26 01:00:00.000000,2018-04-26,HYAC,9.68,9.65,9.65,9.63,0.0,0.0,0.0,-0.0
9.68,9.68,9.68,9.68,202,2018-04-27 01:00:00.000000,2018-04-27,HYAC,9.64,9.78,9.65,9.63,-0.0,0.01,-0.0,-0.01
9.64,9.64,9.64,9.64,102,2018-04-30 01:00:00.000000,2018-04-30,HYAC,9.65,9.65,9.63,9.63,0.0,0.0,-0.0,-0.0
9.64,9.78,9.57,9.65,21321,2018-05-02 01:00:00.000000,2018-05-02,HYAC,9.78,9.65,9.63,9.65,0.01,0.0,-0.0,0.0
9.58,9.78,9.58,9.78,11088,2018-05-03 01:00:00.000000,2018-05-03,HYAC,9.65,9.63,9.63,9.65,0.01,0.01,0.01,0.01
9.78,9.78,9.65,9.65,20000,2018-05-04 01:00:00.000000,2018-05-04,HYAC,9.65,9.63,9.65,9.65,-0.01,-0.02,-0.01,-0.01
9.65,9.65,9.65,9.65,8001,2018-05-08 01:00:00.000000,2018-05-08,HYAC,9.63,9.63,9.65,9.63,-0.0,-0.0,0.0,-0.0
9.63,9.67,9.63,9.63,1124010,2018-05-09 01:00:00.000000,2018-05-09,HYAC,9.63,9.65,9.65,9.65,0.0,0.0,0.0,0.0
9.66,9.66,9.63,9.63,99509,2018-05-10 01:00:00.000000,2018-05-10,HYAC,9.63,9.65,9.63,9.65,-0.0,-0.0,-0.0,-0.0
9.66,9.66,9.63,9.63,398225,2018-05-11 01:00:00.000000,2018-05-11,HYAC,9.65,9.65,9.65,9.64,-0.0,-0.0,-0.0,-0.0
9.64,9.65,9.63,9.65,27674,2018-05-14 01:00:00.000000,2018-05-14,HYAC,9.65,9.63,9.65,9.63,0.0,-0.0,0.0,-0.0
9.67,9.67,9.63,9.65,951368,2018-05-15 01:00:00.000000,2018-05-15,HYAC,9.65,9.65,9.64,9.62,-0.0,-0.0,-0.0,-0.01
9.65,9.65,9.64,9.65,1003,2018-05-16 01:00:00.000000,2018-05-16,HYAC,9.63,9.65,9.63,9.65,-0.0,0.0,-0.0,0.0
9.65,9.65,9.63,9.63,2701,2018-05-17 01:00:00.000000,2018-05-17,HYAC,9.65,9.64,9.62,9.63,0.0,-0.0,-0.0,-0.0
9.65,9.65,9.65,9.65,310002,2018-05-22 01:00:00.000000,2018-05-22,HYAC,9.65,9.63,9.65,9.63,0.0,-0.0,0.0,-0.0
9.62,9.65,9.62,9.65,601,2018-05-23 01:00:00.000000,2018-05-23,HYAC,9.64,9.62,9.63,9.65,0.0,0.0,0.0,0.0
9.64,9.64,9.64,9.64,1000,2018-05-24 01:00:00.000000,2018-05-24,HYAC,9.63,9.65,9.63,9.78,-0.0,0.0,-0.0,0.01
9.63,9.63,9.63,9.63,2500,2018-05-25 01:00:00.000000,2018-05-25,HYAC,9.62,9.63,9.65,9.79,-0.0,0.0,0.0,0.02
9.62,9.62,9.62,9.62,1000,2018-05-29 01:00:00.000000,2018-05-29,HYAC,9.65,9.63,9.78,9.8,0.0,0.0,0.02,0.02
9.62,9.65,9.62,9.65,300906,2018-05-30 01:00:00.000000,2018-05-30,HYAC,9.63,9.65,9.79,9.8,0.0,0.0,0.02,0.02
9.63,9.63,9.63,9.63,109566,2018-05-31 01:00:00.000000,2018-05-31,HYAC,9.63,9.78,9.8,9.8,0.0,0.02,0.02,0.02
9.65,9.65,9.63,9.63,264210,2018-06-01 01:00:00.000000,2018-06-01,HYAC,9.65,9.79,9.8,9.8,0.0,0.01,0.02,0.02
9.65,9.66,9.65,9.65,4000,2018-06-04 01:00:00.000000,2018-06-04,HYAC,9.78,9.8,9.8,9.78,0.01,0.02,0.02,0.01
9.75,9.78,9.72,9.78,33778,2018-06-05 01:00:00.000000,2018-06-05,HYAC,9.79,9.8,9.8,9.82,0.0,0.01,0.01,0.01
9.78,9.8,9.78,9.79,102751,2018-06-06 01:00:00.000000,2018-06-06,HYAC,9.8,9.8,9.78,9.82,0.0,0.0,0.0,0.0
9.78,9.8,9.78,9.8,50328,2018-06-07 01:00:00.000000,2018-06-07,HYAC,9.8,9.8,9.82,9.8,0.0,0.0,0.0,0.0
9.8,9.8,9.8,9.8,405,2018-06-08 01:00:00.000000,2018-06-08,HYAC,9.8,9.78,9.82,9.78,0.0,-0.0,0.0,-0.0
9.8,9.8,9.8,9.8,465,2018-06-11 01:00:00.000000,2018-06-11,HYAC,9.8,9.82,9.8,9.76,0.0,0.0,0.0,-0.0
9.78,9.8,9.78,9.8,4989,2018-06-12 01:00:00.000000,2018-06-12,HYAC,9.78,9.82,9.78,9.76,0.0,0.0,0.0,-0.0
9.8,9.8,9.78,9.78,11239,2018-06-13 01:00:00.000000,2018-06-13,HYAC,9.82,9.8,9.76,9.8,0.0,0.0,-0.0,0.0
9.79,9.82,9.79,9.82,27277,2018-06-15 01:00:00.000000,2018-06-15,HYAC,9.82,9.78,9.76,9.79,0.0,-0.0,-0.0,0.0
9.82,9.82,9.82,9.82,11154,2018-06-18 01:00:00.000000,2018-06-18,HYAC,9.8,9.76,9.8,9.78,-0.0,-0.01,-0.0,-0.0
9.84,9.84,9.8,9.8,713,2018-06-19 01:00:00.000000,2018-06-19,HYAC,9.78,9.76,9.79,9.75,-0.01,-0.01,-0.01,-0.01
9.78,9.79,9.77,9.78,103286,2018-06-20 01:00:00.000000,2018-06-20,HYAC,9.76,9.8,9.78,9.78,-0.0,0.0,0.0,0.0
9.74,9.79,9.7,9.76,104166,2018-06-25 01:00:00.000000,2018-06-25,HYAC,9.76,9.79,9.75,9.76,0.0,0.01,0.0,0.0
9.7,9.79,9.7,9.76,600,2018-06-27 01:00:00.000000,2018-06-27,HYAC,9.8,9.78,9.78,9.77,0.01,0.01,0.01,0.01
9.71,9.8,9.7,9.8,2319,2018-07-05 01:00:00.000000,2018-07-05,HYAC,9.79,9.75,9.76,9.75,0.01,0.0,0.01,0.0
9.76,9.8,9.75,9.79,29140,2018-07-17 01:00:00.000000,2018-07-17,HYAC,9.78,9.78,9.77,9.77,0.0,0.0,0.0,0.0
9.78,9.78,9.78,9.78,802,2018-07-19 01:00:00.000000,2018-07-19,HYAC,9.75,9.76,9.75,9.8,-0.0,-0.0,-0.0,0.0
9.79,9.8,9.75,9.75,38034,2018-07-20 01:00:00.000000,2018-07-20,HYAC,9.78,9.77,9.77,9.8,-0.0,-0.0,-0.0,0.0
9.76,9.8,9.76,9.78,45351,2018-07-23 01:00:00.000000,2018-07-23,HYAC,9.76,9.75,9.8,9.79,0.0,-0.0,0.0,0.0
9.79,9.79,9.76,9.76,500,2018-07-24 01:00:00.000000,2018-07-24,HYAC,9.77,9.77,9.8,9.78,-0.0,-0.0,0.0,-0.0
9.76,9.77,9.75,9.77,130900,2018-07-25 01:00:00.000000,2018-07-25,HYAC,9.75,9.8,9.79,9.8,-0.0,0.0,0.0,0.0
9.75,9.75,9.75,9.75,42700,2018-07-31 01:00:00.000000,2018-07-31,HYAC,9.77,9.8,9.78,9.78,0.0,0.01,0.0,0.0
9.77,9.8,9.77,9.77,866711,2018-08-01 01:00:00.000000,2018-08-01,HYAC,9.8,9.79,9.8,9.82,0.0,0.0,0.0,0.01
9.8,9.82,9.79,9.8,560002,2018-08-06 01:00:00.000000,2018-08-06,HYAC,9.8,9.78,9.78,9.82,0.0,-0.0,-0.0,0.0
9.8,9.8,9.76,9.8,199083,2018-08-07 01:00:00.000000,2018-08-07,HYAC,9.79,9.8,9.82,9.81,-0.0,0.0,0.0,0.0
9.8,9.8,9.75,9.79,219062,2018-08-21 01:00:00.000000,2018-08-21,HYAC,9.78,9.78,9.82,9.76,-0.0,-0.0,0.0,-0.0
9.78,9.78,9.78,9.78,1001900,2018-08-24 01:00:00.000000,2018-08-24,HYAC,9.8,9.82,9.81,9.82,0.0,0.0,0.0,0.0
9.82,9.82,9.76,9.8,4696,2018-08-27 01:00:00.000000,2018-08-27,HYAC,9.78,9.82,9.76,9.8,-0.0,0.0,-0.01,-0.0
