open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.52,0.56,0.5,0.55,2716000,2018-04-10 01:00:00.000000,2018-04-10,IGICW,0.58,0.56,0.55,0.6,0.6,0.6,0.6,0.57,0.57,0.58,0.55,0.52,0.52
0.58,0.59,0.56,0.56,61002,2018-04-11 01:00:00.000000,2018-04-11,IGICW,0.55,0.55,0.6,0.6,0.6,0.6,0.57,0.57,0.58,0.55,0.52,0.52,0.51
0.55,0.55,0.55,0.55,50000,2018-04-12 01:00:00.000000,2018-04-12,IGICW,0.62,0.6,0.6,0.6,0.6,0.57,0.57,0.58,0.55,0.52,0.52,0.51,0.51
0.62,0.62,0.6,0.6,10500,2018-04-13 01:00:00.000000,2018-04-13,IGICW,0.59,0.6,0.6,0.6,0.57,0.57,0.58,0.55,0.52,0.52,0.51,0.51,0.55
0.59,0.6,0.59,0.6,11010,2018-04-16 01:00:00.000000,2018-04-16,IGICW,0.6,0.6,0.6,0.57,0.57,0.58,0.55,0.52,0.52,0.51,0.51,0.55,0.55
0.6,0.6,0.6,0.6,10003,2018-04-17 01:00:00.000000,2018-04-17,IGICW,0.6,0.6,0.57,0.57,0.58,0.55,0.52,0.52,0.51,0.51,0.55,0.55,0.52
0.59,0.59,0.51,0.57,28500,2018-04-19 01:00:00.000000,2018-04-19,IGICW,0.58,0.57,0.58,0.55,0.52,0.52,0.51,0.51,0.55,0.55,0.52,0.55,0.52
0.58,0.6,0.57,0.57,19612,2018-04-20 01:00:00.000000,2018-04-20,IGICW,0.58,0.58,0.55,0.52,0.52,0.51,0.51,0.55,0.55,0.52,0.55,0.52,0.52
0.58,0.58,0.58,0.58,7803,2018-04-23 01:00:00.000000,2018-04-23,IGICW,0.58,0.55,0.52,0.52,0.51,0.51,0.55,0.55,0.52,0.55,0.52,0.52,0.55
0.58,0.58,0.52,0.55,33702,2018-04-24 01:00:00.000000,2018-04-24,IGICW,0.52,0.52,0.52,0.51,0.51,0.55,0.55,0.52,0.55,0.52,0.52,0.55,0.52
0.52,0.54,0.52,0.52,25800,2018-04-25 01:00:00.000000,2018-04-25,IGICW,0.52,0.52,0.51,0.51,0.55,0.55,0.52,0.55,0.52,0.52,0.55,0.52,0.52
0.52,0.52,0.52,0.52,390200,2018-04-26 01:00:00.000000,2018-04-26,IGICW,0.52,0.51,0.51,0.55,0.55,0.52,0.55,0.52,0.52,0.55,0.52,0.52,0.52
0.52,0.53,0.51,0.51,405000,2018-04-27 01:00:00.000000,2018-04-27,IGICW,0.52,0.51,0.55,0.55,0.52,0.55,0.52,0.52,0.55,0.52,0.52,0.52,0.53
0.52,0.52,0.51,0.51,2100,2018-04-30 01:00:00.000000,2018-04-30,IGICW,0.52,0.55,0.55,0.52,0.55,0.52,0.52,0.55,0.52,0.52,0.52,0.53,0.52
0.52,0.55,0.52,0.55,200,2018-05-01 01:00:00.000000,2018-05-01,IGICW,0.55,0.55,0.52,0.55,0.52,0.52,0.55,0.52,0.52,0.52,0.53,0.52,0.52
0.55,0.55,0.53,0.55,400,2018-05-02 01:00:00.000000,2018-05-02,IGICW,0.55,0.52,0.55,0.52,0.52,0.55,0.52,0.52,0.52,0.53,0.52,0.52,0.52
0.55,0.55,0.52,0.52,310,2018-05-03 01:00:00.000000,2018-05-03,IGICW,0.55,0.55,0.52,0.52,0.55,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.64
0.55,0.55,0.55,0.55,400,2018-05-04 01:00:00.000000,2018-05-04,IGICW,0.52,0.52,0.52,0.55,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.64,0.64
0.52,0.52,0.52,0.52,100,2018-05-07 01:00:00.000000,2018-05-07,IGICW,0.52,0.52,0.55,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.64,0.64,0.64
0.51,0.55,0.51,0.55,100200,2018-05-09 01:00:00.000000,2018-05-09,IGICW,0.55,0.52,0.52,0.52,0.53,0.52,0.52,0.52,0.64,0.64,0.64,0.64,0.64
0.55,0.55,0.52,0.52,336100,2018-05-10 01:00:00.000000,2018-05-10,IGICW,0.55,0.52,0.52,0.53,0.52,0.52,0.52,0.64,0.64,0.64,0.64,0.64,0.64
0.52,0.52,0.52,0.52,27000,2018-05-14 01:00:00.000000,2018-05-14,IGICW,0.55,0.53,0.52,0.52,0.52,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.62
0.55,0.55,0.51,0.53,800,2018-05-15 01:00:00.000000,2018-05-15,IGICW,0.53,0.52,0.52,0.52,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.62
0.53,0.53,0.52,0.52,200,2018-05-16 01:00:00.000000,2018-05-16,IGICW,0.53,0.52,0.52,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.62,0.62
0.55,0.85,0.55,0.64,14700,2018-05-21 01:00:00.000000,2018-05-21,IGICW,0.55,0.64,0.64,0.64,0.64,0.64,0.64,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,225000,2018-05-30 01:00:00.000000,2018-05-30,IGICW,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.55,0.55,0.55,0.55
0.55,0.6,0.55,0.55,35977,2018-06-12 01:00:00.000000,2018-06-12,IGICW,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55,275000,2018-06-19 01:00:00.000000,2018-06-19,IGICW,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.55
0.55,0.55,0.55,0.55,1000,2018-06-21 01:00:00.000000,2018-06-21,IGICW,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.55,0.55,0.59
0.55,0.57,0.55,0.55,119610,2018-06-22 01:00:00.000000,2018-06-22,IGICW,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.55,0.55,0.59,0.59
0.55,0.56,0.55,0.56,50396,2018-06-29 01:00:00.000000,2018-06-29,IGICW,0.55,0.56,0.56,0.56,0.55,0.55,0.59,0.59,0.59,0.59,0.6,0.6,0.59
0.55,0.55,0.55,0.55,83600,2018-07-05 01:00:00.000000,2018-07-05,IGICW,0.55,0.55,0.59,0.59,0.59,0.59,0.6,0.6,0.59,0.59,0.59,0.59,0.59
0.59,0.59,0.59,0.59,5000,2018-07-09 01:00:00.000000,2018-07-09,IGICW,0.59,0.59,0.59,0.59,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59
0.6,0.6,0.6,0.6,2000,2018-07-13 01:00:00.000000,2018-07-13,IGICW,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.62,0.62,0.62,0.62
0.6,0.6,0.59,0.59,48100,2018-07-17 01:00:00.000000,2018-07-17,IGICW,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.62,0.62,0.62,0.62,0.57,0.57
0.6,0.6,0.59,0.59,11010,2018-07-20 01:00:00.000000,2018-07-20,IGICW,0.6,0.59,0.59,0.59,0.62,0.62,0.62,0.62,0.57,0.57,0.57,0.57,0.57
0.59,0.62,0.59,0.62,150425,2018-07-26 01:00:00.000000,2018-07-26,IGICW,0.59,0.62,0.62,0.62,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
0.57,0.57,0.57,0.57,65000,2018-08-01 01:00:00.000000,2018-08-01,IGICW,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
