open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.6,1.6,1.6,1.6,100,2018-12-12 01:00:00.000000,2018-12-12,IMTXW,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
1.6,1.6,1.6,1.6,300,2019-02-04 01:00:00.000000,2019-02-04,IMTXW,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.3,1.3,1.3,1.3,1.3
1.3,1.3,1.3,1.3,100,2019-02-14 01:00:00.000000,2019-02-14,IMTXW,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
0.8,1.5,0.8,1.3,30690,2019-03-19 01:00:00.000000,2019-03-19,IMTXW,0.8,1.3,1.25,1.25,1.25,1.25,1.2,1.2,1.2,1.4,1.45,1.39,1.39
0.8,1.25,0.8,1.25,801,2019-03-21 01:00:00.000000,2019-03-21,IMTXW,0.8,1.25,1.25,1.25,1.2,1.2,1.2,1.4,1.45,1.39,1.39,1.39,1.5
1.2,1.2,1.2,1.2,1000,2019-03-27 01:00:00.000000,2019-03-27,IMTXW,1.2,1.2,1.2,1.4,1.45,1.39,1.39,1.39,1.5,1.5,1.5,1.5,1.5
1.35,1.4,1.35,1.4,5000,2019-04-01 01:00:00.000000,2019-04-01,IMTXW,1.35,1.45,1.39,1.39,1.39,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.35,1.45,1.35,1.45,21050,2019-04-02 01:00:00.000000,2019-04-02,IMTXW,1.39,1.39,1.39,1.39,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.39,1.39,1.39,1.39,300,2019-04-03 01:00:00.000000,2019-04-03,IMTXW,1.39,1.39,1.39,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.44,1.5,1.44,1.5,7850,2019-04-08 01:00:00.000000,2019-04-08,IMTXW,1.44,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.5,1.5,1.5,1.5,250,2019-04-16 01:00:00.000000,2019-04-16,IMTXW,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6
1.59,1.6,1.49,1.6,3649,2019-04-25 01:00:00.000000,2019-04-25,IMTXW,1.59,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
1.4,1.4,1.4,1.4,3550,2019-05-14 01:00:00.000000,2019-05-14,IMTXW,1.4,1.4,1.4,1.4,1.4,1.36,1.36,1.42,1.29,1.29,1.28,1.3,1.28
1.4,1.4,1.4,1.4,100,2019-05-17 01:00:00.000000,2019-05-17,IMTXW,1.4,1.4,1.36,1.36,1.42,1.29,1.29,1.28,1.3,1.28,1.28,1.3,1.3
1.36,1.36,1.36,1.36,500,2019-05-21 01:00:00.000000,2019-05-21,IMTXW,1.36,1.36,1.42,1.29,1.29,1.28,1.3,1.28,1.28,1.3,1.3,1.29,1.29
1.3,1.42,1.3,1.42,2250,2019-05-23 01:00:00.000000,2019-05-23,IMTXW,1.34,1.29,1.29,1.28,1.3,1.28,1.28,1.3,1.3,1.29,1.29,1.3,1.3
1.34,1.34,1.29,1.29,2750,2019-05-24 01:00:00.000000,2019-05-24,IMTXW,1.34,1.29,1.28,1.3,1.28,1.28,1.3,1.3,1.29,1.29,1.3,1.3,1.25
1.28,1.28,1.28,1.28,500,2019-05-28 01:00:00.000000,2019-05-28,IMTXW,1.3,1.3,1.28,1.28,1.3,1.3,1.29,1.29,1.3,1.3,1.25,1.25,1.2
1.3,1.3,1.3,1.3,100,2019-05-29 01:00:00.000000,2019-05-29,IMTXW,1.28,1.28,1.28,1.3,1.3,1.29,1.29,1.3,1.3,1.25,1.25,1.2,1.19
1.28,1.28,1.28,1.28,100,2019-05-30 01:00:00.000000,2019-05-30,IMTXW,1.28,1.28,1.3,1.3,1.29,1.29,1.3,1.3,1.25,1.25,1.2,1.19,1.18
1.3,1.3,1.3,1.3,2000,2019-06-03 01:00:00.000000,2019-06-03,IMTXW,1.3,1.3,1.29,1.29,1.3,1.3,1.25,1.25,1.2,1.19,1.18,1.25,1.25
1.3,1.3,1.23,1.3,142565,2019-06-04 01:00:00.000000,2019-06-04,IMTXW,1.29,1.29,1.29,1.3,1.3,1.25,1.25,1.2,1.19,1.18,1.25,1.25,1.5
1.29,1.29,1.29,1.29,15300,2019-06-05 01:00:00.000000,2019-06-05,IMTXW,1.29,1.29,1.3,1.3,1.25,1.25,1.2,1.19,1.18,1.25,1.25,1.5,1.5
1.3,1.3,1.3,1.3,16100,2019-06-07 01:00:00.000000,2019-06-07,IMTXW,1.3,1.3,1.25,1.25,1.2,1.19,1.18,1.25,1.25,1.5,1.5,1.5,1.5
1.28,1.28,1.25,1.25,1000,2019-06-11 01:00:00.000000,2019-06-11,IMTXW,1.26,1.25,1.2,1.19,1.18,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5
1.26,1.26,1.25,1.25,500,2019-06-12 01:00:00.000000,2019-06-12,IMTXW,1.24,1.2,1.19,1.18,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.24,1.24,1.19,1.2,32000,2019-06-13 01:00:00.000000,2019-06-13,IMTXW,1.21,1.19,1.18,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.21,1.21,1.19,1.19,1700,2019-06-14 01:00:00.000000,2019-06-14,IMTXW,1.18,1.18,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.18,1.19,1.18,1.18,1300,2019-06-17 01:00:00.000000,2019-06-17,IMTXW,1.15,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1.15,1.31,1.15,1.25,24469,2019-06-18 01:00:00.000000,2019-06-18,IMTXW,1.15,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
