open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
14.25,16.5,13.7,15.98,208971,2019-12-19 01:00:00.000000,2019-12-19,IMVT,15.96,15.85,16.24,15.87,0.12,0.11,0.14,0.11
15.53,16.13,14.43,15.96,119006,2019-12-20 01:00:00.000000,2019-12-20,IMVT,15.79,16.4,15.81,15.6,0.02,0.06,0.02,0.0
15.86,16.2,15.04,15.79,62728,2019-12-23 01:00:00.000000,2019-12-23,IMVT,15.85,16.24,15.87,15.62,-0.0,0.02,0.0,-0.02
15.25,16.64,15.0,15.85,149867,2019-12-24 01:00:00.000000,2019-12-24,IMVT,16.4,15.81,15.6,15.57,0.08,0.04,0.02,0.02
15.75,16.4,15.75,16.4,46522,2019-12-26 01:00:00.000000,2019-12-26,IMVT,16.24,15.87,15.62,15.56,0.03,0.01,-0.01,-0.01
16.45,16.5,14.61,16.24,10830,2019-12-27 01:00:00.000000,2019-12-27,IMVT,15.81,15.6,15.57,15.27,-0.04,-0.05,-0.05,-0.07
16.32,16.4,15.6,15.81,34555,2019-12-30 01:00:00.000000,2019-12-30,IMVT,15.87,15.62,15.56,16.32,-0.03,-0.04,-0.05,0.0
15.33,15.98,14.85,15.87,50543,2019-12-31 01:00:00.000000,2019-12-31,IMVT,15.6,15.57,15.27,16.94,0.02,0.02,-0.0,0.11
15.85,16.0,15.12,15.6,26727,2020-01-02 01:00:00.000000,2020-01-02,IMVT,15.62,15.56,16.32,17.0,-0.01,-0.02,0.03,0.07
15.63,17.41,15.31,15.62,72411,2020-01-03 01:00:00.000000,2020-01-03,IMVT,15.57,15.27,16.94,17.1,-0.0,-0.02,0.08,0.09
15.41,15.75,15.41,15.57,79992,2020-01-06 01:00:00.000000,2020-01-06,IMVT,15.56,16.32,17.0,16.89,0.01,0.06,0.1,0.1
15.19,15.6,15.19,15.56,116987,2020-01-07 01:00:00.000000,2020-01-07,IMVT,15.27,16.94,17.1,17.13,0.01,0.12,0.13,0.13
16.1,16.1,15.24,15.27,97443,2020-01-08 01:00:00.000000,2020-01-08,IMVT,16.32,17.0,16.89,17.0,0.01,0.06,0.05,0.06
15.88,16.73,15.28,16.32,234130,2020-01-09 01:00:00.000000,2020-01-09,IMVT,16.94,17.1,17.13,16.07,0.07,0.08,0.08,0.01
17.49,18.36,16.85,16.94,133888,2020-01-10 01:00:00.000000,2020-01-10,IMVT,17.0,16.89,17.0,15.96,-0.03,-0.03,-0.03,-0.09
16.95,17.13,16.75,17.0,169456,2020-01-13 01:00:00.000000,2020-01-13,IMVT,17.1,17.13,16.07,15.96,0.01,0.01,-0.05,-0.06
17.1,17.21,16.46,17.1,86816,2020-01-14 01:00:00.000000,2020-01-14,IMVT,16.89,17.0,15.96,16.07,-0.01,-0.01,-0.07,-0.06
17.25,17.25,16.12,16.89,260067,2020-01-15 01:00:00.000000,2020-01-15,IMVT,17.13,16.07,15.96,15.7,-0.01,-0.07,-0.07,-0.09
