open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
1.0,1.0,1.0,1.0,100,2019-06-04 01:00:00.000000,2019-06-04,INSUW,1.0,1.0,0.58,0.68,0.71,0.71,0.72,0.93,0.93,0.93,0.93,0.93,0.93
0.65,0.65,0.55,0.58,17300,2019-06-06 01:00:00.000000,2019-06-06,INSUW,0.6,0.68,0.71,0.71,0.72,0.93,0.93,0.93,0.93,0.93,0.93,0.85,0.93
0.6,0.68,0.6,0.68,34000,2019-06-07 01:00:00.000000,2019-06-07,INSUW,0.71,0.71,0.71,0.72,0.93,0.93,0.93,0.93,0.93,0.93,0.85,0.93,0.93
0.71,0.71,0.71,0.71,500,2019-06-10 01:00:00.000000,2019-06-10,INSUW,0.71,0.71,0.72,0.93,0.93,0.93,0.93,0.93,0.93,0.85,0.93,0.93,0.93
0.72,0.72,0.72,0.72,200,2019-06-12 01:00:00.000000,2019-06-12,INSUW,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.85,0.93,0.93,0.93,0.93,0.85
0.93,0.93,0.93,0.93,100,2019-06-13 01:00:00.000000,2019-06-13,INSUW,0.93,0.93,0.93,0.93,0.93,0.93,0.85,0.93,0.93,0.93,0.93,0.85,0.85
0.93,0.93,0.93,0.93,100,2019-06-18 01:00:00.000000,2019-06-18,INSUW,0.93,0.93,0.93,0.85,0.93,0.93,0.93,0.93,0.85,0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85,1000,2019-06-21 01:00:00.000000,2019-06-21,INSUW,0.75,0.93,0.93,0.93,0.93,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
0.75,0.93,0.75,0.93,32100,2019-06-24 01:00:00.000000,2019-06-24,INSUW,0.75,0.93,0.93,0.93,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
0.93,0.93,0.85,0.85,400,2019-06-28 01:00:00.000000,2019-06-28,INSUW,0.93,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
0.85,0.93,0.85,0.93,6600,2019-07-23 01:00:00.000000,2019-07-23,INSUW,0.85,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.76
0.93,0.93,0.93,0.93,400,2019-07-29 01:00:00.000000,2019-07-29,INSUW,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.76,0.76,0.76,0.76,0.76
0.76,0.76,0.76,0.76,200,2019-08-08 01:00:00.000000,2019-08-08,INSUW,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75
0.8,0.8,0.75,0.75,922,2019-08-23 01:00:00.000000,2019-08-23,INSUW,0.82,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.82,0.82,0.75,0.75,1000,2019-08-26 01:00:00.000000,2019-08-26,INSUW,0.82,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
0.76,0.8,0.75,0.75,1000,2019-09-11 01:00:00.000000,2019-09-11,INSUW,0.75,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.83,0.93,0.93
0.75,0.76,0.75,0.76,48149,2019-09-12 01:00:00.000000,2019-09-12,INSUW,0.75,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.83,0.93,0.93,0.93
0.83,0.83,0.83,0.83,1000,2019-09-25 01:00:00.000000,2019-09-25,INSUW,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93,5000,2019-09-26 01:00:00.000000,2019-09-26,INSUW,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
1.03,1.03,1.03,1.03,50000,2019-12-05 01:00:00.000000,2019-12-05,INSUW,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.05,1.05,1.05
1.05,1.05,1.05,1.05,50000,2019-12-19 01:00:00.000000,2019-12-19,INSUW,1.05,1.05,1.05,1.05,1.05,1.05,1.19,1.19,1.19,1.19,1.19,1.19,1.19
1.19,1.19,1.19,1.19,2700,2019-12-27 01:00:00.000000,2019-12-27,INSUW,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19
1.19,1.2,1.15,1.2,38828,2020-01-24 01:00:00.000000,2020-01-24,INSUW,1.2,1.2,1.2,1.24,1.2,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25
1.2,1.2,1.2,1.2,2500,2020-01-27 01:00:00.000000,2020-01-27,INSUW,1.2,1.2,1.24,1.2,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25,1.25
