open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
12.88,19.47,11.1,15.35,145526,2019-06-18 01:00:00.000000,2019-06-18,KERN,49.8,27.05,23.2,21.7,2.87,1.1,0.8,0.68
20.7,50.32,20.0,49.8,3364510,2019-06-19 01:00:00.000000,2019-06-19,KERN,36.55,23.24,20.56,21.6,0.77,0.12,-0.01,0.04
65.0,72.65,33.0,36.55,3811584,2019-06-20 01:00:00.000000,2019-06-20,KERN,27.05,23.2,21.7,19.25,-0.58,-0.64,-0.67,-0.7
31.4,37.37,26.8,27.05,1754010,2019-06-21 01:00:00.000000,2019-06-21,KERN,23.24,20.56,21.6,18.28,-0.26,-0.35,-0.31,-0.42
27.31,27.79,21.66,23.24,839182,2019-06-24 01:00:00.000000,2019-06-24,KERN,23.2,21.7,19.25,15.01,-0.15,-0.21,-0.3,-0.45
21.19,26.0,21.18,23.2,882438,2019-06-25 01:00:00.000000,2019-06-25,KERN,20.56,21.6,18.28,14.32,-0.03,0.02,-0.14,-0.32
23.4,23.4,20.5,20.56,540389,2019-06-26 01:00:00.000000,2019-06-26,KERN,21.7,19.25,15.01,15.1,-0.07,-0.18,-0.36,-0.35
20.0,24.22,20.0,21.7,598987,2019-06-27 01:00:00.000000,2019-06-27,KERN,21.6,18.28,14.32,14.88,0.08,-0.09,-0.28,-0.26
22.85,24.0,21.0,21.6,370780,2019-06-28 01:00:00.000000,2019-06-28,KERN,19.25,15.01,15.1,14.48,-0.16,-0.34,-0.34,-0.37
21.8,22.4,19.05,19.25,467590,2019-07-01 01:00:00.000000,2019-07-01,KERN,18.28,14.32,14.88,14.1,-0.16,-0.34,-0.32,-0.35
20.5,20.84,18.1,18.28,319348,2019-07-02 01:00:00.000000,2019-07-02,KERN,15.01,15.1,14.48,13.79,-0.27,-0.26,-0.29,-0.33
18.06,18.3,15.0,15.01,547875,2019-07-03 01:00:00.000000,2019-07-03,KERN,14.32,14.88,14.1,13.46,-0.21,-0.18,-0.22,-0.25
15.01,15.05,13.8,14.32,386232,2019-07-05 01:00:00.000000,2019-07-05,KERN,15.1,14.48,13.79,12.89,0.01,-0.04,-0.08,-0.14
14.5,15.74,13.37,15.1,719267,2019-07-08 01:00:00.000000,2019-07-08,KERN,14.88,14.1,13.46,13.7,0.03,-0.03,-0.07,-0.06
15.08,15.64,14.55,14.88,362051,2019-07-09 01:00:00.000000,2019-07-09,KERN,14.48,13.79,12.89,12.94,-0.04,-0.09,-0.15,-0.14
14.89,15.19,13.95,14.48,311104,2019-07-10 01:00:00.000000,2019-07-10,KERN,14.1,13.46,13.7,12.88,-0.05,-0.1,-0.08,-0.13
14.51,14.53,13.64,14.1,202017,2019-07-11 01:00:00.000000,2019-07-11,KERN,13.79,12.89,12.94,12.56,-0.05,-0.11,-0.11,-0.13
14.19,14.74,13.15,13.79,544639,2019-07-12 01:00:00.000000,2019-07-12,KERN,13.46,13.7,12.88,13.05,-0.05,-0.03,-0.09,-0.08
