open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.85,9.85,9.84,9.84,616934,2019-12-09 01:00:00.000000,2019-12-09,LATN,9.86,9.84,9.86,9.92,0.0,-0.0,0.0,0.01
9.84,9.86,9.84,9.86,76312,2019-12-18 01:00:00.000000,2019-12-18,LATN,9.84,9.85,9.87,9.88,0.0,0.0,0.0,0.0
9.84,9.84,9.84,9.84,50000,2019-12-19 01:00:00.000000,2019-12-19,LATN,9.84,9.86,9.92,9.95,0.0,0.0,0.01,0.01
9.84,9.84,9.84,9.84,25000,2019-12-27 01:00:00.000000,2019-12-27,LATN,9.85,9.87,9.88,9.94,0.0,0.0,0.0,0.01
9.85,9.85,9.85,9.85,40888,2019-12-31 01:00:00.000000,2019-12-31,LATN,9.86,9.92,9.95,9.96,0.0,0.01,0.01,0.01
9.87,9.87,9.86,9.86,101000,2020-01-02 01:00:00.000000,2020-01-02,LATN,9.87,9.88,9.94,9.95,0.0,0.0,0.01,0.01
9.86,9.87,9.86,9.87,300,2020-01-03 01:00:00.000000,2020-01-03,LATN,9.92,9.95,9.96,9.88,0.01,0.01,0.01,0.0
9.88,9.92,9.88,9.92,300500,2020-01-09 01:00:00.000000,2020-01-09,LATN,9.88,9.94,9.95,9.93,0.0,0.01,0.01,0.01
9.92,9.92,9.88,9.88,105575,2020-01-14 01:00:00.000000,2020-01-14,LATN,9.95,9.96,9.88,9.94,0.0,0.0,-0.0,0.0
9.89,9.95,9.89,9.95,110700,2020-01-15 01:00:00.000000,2020-01-15,LATN,9.94,9.95,9.93,9.95,0.01,0.01,0.0,0.01
9.98,9.98,9.94,9.94,103125,2020-01-17 01:00:00.000000,2020-01-17,LATN,9.96,9.88,9.94,9.96,-0.0,-0.01,-0.0,-0.0
9.95,9.96,9.95,9.96,6000,2020-01-21 01:00:00.000000,2020-01-21,LATN,9.95,9.93,9.95,9.96,0.0,-0.0,0.0,0.0
9.95,9.95,9.95,9.95,5700,2020-01-24 01:00:00.000000,2020-01-24,LATN,9.88,9.94,9.96,9.97,-0.01,-0.0,0.0,0.0
9.88,9.88,9.88,9.88,100,2020-01-28 01:00:00.000000,2020-01-28,LATN,9.93,9.95,9.96,9.97,0.01,0.01,0.01,0.01
