open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.05,11.1,9.89,11.1,143593,2018-03-16 01:00:00.000000,2018-03-16,LAZY,10.97,10.8,10.4,10.05,0.09,0.07,0.03,0.0
11.45,11.66,10.97,10.97,8454,2018-03-19 01:00:00.000000,2018-03-19,LAZY,10.7,10.5,10.07,10.1,-0.07,-0.08,-0.12,-0.12
10.98,10.98,10.2,10.7,36930,2018-03-20 01:00:00.000000,2018-03-20,LAZY,10.8,10.4,10.05,10.05,-0.02,-0.05,-0.08,-0.08
10.95,10.95,10.25,10.8,25397,2018-03-21 01:00:00.000000,2018-03-21,LAZY,10.5,10.07,10.1,10.0,-0.04,-0.08,-0.08,-0.09
10.45,10.79,10.25,10.5,1120,2018-03-22 01:00:00.000000,2018-03-22,LAZY,10.4,10.05,10.05,9.99,-0.0,-0.04,-0.04,-0.04
10.35,10.5,10.2,10.4,17289,2018-03-23 01:00:00.000000,2018-03-23,LAZY,10.07,10.1,10.0,9.96,-0.03,-0.02,-0.03,-0.04
10.4,10.4,10.05,10.07,14665,2018-03-26 01:00:00.000000,2018-03-26,LAZY,10.05,10.05,9.99,9.97,-0.03,-0.03,-0.04,-0.04
10.25,10.4,9.9,10.05,6760,2018-03-27 01:00:00.000000,2018-03-27,LAZY,10.1,10.0,9.96,9.87,-0.01,-0.02,-0.03,-0.04
10.1,10.1,10.1,10.1,114,2018-03-28 01:00:00.000000,2018-03-28,LAZY,10.05,9.99,9.97,9.8,-0.0,-0.01,-0.01,-0.03
9.97,10.05,9.46,10.05,12705,2018-03-29 01:00:00.000000,2018-03-29,LAZY,10.0,9.96,9.87,10.3,0.0,-0.0,-0.01,0.03
9.9,10.0,9.9,10.0,23216,2018-04-02 01:00:00.000000,2018-04-02,LAZY,9.99,9.97,9.8,10.45,0.01,0.01,-0.01,0.06
10.06,10.06,9.84,9.99,7196,2018-04-03 01:00:00.000000,2018-04-03,LAZY,9.96,9.87,10.3,10.35,-0.01,-0.02,0.02,0.03
9.84,9.96,9.84,9.96,3284,2018-04-04 01:00:00.000000,2018-04-04,LAZY,9.97,9.8,10.45,10.24,0.01,-0.0,0.06,0.04
10.01,10.02,9.96,9.97,17550,2018-04-05 01:00:00.000000,2018-04-05,LAZY,9.87,10.3,10.35,9.95,-0.01,0.03,0.03,-0.01
9.97,10.0,9.87,9.87,7714,2018-04-06 01:00:00.000000,2018-04-06,LAZY,9.8,10.45,10.24,10.0,-0.02,0.05,0.03,0.0
9.93,9.94,9.5,9.8,22064,2018-04-09 01:00:00.000000,2018-04-09,LAZY,10.3,10.35,9.95,10.02,0.04,0.04,0.0,0.01
10.0,10.31,9.98,10.3,69765,2018-04-10 01:00:00.000000,2018-04-10,LAZY,10.45,10.24,10.0,9.6,0.04,0.02,0.0,-0.04
10.3,10.6,10.2,10.45,43941,2018-04-11 01:00:00.000000,2018-04-11,LAZY,10.35,9.95,10.02,9.44,0.0,-0.03,-0.03,-0.08
10.5,10.5,10.31,10.35,49800,2018-04-12 01:00:00.000000,2018-04-12,LAZY,10.24,10.0,9.6,9.5,-0.03,-0.05,-0.09,-0.1
10.35,10.35,10.15,10.24,6645,2018-04-13 01:00:00.000000,2018-04-13,LAZY,9.95,10.02,9.44,9.4,-0.04,-0.03,-0.09,-0.09
10.3,10.3,9.95,9.95,13429,2018-04-16 01:00:00.000000,2018-04-16,LAZY,10.0,9.6,9.5,9.35,-0.03,-0.07,-0.08,-0.09
10.0,10.04,9.95,10.0,8041,2018-04-17 01:00:00.000000,2018-04-17,LAZY,10.02,9.44,9.4,9.25,0.0,-0.06,-0.06,-0.08
10.08,10.08,9.85,10.02,6951,2018-04-18 01:00:00.000000,2018-04-18,LAZY,9.6,9.5,9.35,9.5,-0.05,-0.06,-0.07,-0.06
10.02,10.02,9.41,9.6,44458,2018-04-19 01:00:00.000000,2018-04-19,LAZY,9.44,9.4,9.25,9.94,-0.06,-0.06,-0.08,-0.01
9.27,9.7,9.24,9.44,43185,2018-04-20 01:00:00.000000,2018-04-20,LAZY,9.5,9.35,9.5,9.9,0.02,0.01,0.02,0.07
9.25,9.7,9.08,9.5,17595,2018-04-23 01:00:00.000000,2018-04-23,LAZY,9.4,9.25,9.94,9.9,0.02,0.0,0.07,0.07
9.6,9.6,9.33,9.4,866,2018-04-24 01:00:00.000000,2018-04-24,LAZY,9.35,9.5,9.9,9.86,-0.03,-0.01,0.03,0.03
9.45,9.45,9.2,9.35,4590,2018-04-25 01:00:00.000000,2018-04-25,LAZY,9.25,9.94,9.9,9.73,-0.02,0.05,0.05,0.03
9.37,9.4,9.2,9.25,27015,2018-04-26 01:00:00.000000,2018-04-26,LAZY,9.5,9.9,9.86,9.45,0.01,0.06,0.05,0.01
9.45,10.03,9.2,9.5,62875,2018-04-27 01:00:00.000000,2018-04-27,LAZY,9.94,9.9,9.73,9.22,0.05,0.05,0.03,-0.02
9.6,10.01,9.6,9.94,49145,2018-04-30 01:00:00.000000,2018-04-30,LAZY,9.9,9.86,9.45,9.0,0.03,0.03,-0.02,-0.06
9.99,10.0,9.75,9.9,41755,2018-05-01 01:00:00.000000,2018-05-01,LAZY,9.9,9.73,9.22,8.9,-0.01,-0.03,-0.08,-0.11
9.94,10.0,9.9,9.9,17639,2018-05-02 01:00:00.000000,2018-05-02,LAZY,9.86,9.45,9.0,8.9,-0.01,-0.05,-0.09,-0.1
9.92,9.99,9.86,9.86,15507,2018-05-03 01:00:00.000000,2018-05-03,LAZY,9.73,9.22,8.9,8.74,-0.02,-0.07,-0.1,-0.12
9.86,9.86,9.7,9.73,21772,2018-05-04 01:00:00.000000,2018-05-04,LAZY,9.45,9.0,8.9,8.78,-0.04,-0.09,-0.1,-0.11
9.75,9.75,9.35,9.45,44536,2018-05-07 01:00:00.000000,2018-05-07,LAZY,9.22,8.9,8.74,8.54,-0.05,-0.09,-0.1,-0.12
9.55,9.55,9.2,9.22,43738,2018-05-08 01:00:00.000000,2018-05-08,LAZY,9.0,8.9,8.78,8.7,-0.06,-0.07,-0.08,-0.09
9.15,9.34,8.64,9.0,31625,2018-05-09 01:00:00.000000,2018-05-09,LAZY,8.9,8.74,8.54,8.31,-0.03,-0.04,-0.07,-0.09
