open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
16.61,18.87,16.0,17.33,516533,2018-01-02 01:00:00.000000,2018-01-02,LIVE,17.33,16.22,15.25,15.48,15.55,15.04,15.2,15.71,15.57,15.57,14.5,14.63,17.01
17.33,17.33,16.0,16.22,117689,2018-01-03 01:00:00.000000,2018-01-03,LIVE,16.17,15.25,15.48,15.55,15.04,15.2,15.71,15.57,15.57,14.5,14.63,17.01,16.69
16.17,16.19,14.85,15.25,124109,2018-01-04 01:00:00.000000,2018-01-04,LIVE,15.35,15.48,15.55,15.04,15.2,15.71,15.57,15.57,14.5,14.63,17.01,16.69,15.61
15.35,15.68,15.07,15.48,78249,2018-01-05 01:00:00.000000,2018-01-05,LIVE,15.75,15.55,15.04,15.2,15.71,15.57,15.57,14.5,14.63,17.01,16.69,15.61,15.5
15.75,15.85,15.26,15.55,85022,2018-01-08 01:00:00.000000,2018-01-08,LIVE,15.75,15.04,15.2,15.71,15.57,15.57,14.5,14.63,17.01,16.69,15.61,15.5,15.43
15.75,15.8,15.04,15.04,66752,2018-01-09 01:00:00.000000,2018-01-09,LIVE,15.06,15.2,15.71,15.57,15.57,14.5,14.63,17.01,16.69,15.61,15.5,15.43,15.16
15.06,15.3,14.58,15.2,76462,2018-01-10 01:00:00.000000,2018-01-10,LIVE,15.1,15.71,15.57,15.57,14.5,14.63,17.01,16.69,15.61,15.5,15.43,15.16,15.28
15.1,15.94,15.1,15.71,40550,2018-01-11 01:00:00.000000,2018-01-11,LIVE,15.77,15.57,15.57,14.5,14.63,17.01,16.69,15.61,15.5,15.43,15.16,15.28,14.78
15.77,15.96,15.36,15.57,26874,2018-01-12 01:00:00.000000,2018-01-12,LIVE,15.77,15.57,14.5,14.63,17.01,16.69,15.61,15.5,15.43,15.16,15.28,14.78,14.53
15.76,15.98,14.31,14.5,49445,2018-01-16 01:00:00.000000,2018-01-16,LIVE,14.49,14.63,17.01,16.69,15.61,15.5,15.43,15.16,15.28,14.78,14.53,14.53,13.76
14.49,14.66,14.02,14.63,42900,2018-01-17 01:00:00.000000,2018-01-17,LIVE,18.94,17.01,16.69,15.61,15.5,15.43,15.16,15.28,14.78,14.53,14.53,13.76,13.4
18.94,20.5,16.75,17.01,1869929,2018-01-18 01:00:00.000000,2018-01-18,LIVE,17.12,16.69,15.61,15.5,15.43,15.16,15.28,14.78,14.53,14.53,13.76,13.4,12.92
17.12,17.12,16.0,16.69,156951,2018-01-19 01:00:00.000000,2018-01-19,LIVE,16.39,15.61,15.5,15.43,15.16,15.28,14.78,14.53,14.53,13.76,13.4,12.92,13.0
16.39,16.4,15.53,15.61,116268,2018-01-22 01:00:00.000000,2018-01-22,LIVE,15.72,15.5,15.43,15.16,15.28,14.78,14.53,14.53,13.76,13.4,12.92,13.0,13.39
15.72,15.91,15.07,15.5,56573,2018-01-23 01:00:00.000000,2018-01-23,LIVE,15.6,15.43,15.16,15.28,14.78,14.53,14.53,13.76,13.4,12.92,13.0,13.39,13.8
15.6,15.74,14.8,15.43,58628,2018-01-24 01:00:00.000000,2018-01-24,LIVE,15.29,15.16,15.28,14.78,14.53,14.53,13.76,13.4,12.92,13.0,13.39,13.8,13.3
15.29,15.57,14.96,15.16,44874,2018-01-25 01:00:00.000000,2018-01-25,LIVE,15.16,15.28,14.78,14.53,14.53,13.76,13.4,12.92,13.0,13.39,13.8,13.3,15.23
15.16,15.42,15.1,15.28,11597,2018-01-26 01:00:00.000000,2018-01-26,LIVE,15.0,14.78,14.53,14.53,13.76,13.4,12.92,13.0,13.39,13.8,13.3,15.23,15.58
15.0,15.23,14.78,14.78,26017,2018-01-29 01:00:00.000000,2018-01-29,LIVE,15.0,14.53,14.53,13.76,13.4,12.92,13.0,13.39,13.8,13.3,15.23,15.58,15.73
15.0,15.07,14.51,14.53,25772,2018-01-30 01:00:00.000000,2018-01-30,LIVE,14.5,14.53,13.76,13.4,12.92,13.0,13.39,13.8,13.3,15.23,15.58,15.73,13.29
14.5,14.7,14.13,14.53,37617,2018-01-31 01:00:00.000000,2018-01-31,LIVE,14.29,13.76,13.4,12.92,13.0,13.39,13.8,13.3,15.23,15.58,15.73,13.29,13.66
14.29,14.41,13.67,13.76,20942,2018-02-01 01:00:00.000000,2018-02-01,LIVE,13.8,13.4,12.92,13.0,13.39,13.8,13.3,15.23,15.58,15.73,13.29,13.66,13.66
13.8,13.8,13.29,13.4,35652,2018-02-02 01:00:00.000000,2018-02-02,LIVE,13.3,12.92,13.0,13.39,13.8,13.3,15.23,15.58,15.73,13.29,13.66,13.66,13.73
13.3,13.42,12.54,12.92,74182,2018-02-05 01:00:00.000000,2018-02-05,LIVE,12.84,13.0,13.39,13.8,13.3,15.23,15.58,15.73,13.29,13.66,13.66,13.73,13.42
12.84,13.19,12.55,13.0,17359,2018-02-06 01:00:00.000000,2018-02-06,LIVE,12.92,13.39,13.8,13.3,15.23,15.58,15.73,13.29,13.66,13.66,13.73,13.42,13.45
12.92,13.69,12.92,13.39,14347,2018-02-07 01:00:00.000000,2018-02-07,LIVE,13.41,13.8,13.3,15.23,15.58,15.73,13.29,13.66,13.66,13.73,13.42,13.45,13.12
13.41,13.99,13.15,13.8,35684,2018-02-08 01:00:00.000000,2018-02-08,LIVE,13.8,13.3,15.23,15.58,15.73,13.29,13.66,13.66,13.73,13.42,13.45,13.12,13.47
13.8,13.8,12.65,13.3,43488,2018-02-09 01:00:00.000000,2018-02-09,LIVE,13.22,15.23,15.58,15.73,13.29,13.66,13.66,13.73,13.42,13.45,13.12,13.47,13.2
13.22,15.35,13.17,15.23,85202,2018-02-12 01:00:00.000000,2018-02-12,LIVE,14.8,15.58,15.73,13.29,13.66,13.66,13.73,13.42,13.45,13.12,13.47,13.2,13.31
14.8,16.0,14.8,15.58,91586,2018-02-13 01:00:00.000000,2018-02-13,LIVE,15.58,15.73,13.29,13.66,13.66,13.73,13.42,13.45,13.12,13.47,13.2,13.31,12.96
15.58,16.12,15.13,15.73,90847,2018-02-14 01:00:00.000000,2018-02-14,LIVE,14.4,13.29,13.66,13.66,13.73,13.42,13.45,13.12,13.47,13.2,13.31,12.96,12.89
14.4,14.51,12.75,13.29,135761,2018-02-15 01:00:00.000000,2018-02-15,LIVE,13.29,13.66,13.66,13.73,13.42,13.45,13.12,13.47,13.2,13.31,12.96,12.89,13.37
13.29,13.71,13.13,13.66,36394,2018-02-16 01:00:00.000000,2018-02-16,LIVE,13.29,13.66,13.73,13.42,13.45,13.12,13.47,13.2,13.31,12.96,12.89,13.37,13.08
14.26,14.26,13.3,13.73,52520,2018-02-20 01:00:00.000000,2018-02-20,LIVE,13.85,13.42,13.45,13.12,13.47,13.2,13.31,12.96,12.89,13.37,13.08,13.22,13.13
13.85,14.01,13.35,13.42,36271,2018-02-21 01:00:00.000000,2018-02-21,LIVE,13.55,13.45,13.12,13.47,13.2,13.31,12.96,12.89,13.37,13.08,13.22,13.13,12.99
13.55,13.55,13.06,13.45,49908,2018-02-22 01:00:00.000000,2018-02-22,LIVE,13.4,13.12,13.47,13.2,13.31,12.96,12.89,13.37,13.08,13.22,13.13,12.99,12.56
13.4,13.52,13.12,13.12,21275,2018-02-23 01:00:00.000000,2018-02-23,LIVE,13.23,13.47,13.2,13.31,12.96,12.89,13.37,13.08,13.22,13.13,12.99,12.56,12.79
13.23,13.56,13.17,13.47,32037,2018-02-26 01:00:00.000000,2018-02-26,LIVE,13.57,13.2,13.31,12.96,12.89,13.37,13.08,13.22,13.13,12.99,12.56,12.79,12.57
