open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.67,0.67,0.67,0.67,100,2020-05-28 01:00:00.000000,2020-05-28,LOAK.WS,0.67,0.37,0.37,0.6,0.0,-0.45,-0.44,-0.1
0.67,0.67,0.67,0.67,700,2020-06-01 01:00:00.000000,2020-06-01,LOAK.WS,0.63,0.48,0.68,0.74,-0.05,-0.28,0.01,0.1
0.63,0.63,0.63,0.63,1150,2020-06-02 01:00:00.000000,2020-06-02,LOAK.WS,0.37,0.37,0.6,0.8,-0.42,-0.41,-0.05,0.26
0.47,0.47,0.37,0.37,2400,2020-06-04 01:00:00.000000,2020-06-04,LOAK.WS,0.48,0.68,0.74,0.82,0.02,0.44,0.57,0.75
0.4,0.49,0.4,0.48,2110,2020-06-05 01:00:00.000000,2020-06-05,LOAK.WS,0.37,0.6,0.8,1.0,-0.06,0.51,1.0,1.5
0.45,0.45,0.37,0.37,724,2020-06-09 01:00:00.000000,2020-06-09,LOAK.WS,0.68,0.74,0.82,0.71,0.51,0.64,0.83,0.58
0.4,0.8,0.4,0.68,158203,2020-06-10 01:00:00.000000,2020-06-10,LOAK.WS,0.6,0.8,1.0,0.71,0.5,0.99,1.49,0.77
0.65,0.68,0.6,0.6,2808,2020-06-11 01:00:00.000000,2020-06-11,LOAK.WS,0.74,0.82,0.71,0.7,0.14,0.27,0.1,0.08
0.64,0.74,0.64,0.74,11215,2020-06-12 01:00:00.000000,2020-06-12,LOAK.WS,0.8,1.0,0.71,0.8,0.25,0.56,0.11,0.25
0.75,0.84,0.75,0.8,8869,2020-06-15 01:00:00.000000,2020-06-15,LOAK.WS,0.82,0.71,0.7,0.73,0.1,-0.05,-0.07,-0.03
0.8,0.88,0.78,0.82,8394,2020-06-16 01:00:00.000000,2020-06-16,LOAK.WS,1.0,0.71,0.8,0.72,0.25,-0.11,0.0,-0.1
0.76,1.25,0.76,1.0,17526,2020-06-17 01:00:00.000000,2020-06-17,LOAK.WS,0.71,0.7,0.73,0.69,-0.07,-0.08,-0.04,-0.1
0.96,0.96,0.71,0.71,10346,2020-06-18 01:00:00.000000,2020-06-18,LOAK.WS,0.71,0.8,0.72,0.73,-0.26,-0.17,-0.25,-0.24
0.75,0.75,0.71,0.71,38140,2020-06-19 01:00:00.000000,2020-06-19,LOAK.WS,0.7,0.73,0.69,0.75,-0.07,-0.03,-0.08,0.0
0.72,0.72,0.67,0.7,25630,2020-06-22 01:00:00.000000,2020-06-22,LOAK.WS,0.8,0.72,0.73,0.92,0.11,0.0,0.01,0.28
0.74,0.81,0.72,0.8,17400,2020-06-23 01:00:00.000000,2020-06-23,LOAK.WS,0.73,0.69,0.75,0.98,-0.01,-0.06,0.02,0.33
0.76,0.76,0.71,0.73,12800,2020-06-24 01:00:00.000000,2020-06-24,LOAK.WS,0.72,0.73,0.92,0.84,-0.05,-0.04,0.21,0.11
0.73,0.77,0.72,0.72,4299,2020-06-25 01:00:00.000000,2020-06-25,LOAK.WS,0.69,0.75,0.98,0.73,-0.05,0.03,0.34,0.0
0.72,0.72,0.69,0.69,16455,2020-06-26 01:00:00.000000,2020-06-26,LOAK.WS,0.73,0.92,0.84,0.71,0.01,0.28,0.17,-0.01
0.73,0.73,0.73,0.73,2815,2020-06-29 01:00:00.000000,2020-06-29,LOAK.WS,0.75,0.98,0.73,0.7,0.03,0.34,0.0,-0.05
0.75,0.77,0.72,0.75,8150,2020-06-30 01:00:00.000000,2020-06-30,LOAK.WS,0.92,0.84,0.71,0.85,0.22,0.12,-0.05,0.13
0.76,0.92,0.75,0.92,24921,2020-07-01 01:00:00.000000,2020-07-01,LOAK.WS,0.98,0.73,0.7,0.9,0.29,-0.04,-0.08,0.18
1.15,1.15,0.91,0.98,2221,2020-07-02 01:00:00.000000,2020-07-02,LOAK.WS,0.84,0.71,0.85,1.13,-0.27,-0.39,-0.26,-0.02
0.8,0.84,0.8,0.84,14158,2020-07-06 01:00:00.000000,2020-07-06,LOAK.WS,0.73,0.7,0.9,1.15,-0.09,-0.13,0.12,0.43
0.8,0.8,0.73,0.73,350,2020-07-07 01:00:00.000000,2020-07-07,LOAK.WS,0.71,0.85,1.13,0.85,-0.11,0.06,0.41,0.06
0.74,0.74,0.71,0.71,27631,2020-07-08 01:00:00.000000,2020-07-08,LOAK.WS,0.7,0.9,1.15,0.96,-0.06,0.22,0.55,0.3
0.7,0.7,0.7,0.7,2000,2020-07-09 01:00:00.000000,2020-07-09,LOAK.WS,0.85,1.13,0.85,0.95,0.21,0.61,0.21,0.36
0.73,0.89,0.73,0.85,71499,2020-07-10 01:00:00.000000,2020-07-10,LOAK.WS,0.9,1.15,0.96,0.86,0.23,0.58,0.31,0.17
0.89,1.06,0.85,0.9,44286,2020-07-13 01:00:00.000000,2020-07-13,LOAK.WS,1.13,0.85,0.95,0.9,0.27,-0.04,0.07,0.01
0.87,1.15,0.8,1.13,77523,2020-07-14 01:00:00.000000,2020-07-14,LOAK.WS,1.15,0.96,0.86,0.86,0.32,0.1,-0.02,-0.01
1.14,1.15,1.14,1.15,1997,2020-07-15 01:00:00.000000,2020-07-15,LOAK.WS,0.85,0.95,0.9,0.77,-0.25,-0.17,-0.21,-0.32
1.06,1.06,0.82,0.85,13807,2020-07-16 01:00:00.000000,2020-07-16,LOAK.WS,0.96,0.86,0.86,0.75,-0.09,-0.19,-0.19,-0.29
0.91,0.96,0.85,0.96,6899,2020-07-17 01:00:00.000000,2020-07-17,LOAK.WS,0.95,0.9,0.77,0.71,0.04,-0.01,-0.15,-0.22
0.97,0.97,0.95,0.95,753,2020-07-20 01:00:00.000000,2020-07-20,LOAK.WS,0.86,0.86,0.75,0.72,-0.12,-0.11,-0.23,-0.25
1.0,1.0,0.86,0.86,8862,2020-07-21 01:00:00.000000,2020-07-21,LOAK.WS,0.9,0.77,0.71,0.67,-0.1,-0.23,-0.29,-0.33
0.88,0.91,0.86,0.9,3625,2020-07-22 01:00:00.000000,2020-07-22,LOAK.WS,0.86,0.75,0.72,0.84,-0.03,-0.15,-0.18,-0.05
0.86,0.86,0.86,0.86,5014,2020-07-23 01:00:00.000000,2020-07-23,LOAK.WS,0.77,0.71,0.67,,-0.1,-0.17,-0.22,
0.86,0.9,0.77,0.77,18662,2020-07-24 01:00:00.000000,2020-07-24,LOAK.WS,0.75,0.72,0.84,,-0.13,-0.16,-0.02,
0.75,0.75,0.75,0.75,4000,2020-07-27 01:00:00.000000,2020-07-27,LOAK.WS,0.71,0.67,,,-0.05,-0.11,,
0.71,0.71,0.71,0.71,2274,2020-07-28 01:00:00.000000,2020-07-28,LOAK.WS,0.72,0.84,,,0.02,0.19,,
0.75,0.75,0.72,0.72,1553,2020-07-29 01:00:00.000000,2020-07-29,LOAK.WS,0.67,,,,-0.1,,,
0.69,0.74,0.67,0.67,4801,2020-07-30 01:00:00.000000,2020-07-30,LOAK.WS,0.84,,,,0.23,,,
0.7,0.87,0.7,0.84,31055,2020-07-31 01:00:00.000000,2020-07-31,LOAK.WS,,,,,,,,
