open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.55,0.6,0.55,0.6,350002,2019-12-12 01:00:00.000000,2019-12-12,MCMJW,0.45,0.55,0.54,0.54,0.44,0.44,0.45,0.5,0.5,0.5,0.5,0.5,0.5
0.45,0.55,0.45,0.55,24255,2019-12-13 01:00:00.000000,2019-12-13,MCMJW,0.54,0.54,0.54,0.44,0.44,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.54,0.54,0.54,0.54,1115,2019-12-16 01:00:00.000000,2019-12-16,MCMJW,0.54,0.54,0.44,0.44,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.44,0.44,0.44,0.44,162,2019-12-18 01:00:00.000000,2019-12-18,MCMJW,0.44,0.44,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.49
0.44,0.45,0.44,0.45,1326,2019-12-20 01:00:00.000000,2019-12-20,MCMJW,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.49,0.5,0.5
0.5,0.5,0.49,0.5,6400,2019-12-23 01:00:00.000000,2019-12-23,MCMJW,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.49,0.5,0.5,0.52
0.5,0.5,0.5,0.5,1000,2019-12-26 01:00:00.000000,2019-12-26,MCMJW,0.48,0.5,0.5,0.5,0.5,0.45,0.49,0.5,0.5,0.52,0.52,0.5,0.5
0.48,0.5,0.48,0.5,1213,2019-12-27 01:00:00.000000,2019-12-27,MCMJW,0.48,0.5,0.5,0.5,0.45,0.49,0.5,0.5,0.52,0.52,0.5,0.5,0.5
0.5,0.5,0.5,0.5,15602,2019-12-31 01:00:00.000000,2019-12-31,MCMJW,0.5,0.5,0.45,0.49,0.5,0.5,0.52,0.52,0.5,0.5,0.5,0.5,0.5
0.45,0.45,0.45,0.45,6000,2020-01-02 01:00:00.000000,2020-01-02,MCMJW,0.49,0.49,0.5,0.5,0.52,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.49,0.49,0.49,0.49,11350,2020-01-03 01:00:00.000000,2020-01-03,MCMJW,0.5,0.5,0.5,0.52,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.54
0.5,0.5,0.5,0.5,17500,2020-01-06 01:00:00.000000,2020-01-06,MCMJW,0.5,0.5,0.52,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.54
0.5,0.52,0.5,0.52,1225,2020-01-08 01:00:00.000000,2020-01-08,MCMJW,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.54,0.54,0.54
0.5,0.5,0.5,0.5,250,2020-01-10 01:00:00.000000,2020-01-10,MCMJW,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.54,0.54,0.54,0.54,0.54,0.54
0.54,0.54,0.54,0.54,10000,2020-01-21 01:00:00.000000,2020-01-21,MCMJW,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
0.54,0.55,0.54,0.55,10647,2020-02-07 01:00:00.000000,2020-02-07,MCMJW,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5,0.5
0.5,0.5,0.35,0.5,15386,2020-02-24 01:00:00.000000,2020-02-24,MCMJW,0.49,0.5,0.58,0.56,0.51,0.51,0.51,0.51,0.51,0.51,0.36,0.36,0.36
0.49,0.5,0.49,0.5,56314,2020-02-25 01:00:00.000000,2020-02-25,MCMJW,0.55,0.58,0.56,0.51,0.51,0.51,0.51,0.51,0.51,0.36,0.36,0.36,0.36
