open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.2,10.2,10.03,10.03,8847,2019-12-19 01:00:00.000000,2019-12-19,NFH,9.85,10.05,10.02,10.0,-0.03,-0.01,-0.02,-0.02
9.63,9.94,9.63,9.85,42164,2019-12-20 01:00:00.000000,2019-12-20,NFH,9.88,10.1,9.9,9.93,0.03,0.05,0.03,0.03
9.8,9.88,9.8,9.88,4853,2019-12-23 01:00:00.000000,2019-12-23,NFH,10.05,10.02,10.0,9.92,0.03,0.02,0.02,0.01
9.8,10.2,9.8,10.05,20854,2019-12-24 01:00:00.000000,2019-12-24,NFH,10.1,9.9,9.93,9.9,0.03,0.01,0.01,0.01
10.0,10.1,10.0,10.1,5694,2019-12-26 01:00:00.000000,2019-12-26,NFH,10.02,10.0,9.92,9.9,0.0,0.0,-0.01,-0.01
10.1,10.11,10.02,10.02,9373,2019-12-27 01:00:00.000000,2019-12-27,NFH,9.9,9.93,9.9,9.5,-0.02,-0.02,-0.02,-0.06
10.0,10.0,9.85,9.9,121341,2019-12-30 01:00:00.000000,2019-12-30,NFH,10.0,9.92,9.9,9.61,0.0,-0.01,-0.01,-0.04
9.79,10.1,9.79,10.0,184924,2019-12-31 01:00:00.000000,2019-12-31,NFH,9.93,9.9,9.5,9.55,0.01,0.01,-0.03,-0.02
10.0,10.02,9.93,9.93,3883,2020-01-02 01:00:00.000000,2020-01-02,NFH,9.92,9.9,9.61,9.5,-0.01,-0.01,-0.04,-0.05
9.9,9.93,9.9,9.92,4600,2020-01-03 01:00:00.000000,2020-01-03,NFH,9.9,9.5,9.55,9.39,0.0,-0.04,-0.04,-0.05
9.9,9.98,9.86,9.9,19622,2020-01-06 01:00:00.000000,2020-01-06,NFH,9.9,9.61,9.5,9.52,0.0,-0.03,-0.04,-0.04
9.99,9.99,9.85,9.9,479748,2020-01-07 01:00:00.000000,2020-01-07,NFH,9.5,9.55,9.39,9.52,-0.05,-0.04,-0.06,-0.05
9.8,9.8,9.06,9.5,182151,2020-01-08 01:00:00.000000,2020-01-08,NFH,9.61,9.5,9.52,9.35,-0.02,-0.03,-0.03,-0.05
9.59,9.75,9.49,9.61,50229,2020-01-09 01:00:00.000000,2020-01-09,NFH,9.55,9.39,9.52,9.4,-0.0,-0.02,-0.01,-0.02
9.61,9.67,9.55,9.55,10007,2020-01-10 01:00:00.000000,2020-01-10,NFH,9.5,9.52,9.35,9.39,-0.01,-0.01,-0.03,-0.02
9.53,9.55,9.45,9.5,19855,2020-01-13 01:00:00.000000,2020-01-13,NFH,9.39,9.52,9.4,9.32,-0.01,-0.0,-0.01,-0.02
9.5,9.53,9.34,9.39,31328,2020-01-14 01:00:00.000000,2020-01-14,NFH,9.52,9.35,9.39,9.38,0.0,-0.02,-0.01,-0.01
