open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.07,0.08,0.07,0.08,347000,2019-11-07 01:00:00.000000,2019-11-07,ORSNW,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07
0.08,0.08,0.08,0.08,20000,2019-11-11 01:00:00.000000,2019-11-11,ORSNW,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08
0.07,0.07,0.07,0.07,5000,2019-11-14 01:00:00.000000,2019-11-14,ORSNW,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08
0.08,0.08,0.05,0.07,47150,2019-11-19 01:00:00.000000,2019-11-19,ORSNW,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08,100,2019-11-20 01:00:00.000000,2019-11-20,ORSNW,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.08,0.08,0.08,0.08,1500,2019-11-21 01:00:00.000000,2019-11-21,ORSNW,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.07,0.07,0.07,0.07,25000,2019-11-22 01:00:00.000000,2019-11-22,ORSNW,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.07,0.07,0.07,0.07,5000,2019-11-25 01:00:00.000000,2019-11-25,ORSNW,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.59,0.59,0.07,0.08,1914,2019-11-27 01:00:00.000000,2019-11-27,ORSNW,0.59,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
0.05,0.08,0.05,0.08,10114,2019-12-02 01:00:00.000000,2019-12-02,ORSNW,0.05,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07
0.08,0.08,0.08,0.08,100,2019-12-05 01:00:00.000000,2019-12-05,ORSNW,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06
0.08,0.08,0.08,0.08,200,2019-12-12 01:00:00.000000,2019-12-12,ORSNW,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.07,0.07,0.07,0.07,1000,2019-12-16 01:00:00.000000,2019-12-16,ORSNW,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.06,0.07,0.06,0.07,51500,2019-12-17 01:00:00.000000,2019-12-17,ORSNW,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06,100,2019-12-19 01:00:00.000000,2019-12-19,ORSNW,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07
0.07,0.07,0.07,0.07,115,2020-01-06 01:00:00.000000,2020-01-06,ORSNW,0.07,0.07,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.09,0.09,0.09,0.09,4000,2020-01-08 01:00:00.000000,2020-01-08,ORSNW,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.06,0.06,0.06,0.06,3000,2020-01-09 01:00:00.000000,2020-01-09,ORSNW,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
