open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.28,0.28,0.28,0.28,200,2019-06-21 01:00:00.000000,2019-06-21,PAACW,0.2,0.15,0.12,0.14,0.14,0.14,0.11,0.11,0.11,0.11,0.11,0.13,0.15
0.2,0.2,0.15,0.15,99200,2019-06-24 01:00:00.000000,2019-06-24,PAACW,0.12,0.12,0.14,0.14,0.14,0.11,0.11,0.11,0.11,0.11,0.13,0.15,0.14
0.12,0.12,0.12,0.12,200,2019-06-25 01:00:00.000000,2019-06-25,PAACW,0.15,0.14,0.14,0.14,0.11,0.11,0.11,0.11,0.11,0.13,0.15,0.14,0.12
0.15,0.17,0.13,0.14,372650,2019-06-26 01:00:00.000000,2019-06-26,PAACW,0.15,0.14,0.14,0.11,0.11,0.11,0.11,0.11,0.13,0.15,0.14,0.12,0.12
0.15,0.15,0.14,0.14,27600,2019-06-27 01:00:00.000000,2019-06-27,PAACW,0.14,0.14,0.11,0.11,0.11,0.11,0.11,0.13,0.15,0.14,0.12,0.12,0.14
0.14,0.14,0.14,0.14,7600,2019-06-28 01:00:00.000000,2019-06-28,PAACW,0.14,0.11,0.11,0.11,0.11,0.11,0.13,0.15,0.14,0.12,0.12,0.14,0.15
0.14,0.14,0.11,0.11,118900,2019-07-01 01:00:00.000000,2019-07-01,PAACW,0.12,0.11,0.11,0.11,0.11,0.13,0.15,0.14,0.12,0.12,0.14,0.15,0.15
0.12,0.12,0.11,0.11,23200,2019-07-02 01:00:00.000000,2019-07-02,PAACW,0.11,0.11,0.11,0.11,0.13,0.15,0.14,0.12,0.12,0.14,0.15,0.15,0.13
0.11,0.11,0.11,0.11,500,2019-07-03 01:00:00.000000,2019-07-03,PAACW,0.11,0.11,0.11,0.13,0.15,0.14,0.12,0.12,0.14,0.15,0.15,0.13,0.14
0.11,0.11,0.11,0.11,1000,2019-07-05 01:00:00.000000,2019-07-05,PAACW,0.11,0.13,0.15,0.14,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.13,0.13
0.11,0.13,0.11,0.13,12600,2019-07-08 01:00:00.000000,2019-07-08,PAACW,0.15,0.15,0.14,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.13,0.13,0.14
0.15,0.15,0.14,0.15,1150,2019-07-09 01:00:00.000000,2019-07-09,PAACW,0.14,0.14,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.13,0.13,0.14,0.13
0.14,0.14,0.13,0.14,1600,2019-07-10 01:00:00.000000,2019-07-10,PAACW,0.13,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.13,0.13,0.14,0.13,0.13
0.13,0.14,0.12,0.12,134000,2019-07-11 01:00:00.000000,2019-07-11,PAACW,0.13,0.12,0.14,0.15,0.15,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13
0.14,0.14,0.14,0.14,1000,2019-07-15 01:00:00.000000,2019-07-15,PAACW,0.1,0.15,0.15,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13
0.1,0.15,0.1,0.15,10876,2019-07-16 01:00:00.000000,2019-07-16,PAACW,0.14,0.15,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12
0.14,0.15,0.11,0.15,26800,2019-07-17 01:00:00.000000,2019-07-17,PAACW,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12
0.14,0.14,0.13,0.13,1200,2019-07-18 01:00:00.000000,2019-07-18,PAACW,0.12,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12
0.12,0.14,0.1,0.14,14517,2019-07-19 01:00:00.000000,2019-07-19,PAACW,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12
0.13,0.13,0.13,0.13,200,2019-07-22 01:00:00.000000,2019-07-22,PAACW,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12
0.13,0.13,0.13,0.13,15000,2019-07-23 01:00:00.000000,2019-07-23,PAACW,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12
0.14,0.14,0.14,0.14,20000,2019-07-24 01:00:00.000000,2019-07-24,PAACW,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.13,0.13,0.13,0.13,500,2019-07-25 01:00:00.000000,2019-07-25,PAACW,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.12,0.13,0.12,0.13,16200,2019-07-26 01:00:00.000000,2019-07-26,PAACW,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11
0.12,0.12,0.12,0.12,200,2019-08-01 01:00:00.000000,2019-08-01,PAACW,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.11,0.1
0.11,0.12,0.1,0.12,6400,2019-08-05 01:00:00.000000,2019-08-05,PAACW,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.11,0.1,0.1,0.1
