open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
1.8,1.8,1.8,1.8,610,2018-07-27 01:00:00.000000,2018-07-27,PRTHW,1.56,1.88,1.85,1.84,-0.13,0.04,0.03,0.02
1.81,1.9,1.51,1.56,12936,2018-07-30 01:00:00.000000,2018-07-30,PRTHW,1.85,1.9,1.87,1.88,0.02,0.05,0.03,0.04
1.88,1.9,1.85,1.85,10110,2018-07-31 01:00:00.000000,2018-07-31,PRTHW,1.88,1.85,1.84,1.75,0.0,-0.02,-0.02,-0.07
1.88,1.88,1.88,1.88,5000,2018-08-01 01:00:00.000000,2018-08-01,PRTHW,1.9,1.87,1.88,1.74,0.01,-0.01,0.0,-0.07
1.89,1.9,1.89,1.9,5000,2018-08-06 01:00:00.000000,2018-08-06,PRTHW,1.85,1.84,1.75,1.75,-0.02,-0.03,-0.07,-0.07
1.8,1.85,1.79,1.85,4301,2018-08-09 01:00:00.000000,2018-08-09,PRTHW,1.87,1.88,1.74,1.75,0.04,0.04,-0.03,-0.03
1.85,1.87,1.85,1.87,6000,2018-08-10 01:00:00.000000,2018-08-10,PRTHW,1.84,1.75,1.75,1.7,-0.01,-0.05,-0.05,-0.08
1.75,1.84,1.75,1.84,3800,2018-08-14 01:00:00.000000,2018-08-14,PRTHW,1.88,1.74,1.75,1.7,0.07,-0.01,0.0,-0.03
1.86,1.88,1.86,1.88,9955,2018-08-16 01:00:00.000000,2018-08-16,PRTHW,1.75,1.75,1.7,1.7,-0.06,-0.06,-0.09,-0.09
1.7,1.75,1.68,1.75,14193,2018-08-20 01:00:00.000000,2018-08-20,PRTHW,1.74,1.75,1.7,1.6,0.02,0.03,-0.0,-0.06
1.74,1.75,1.57,1.74,30200,2018-08-21 01:00:00.000000,2018-08-21,PRTHW,1.75,1.7,1.7,1.66,0.01,-0.02,-0.02,-0.05
1.62,1.75,1.62,1.75,300,2018-08-23 01:00:00.000000,2018-08-23,PRTHW,1.75,1.7,1.6,1.62,0.08,0.05,-0.01,-0.0
1.75,1.75,1.72,1.75,1972,2018-08-29 01:00:00.000000,2018-08-29,PRTHW,1.7,1.7,1.66,1.59,-0.03,-0.03,-0.05,-0.09
