open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.96,1.0,0.96,1.0,15158,2018-01-02 01:00:00.000000,2018-01-02,ROSEW,1.0,1.0,1.06,0.93,0.98,1.0,0.98,1.05,1.03,1.03,1.03,1.04,1.09
1.0,1.04,0.99,1.0,348356,2018-01-03 01:00:00.000000,2018-01-03,ROSEW,1.04,1.06,0.93,0.98,1.0,0.98,1.05,1.03,1.03,1.03,1.04,1.09,1.12
1.04,1.13,1.04,1.06,8200,2018-01-04 01:00:00.000000,2018-01-04,ROSEW,0.95,0.93,0.98,1.0,0.98,1.05,1.03,1.03,1.03,1.04,1.09,1.12,1.05
0.95,0.95,0.91,0.93,35890,2018-01-05 01:00:00.000000,2018-01-05,ROSEW,0.95,0.98,1.0,0.98,1.05,1.03,1.03,1.03,1.04,1.09,1.12,1.05,1.15
0.95,0.98,0.86,0.98,69347,2018-01-08 01:00:00.000000,2018-01-08,ROSEW,1.0,1.0,0.98,1.05,1.03,1.03,1.03,1.04,1.09,1.12,1.05,1.15,1.14
1.0,1.0,1.0,1.0,1025,2018-01-09 01:00:00.000000,2018-01-09,ROSEW,0.99,0.98,1.05,1.03,1.03,1.03,1.04,1.09,1.12,1.05,1.15,1.14,1.15
0.99,1.06,0.96,0.98,5206,2018-01-10 01:00:00.000000,2018-01-10,ROSEW,1.03,1.05,1.03,1.03,1.03,1.04,1.09,1.12,1.05,1.15,1.14,1.15,1.18
1.03,1.08,1.03,1.05,40795,2018-01-11 01:00:00.000000,2018-01-11,ROSEW,1.06,1.03,1.03,1.03,1.04,1.09,1.12,1.05,1.15,1.14,1.15,1.18,1.18
1.06,1.06,1.03,1.03,5525,2018-01-12 01:00:00.000000,2018-01-12,ROSEW,1.06,1.03,1.03,1.04,1.09,1.12,1.05,1.15,1.14,1.15,1.18,1.18,1.18
1.0,1.13,1.0,1.03,3695,2018-01-16 01:00:00.000000,2018-01-16,ROSEW,1.0,1.04,1.09,1.12,1.05,1.15,1.14,1.15,1.18,1.18,1.18,1.18,1.15
