open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
8.05,8.19,7.88,7.88,64579,2018-01-02 01:00:00.000000,2018-01-02,ROSE,7.9,7.93,7.94,7.55,7.95,7.67,7.57,7.94,7.99,7.99,7.95,7.96,8.04
7.9,8.24,7.86,7.93,36468,2018-01-03 01:00:00.000000,2018-01-03,ROSE,7.95,7.94,7.55,7.95,7.67,7.57,7.94,7.99,7.99,7.95,7.96,8.04,8.0
7.95,7.95,7.71,7.94,38350,2018-01-04 01:00:00.000000,2018-01-04,ROSE,7.99,7.55,7.95,7.67,7.57,7.94,7.99,7.99,7.95,7.96,8.04,8.0,8.0
7.99,8.04,7.39,7.55,33166,2018-01-05 01:00:00.000000,2018-01-05,ROSE,7.6,7.95,7.67,7.57,7.94,7.99,7.99,7.95,7.96,8.04,8.0,8.0,8.36
7.6,7.97,7.47,7.95,34835,2018-01-08 01:00:00.000000,2018-01-08,ROSE,7.97,7.67,7.57,7.94,7.99,7.99,7.95,7.96,8.04,8.0,8.0,8.36,8.25
7.97,7.97,7.58,7.67,8831,2018-01-09 01:00:00.000000,2018-01-09,ROSE,7.6,7.57,7.94,7.99,7.99,7.95,7.96,8.04,8.0,8.0,8.36,8.25,8.0
7.6,7.68,7.26,7.57,56341,2018-01-10 01:00:00.000000,2018-01-10,ROSE,7.6,7.94,7.99,7.99,7.95,7.96,8.04,8.0,8.0,8.36,8.25,8.0,8.13
7.6,8.06,7.6,7.94,75644,2018-01-11 01:00:00.000000,2018-01-11,ROSE,8.2,7.99,7.99,7.95,7.96,8.04,8.0,8.0,8.36,8.25,8.0,8.13,8.15
8.2,8.2,7.95,7.99,95937,2018-01-12 01:00:00.000000,2018-01-12,ROSE,8.2,7.99,7.95,7.96,8.04,8.0,8.0,8.36,8.25,8.0,8.13,8.15,7.87
8.11,8.14,7.95,7.95,39761,2018-01-16 01:00:00.000000,2018-01-16,ROSE,8.05,7.96,8.04,8.0,8.0,8.36,8.25,8.0,8.13,8.15,7.87,7.83,7.76
8.05,8.05,7.93,7.96,27752,2018-01-17 01:00:00.000000,2018-01-17,ROSE,8.44,8.04,8.0,8.0,8.36,8.25,8.0,8.13,8.15,7.87,7.83,7.76,7.16
8.44,8.48,8.04,8.04,90981,2018-01-18 01:00:00.000000,2018-01-18,ROSE,8.04,8.0,8.0,8.36,8.25,8.0,8.13,8.15,7.87,7.83,7.76,7.16,7.09
8.04,8.14,7.94,8.0,36189,2018-01-19 01:00:00.000000,2018-01-19,ROSE,8.03,8.0,8.36,8.25,8.0,8.13,8.15,7.87,7.83,7.76,7.16,7.09,7.11
8.03,8.1,7.78,8.0,50174,2018-01-22 01:00:00.000000,2018-01-22,ROSE,8.05,8.36,8.25,8.0,8.13,8.15,7.87,7.83,7.76,7.16,7.09,7.11,6.93
8.05,8.38,7.98,8.36,12091,2018-01-23 01:00:00.000000,2018-01-23,ROSE,8.36,8.25,8.0,8.13,8.15,7.87,7.83,7.76,7.16,7.09,7.11,6.93,6.35
8.36,8.43,8.18,8.25,11801,2018-01-24 01:00:00.000000,2018-01-24,ROSE,8.43,8.0,8.13,8.15,7.87,7.83,7.76,7.16,7.09,7.11,6.93,6.35,6.85
8.43,8.43,7.97,8.0,35016,2018-01-25 01:00:00.000000,2018-01-25,ROSE,8.06,8.13,8.15,7.87,7.83,7.76,7.16,7.09,7.11,6.93,6.35,6.85,7.4
8.06,8.33,7.78,8.13,32610,2018-01-26 01:00:00.000000,2018-01-26,ROSE,8.18,8.15,7.87,7.83,7.76,7.16,7.09,7.11,6.93,6.35,6.85,7.4,7.59
8.18,8.4,8.11,8.15,7004,2018-01-29 01:00:00.000000,2018-01-29,ROSE,8.0,7.87,7.83,7.76,7.16,7.09,7.11,6.93,6.35,6.85,7.4,7.59,7.95
8.0,8.02,7.76,7.87,39782,2018-01-30 01:00:00.000000,2018-01-30,ROSE,7.85,7.83,7.76,7.16,7.09,7.11,6.93,6.35,6.85,7.4,7.59,7.95,7.4
