open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
0.8,0.8,0.8,0.8,100000,2019-04-18 01:00:00.000000,2019-04-18,RPLA.WS,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8,13200,2019-04-22 01:00:00.000000,2019-04-22,RPLA.WS,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.8,0.8,0.8,0.8,25100,2019-04-24 01:00:00.000000,2019-04-24,RPLA.WS,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.85,0.85,0.8,0.8,2200,2019-04-30 01:00:00.000000,2019-04-30,RPLA.WS,0.85,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.69,0.69,0.7
0.75,0.75,0.69,0.69,73000,2019-05-14 01:00:00.000000,2019-05-14,RPLA.WS,0.75,0.69,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.7,0.7,0.7,0.7,500,2019-05-16 01:00:00.000000,2019-05-16,RPLA.WS,0.65,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.65,0.7,0.65,0.7,25700,2019-05-17 01:00:00.000000,2019-05-17,RPLA.WS,0.65,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.65,0.65,0.6,0.65,1301,2019-06-27 01:00:00.000000,2019-06-27,RPLA.WS,0.7,0.7,0.65,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.64,0.64
0.7,0.7,0.7,0.7,5100,2019-06-28 01:00:00.000000,2019-06-28,RPLA.WS,0.65,0.65,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.64,0.64,0.64
0.65,0.65,0.65,0.65,100,2019-07-01 01:00:00.000000,2019-07-01,RPLA.WS,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.64,0.64,0.64,0.6
0.61,0.61,0.61,0.61,104900,2019-07-02 01:00:00.000000,2019-07-02,RPLA.WS,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.64,0.64,0.64,0.6,0.6
0.64,0.64,0.64,0.64,100,2019-07-12 01:00:00.000000,2019-07-12,RPLA.WS,0.64,0.64,0.64,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.63,0.63,0.63
0.62,0.62,0.6,0.6,300,2019-07-17 01:00:00.000000,2019-07-17,RPLA.WS,0.62,0.6,0.6,0.6,0.6,0.6,0.6,0.63,0.63,0.63,0.59,0.59,0.59
0.6,0.63,0.6,0.63,10000,2019-07-26 01:00:00.000000,2019-07-26,RPLA.WS,0.6,0.63,0.63,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.55,0.55,0.5
0.59,0.59,0.59,0.59,17000,2019-07-31 01:00:00.000000,2019-07-31,RPLA.WS,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.55,0.55,0.5,0.47,0.45,0.45
0.59,0.59,0.59,0.59,100,2019-08-01 01:00:00.000000,2019-08-01,RPLA.WS,0.59,0.59,0.59,0.6,0.6,0.6,0.55,0.55,0.5,0.47,0.45,0.45,0.45
0.6,0.6,0.6,0.6,100,2019-08-06 01:00:00.000000,2019-08-06,RPLA.WS,0.6,0.6,0.6,0.55,0.55,0.5,0.47,0.45,0.45,0.45,0.44,0.57,0.59
0.6,0.6,0.55,0.6,800,2019-08-07 01:00:00.000000,2019-08-07,RPLA.WS,0.6,0.6,0.55,0.55,0.5,0.47,0.45,0.45,0.45,0.44,0.57,0.59,0.6
0.56,0.61,0.52,0.55,3500,2019-08-09 01:00:00.000000,2019-08-09,RPLA.WS,0.55,0.55,0.5,0.47,0.45,0.45,0.45,0.44,0.57,0.59,0.6,0.61,0.6
0.55,0.63,0.55,0.55,21400,2019-08-12 01:00:00.000000,2019-08-12,RPLA.WS,0.5,0.5,0.47,0.45,0.45,0.45,0.44,0.57,0.59,0.6,0.61,0.6,0.6
0.5,0.53,0.5,0.5,2200,2019-08-13 01:00:00.000000,2019-08-13,RPLA.WS,0.45,0.47,0.45,0.45,0.45,0.44,0.57,0.59,0.6,0.61,0.6,0.6,0.6
0.45,0.5,0.45,0.47,11200,2019-08-14 01:00:00.000000,2019-08-14,RPLA.WS,0.45,0.45,0.45,0.45,0.44,0.57,0.59,0.6,0.61,0.6,0.6,0.6,0.71
0.45,0.47,0.4,0.45,9100,2019-08-15 01:00:00.000000,2019-08-15,RPLA.WS,0.45,0.45,0.45,0.44,0.57,0.59,0.6,0.61,0.6,0.6,0.6,0.71,0.71
0.45,0.45,0.45,0.45,100,2019-08-19 01:00:00.000000,2019-08-19,RPLA.WS,0.44,0.44,0.57,0.59,0.6,0.61,0.6,0.6,0.6,0.71,0.71,0.71,0.71
